title,author,rating,ratingnum,cuisine,preptime,cooktime,totaltime,servings,numberofsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,source,link,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24
Oreo Cookies Recipe,Sharon Best,NA,NA,American,Prep Time 30 minutes mins,Cook Time 9 minutes mins,Total Time 1 hour hr 39 minutes mins,15 sandwich cookies,15,13,1 1/4 cups all-purpose flour,1/2 cup unsweetened cocoa powder,1 1/4 teaspoons baking soda,1 pinch kosher salt,1/2 cup unsalted butter softened,1/2 cup granulated sugar,1/2 cup light brown sugar packed,1 large egg at room temperature,1 1/4 teaspoons vanilla extract,1/4 cup unsalted butter softened,1/4 cup vegetable shortening,1 3/4 cups powdered sugar sifted,1/2 teaspoon vanilla extract,Baked Bree,https://bakedbree.com/oreo-cookies-recipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pecan Crescents,Sharon Best,NA,NA,American,Prep Time 20 minutes mins,Cook Time 20 minutes mins,Total Time 1 hour hr 15 minutes mins,24 cookies,10,6,1 cup unsalted butter softened,1/2 cup powdered sugar plus more for rolling,1/4 teaspoon salt,2 teaspoons vanilla extract,2 cups all-purpose flour,2 cups pecans finely chopped,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/pecan-crescents-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas Sheet Cake Cookies,Diane Goodman,NA,NA,American,Prep Time 10 minutes mins,Cook Time 15 minutes mins,Total Time 30 minutes mins,16 cookies,6,8,1 package chocolate cake mix (15.25 ounces),2 eggs,5 tablespoons vegetable oil,1/2 cup butter softened,2 tablespoons unsweetened cocoa powder,2 1/2 tablespoons milk,1/2 teaspoon vanilla extract,2 1/2 cups powdered sugar,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/texas-sheet-cake-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polvorones Mexican Cookies,Sharon Best,NA,NA,Mexican,Prep Time 20 minutes mins,Cook Time 18 minutes mins,Total Time 1 hour hr 13 minutes mins,24 cookies,9,7,1 cup unsalted butter softened to room temperature,1/2 cup powdered sugar,3/4 teaspoon vanilla extract,2 cups all-purpose flour,1 teaspoon ground cinnamon,1 pinch kosher salt,"Cinnamon sugar 1/2 cup powdered sugar plus 1 teaspoon cinnamon, for rolling",NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/polvorones-mexican-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buckeye Cookies,Sharon Best,NA,NA,American,Prep Time 35 minutes mins,Cook Time 15 minutes mins,Total Time 1 hour hr 55 minutes mins,24 cookies,15,11,1/2 cup creamy peanut butter,1/2 cup powdered sugar,1 cup butter at room temperature,1/4 cup brown sugar,3/4 cup granulated sugar,1 large egg yolk,3/4 teaspoon vanilla extract,2 cups all-purpose flour,1/2 cup unsweetened cocoa powder,1/4 teaspoon salt,"4 ounces semisweet baking chocolate chopped, or 4 ounces semisweet chocolate chips",NA,NA,Baked Bree,https://bakedbree.com/buckeye-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banana Bread Cookies,Amy Golden,NA,NA,American,Prep Time 15 minutes mins,Cook Time 10 minutes mins,Total Time 35 minutes mins,20 cookies,6,15,2 ripe bananas mashed,1/2 cup unsalted butter softened,1/4 cup granulated sugar,1/4 cup light brown sugar packed,1 large egg at room temperature,3/4 teaspoon vanilla extract,1 1/2 cups all-purpose flour,1/2 cup quick oats,1/2 teaspoon baking soda,1/2 teaspoon baking powder,1/4 teaspoon salt,2 ounces cream cheese softened,1 cup powdered sugar,Baked Bree,https://bakedbree.com/banana-bread-cookies,1 to 2 teaspoons milk more if needed,"Chopped pecans or walnuts for garnish, optional",NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberry Cookies,Amy Golden,NA,NA,American,Prep Time 15 minutes mins,Cook Time 12 minutes mins,Total Time 27 minutes mins,20 cookies,6,10,2 1/2 cups freeze-dried strawberries,1 cup unsalted butter softened,3/4 cup granulated sugar,1/4 cup brown sugar,"Pink food coloring as needed, optional",1 large egg,3/4 teaspoon vanilla extract,1 3/4 cups all-purpose flour,1/2 teaspoon baking soda,1/4 teaspoon salt,NA,NA,NA,Baked Bree,https://bakedbree.com/strawberry-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate-Dipped Oreos,Jonathan Porter,NA,NA,American,Prep Time 20 minutes mins,NA,Total Time 20 minutes mins,24 cookies,3,4,8 ounces white chocolate candy melts,1 package Oreo cookies about 24 cookies,8 ounces dark chocolate candy melts,Sprinkles optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/chocolate-dipped-oreos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate-Covered Ritz Crackers,Jonathan Porter,NA,NA,American,Prep Time 15 minutes mins,NA,Total Time 35 minutes mins,NA,4,5,1/2 cup smooth peanut butter,24 Ritz crackers,12 ounces semisweet chocolate chips or wafers,"1/2 teaspoon vegetable oil plus more, if needed",Sprinkles or flaky sea salt for garnish optional,NA,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/chocolate-covered-ritz-crackers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter-Stuffed Cookies,Amy Golden,NA,NA,American,Prep Time 20 minutes mins,Cook Time 13 minutes mins,Total Time 1 hour hr 3 minutes mins,24 cookies,5,11,1 cup unsalted butter softened,1 cup granulated sugar,3/4 cup light brown sugar packed,2 cups creamy peanut butter divided,2 large eggs at room temperature,1 1/2 teaspoons vanilla extract,3 cups all-purpose flour spooned and leveled,1 1/4 teaspoons baking powder,1/2 teaspoon baking soda,1/2 teaspoon salt,1/2 cup granulated sugar for rolling,NA,NA,Baked Bree,https://bakedbree.com/peanut-butter-stuffed-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corn Muffins,Jonathan Porter,NA,NA,American,Prep Time 10 minutes mins,Cook Time 20 minutes mins,Total Time 35 minutes mins,12 muffins,5,9,1 cup yellow cornmeal,1 cup all-purpose flour,1/2 cup granulated sugar,1 tablespoon baking powder,1/2 teaspoon salt,1 large egg beaten,1/4 cup canola oil,1 cup milk,Butter or honey for serving,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/corn-muffins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Kiss Cookies,Jonathan Porter,NA,NA,American,Prep Time 15 minutes mins,Cook Time 11 minutes mins,Total Time 26 minutes mins,36 cookies,5,12,3/4 cup unsalted butter softened,1/2 cup granulated sugar,1/2 cup light brown sugar,1 large egg,3/4 teaspoon vanilla extract,1/4 teaspoon salt,2 teaspoons baking powder,1/4 cup unsweetened cocoa powder,2 ounces semi-sweet chocolate melted,2 cups all-purpose flour,Additional granulated sugar for rolling,36 milk chocolate Hershey's Kisses,NA,Baked Bree,https://bakedbree.com/chocolate-kiss-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Sandwich Cookies,Jonathan Porter,NA,NA,American,Prep Time 15 minutes mins,Cook Time 13 minutes mins,Total Time 28 minutes mins,24 cookies,7,14,1/2 cup unsalted butter softened,2/3 cup granulated sugar,1/3 cup light brown sugar packed,1/2 cup creamy peanut butter,1/2 teaspoon vanilla extract for cookie dough,1 large egg at room temperature,1 1/2 cups all-purpose flour,1/2 teaspoon baking soda,1 teaspoon baking powder,1/4 teaspoon salt,6 tablespoons creamy peanut butter for filling,2 cups powdered sugar,1 1/2 teaspoons vanilla extract,Baked Bree,https://bakedbree.com/peanut-butter-sandwich-cookies,4 tablespoons milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Bars,Amy Golden,NA,NA,American,Prep Time 25 minutes mins,NA,Total Time 1 hour hr 25 minutes mins,15 bars,4,8,2 cups graham cracker crumbs,2 cups powdered sugar,1 cup unsalted butter melted,1/2 teaspoon vanilla extract,1 pinch kosher salt,1 1/4 cups creamy peanut butter divided,1 1/2 cups semisweet chocolate chips,Chopped peanuts for garnish (optional),NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/peanut-butter-bars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madeleines,Tysen Ling,NA,NA,French,Prep Time 20 minutes mins,Cook Time 10 minutes mins,Total Time 30 minutes mins,NA,5,9,2 large eggs at room temperature,3/4 teaspoon vanilla extract,1/2 teaspoon lemon zest,1 cup powdered sugar,3/4 cup all-purpose flour,1 pinch kosher salt,1/2 teaspoon baking powder,1/2 cup unsalted butter melted and cooled,Extra powdered sugar for optional garnish,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/madeleines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avalanche Cookies,Diane Goodman,NA,NA,American,Prep Time 15 minutes mins,NA,Total Time 1 hour hr,24 cookies,3,5,16 ounces white chocolate chips,1/2 cup creamy peanut butter,2 cups Rice Krispies cereal,1 1/4 cups mini marshmallows,1/3 cup mini chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/avalanche-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Truffles Recipe,Diane Goodman,NA,NA,French,Prep Time 20 minutes mins,Cook Time 5 minutes mins,Total Time 2 hours hrs 50 minutes mins,NA,5,5,2/3 cup heavy cream,2 teaspoons unsalted butter,8 ounces semisweet chocolate finely chopped,1/4 teaspoon vanilla extract,Unsweetened cocoa powder for coating,NA,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/chocolate-truffles-recipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buckeye Recipe,Amy Golden,NA,NA,American,Prep Time 15 minutes mins,NA,Total Time 1 hour hr,NA,5,7,2 cups creamy peanut butter,1/2 cup unsalted butter,1 pinch salt,1 teaspoon vanilla extract,3 1/4 cups powdered sugar,2 cups semisweet chocolate chips,1 teaspoon coconut oil,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/buckeye-recipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russian Tea Cakes,Diane Goodman,NA,NA,international,Prep Time 20 minutes mins,Cook Time 13 minutes mins,Total Time 48 minutes mins,36 cookies,8,8,1 cup unsalted butter softened,3/4 teaspoon vanilla extract,1 teaspoon milk plus more as needed,2 cups all-purpose flour,1 pinch kosher salt,6 tablespoons powdered sugar,1 cup finely chopped walnuts,Powdered sugar for rolling,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/russian-tea-cakes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italian Wedding Cookies,Diane Goodman,NA,NA,Italian,Prep Time 20 minutes mins,Cook Time 20 minutes mins,Total Time 40 minutes mins,40 cookies,6,7,1 1/2 cups unsalted butter softened,3/4 cup powdered sugar sifted,1/2 teaspoon salt,1 1/2 cups finely ground almonds,1 tablespoon vanilla extract,3 cups all-purpose flour,Additional powdered sugar for dusting,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/italian-wedding-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Velvet Cake Balls,Tysen Ling,NA,NA,American,Prep Time 20 minutes mins,Cook Time 35 minutes mins,Total Time 1 hour hr 10 minutes mins,NA,5,5,"1 batch red velvet cake from a boxed mix, baked in a 9×13-inch pan",1 container cream cheese frosting (16 ounces),12 ounces white chocolate chopped or in candy melt form,"1/2 teaspoon vegetable oil plus more, if needed",Sprinkles optional,NA,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/red-velvet-cake-balls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pfeffernüsse Cookies,Amy Golden,NA,NA,German,Prep Time 10 minutes mins,Cook Time 15 minutes mins,Total Time 3 hours hrs 30 minutes mins,24 cookies,6,16,2 1/4 cups all-purpose flour,3/4 teaspoon ground cinnamon,1/2 teaspoon ground allspice,1/4 teaspoon ground nutmeg,1 pinch freshly ground black pepper,1/4 teaspoon ground cloves,1/2 teaspoon baking soda,1/4 teaspoon salt,1/2 cup unsalted butter at room temperature,1/2 cup light brown sugar packed,1/4 cup granulated sugar,1/4 cup molasses,1 large egg,Baked Bree,https://bakedbree.com/pfeffernusse-cookies,3/4 teaspoon anise extract,1/4 teaspoon vanilla extract,1/3 cup confectioners’ sugar for coating,NA,NA,NA,NA,NA,NA,NA,NA
Single-Serving Apple Crisp,Reilly Doucet,NA,NA,American,Prep Time 10 minutes mins,Cook Time 30 minutes mins,Total Time 40 minutes mins,NA,7,11,"1 medium apple peeled, cored, and chopped",1 tablespoon brown sugar,1 1/4 teaspoons all-purpose flour,2 pinches ground cinnamon,1/4 teaspoon vanilla extract,3 tablespoons all-purpose flour,3 1/2 tablespoons old-fashioned rolled oats,2 tablespoons brown sugar,2 tablespoons unsalted butter softened,Pinch of salt,Ice cream or whipped cream (optional),NA,NA,Baked Bree,https://bakedbree.com/single-serving-apple-crisp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreo Cake Pops,Tysen Ling,NA,NA,American,Prep Time 30 minutes mins,NA,Total Time 1 hour hr 15 minutes mins,NA,9,6,38 Oreo cookies,6 ounces cream cheese softened to room temperature,2 tablespoons Greek yogurt,5 ounces chocolate candy melts,2 teaspoons vegetable oil,Chocolate sprinkles for decorating optional,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/oreo-cake-pops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Cake Pops,Tysen Ling,NA,NA,American,Prep Time 30 minutes mins,NA,Total Time 45 minutes mins,48 cake pops,5,9,"1 batch pumpkin cake from a boxed mix, baked in a 9×13-inch pan",6 ounces cream cheese room temperature,5 tablespoons unsalted butter softened,1 tablespoon heavy cream,3 cups confectioners’ sugar,12 ounces candy melts white or milk chocolate,1/2 teaspoon vegetable oil,Sprinkles optional,Orange icing optional,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/pumpkin-cake-pops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Jam Thumbprint Cookies,Amy Golden,NA,NA,American,Prep Time 20 minutes mins,Cook Time 10 minutes mins,Total Time 30 minutes mins,18 cookies,6,11,1/2 cup unsalted butter softened at room temperature,1/2 cup creamy peanut butter,1/4 cup granulated sugar,3/4 cup packed brown sugar,1 large egg at room temperature,1/2 teaspoon vanilla extract,1 1/2 cups all-purpose flour,3/4 teaspoon baking powder,1 pinch salt,Additional granulated sugar for rolling,"1/3 cup raspberry jam plus more, if needed",NA,NA,Baked Bree,https://bakedbree.com/peanut-butter-jam-thumbprint-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Rice Krispies Treats,Reilly Doucet,NA,NA,American,Prep Time 15 minutes mins,Cook Time 5 minutes mins,Total Time 2 hours hrs 20 minutes mins,NA,5,7,1/2 cup unsalted butter,10.5 ounces mini marshmallows,1/4 cup unsweetened cocoa powder,1/2 teaspoon vanilla extract,1/2 cup chocolate chips,6 cups Rice Krispies cereal,Additional 1/2 cup mini marshmallows optional,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/chocolate-rice-krispie-treats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pecan Pie Cookies,Tysen Ling,NA,NA,American,Prep Time 20 minutes mins,Cook Time 18 minutes mins,Total Time 1 hour hr 8 minutes mins,12 cookies,8,16,1/2 cup packed dark brown sugar,1 1/2 tablespoons heavy cream,1 large egg,3/4 teaspoon vanilla extract,1 tablespoon corn syrup,2/3 cup chopped pecans,1/2 cup unsalted butter softened,1/3 cup granulated sugar,1/4 cup light brown sugar packed,1 large egg yolk,2 teaspoons whole milk,1 1/3 cups all-purpose flour,1/4 teaspoon baking soda,Baked Bree,https://bakedbree.com/pecan-pie-cookies,1/2 teaspoon baking powder,1/4 teaspoon salt,Extra chopped pecans optional garnish,NA,NA,NA,NA,NA,NA,NA,NA
Mexican Wedding Cookies,Amy Golden,NA,NA,Mexican,Prep Time 15 minutes mins,Cook Time 12 minutes mins,Total Time 27 minutes mins,32 cookies,5,6,1 cup unsalted butter softened,1/2 cup powdered sugar plus extra for coating,3/4 teaspoon vanilla extract,2 1/4 cups all-purpose flour sifted,1 pinch kosher salt,3/4 cup finely chopped pecans,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/mexican-wedding-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butterfinger Cookies,Amy Golden,NA,NA,American,Prep Time 15 minutes mins,Cook Time 12 minutes mins,Total Time 27 minutes mins,24 cookies,5,10,2/3 cup unsalted butter softened,1/4 cup brown sugar,1 1/4 cups granulated sugar,2 large eggs at room temperature,1 teaspoon vanilla extract,2 2/3 cups all-purpose flour spooned and leveled,3/4 teaspoon baking soda,1/2 teaspoon baking powder,1/4 teaspoon salt,"4 standard size Butterfinger candy bars about 1.9 ounces each, chopped",NA,NA,NA,Baked Bree,https://bakedbree.com/butterfinger-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Almond Butter Cookies,Reilly Doucet,NA,NA,American,Prep Time 5 minutes mins,Cook Time 10 minutes mins,Total Time 15 minutes mins,12 cookies,4,5,1 cup almond butter,1/2 cup brown sugar,1 teaspoon baking soda,1 large egg beaten,2/3 cup chocolate chips optional,NA,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/almond-butter-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puppy Chow Recipe,Amy Golden,NA,NA,American,Prep Time 10 minutes mins,NA,Total Time 25 minutes mins,NA,3,6,1 cup semisweet chocolate chips,2 tablespoons unsalted butter,1 cup creamy peanut butter,1/2 teaspoon vanilla extract optional,6 cups Rice Chex cereal,1 1/2 cups powdered sugar,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/puppy-chow-recipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Date Cookies,Diane Goodman,NA,NA,American,Prep Time 10 minutes mins,Cook Time 10 minutes mins,Total Time 55 minutes mins,36 cookies,5,10,1 cup unsalted butter softened,1 cup granulated sugar,1/3 cup brown sugar,3 eggs at room temperature,3 cups sifted all-purpose flour,1 teaspoon baking soda,3/4 teaspoon ground cinnamon,2 teaspoons milk,1 1/2 cups pitted dates chopped,3/4 cup pecans chopped,NA,NA,NA,Baked Bree,https://bakedbree.com/date-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halloween Sugar Cookies,Diane Goodman,NA,NA,American,Prep Time 30 minutes mins,Cook Time 10 minutes mins,Total Time 3 hours hrs 40 minutes mins,24 cookies,9,8,1 cup unsalted butter softened,1 cup granulated sugar,2 large eggs,1 1/2 teaspoons vanilla extract,3 cups all-purpose flour,3/4 teaspoon baking powder,1 pinch kosher salt,Food coloring gel orange and black,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/halloween-sugar-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baked Donut Recipe,Amy Golden,NA,NA,American,Prep Time 10 minutes mins,Cook Time 13 minutes mins,Total Time 1 hour hr 23 minutes mins,NA,9,14,2 cups all-purpose flour,1/2 teaspoon ground cinnamon,1/4 teaspoon ground nutmeg,3/4 cup granulated sugar,1/4 cup brown sugar,2 1/4 teaspoons baking powder,1/4 teaspoon salt,3/4 cup milk,2 large eggs,2 1/2 tablespoons unsalted butter melted,1 1/2 teaspoons vanilla extract,1 cup powdered sugar for glaze,2 tablespoons milk for glaze,Baked Bree,https://bakedbree.com/baked-donut-recipe,1/2 teaspoon vanilla extract for glaze,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snickerdoodle Blondies,Diane Goodman,NA,NA,American,Prep Time 15 minutes mins,Cook Time 35 minutes mins,Total Time 50 minutes mins,24 servings,6,12,"1 cup unsalted butter, melted and cooled",1 1/2 cups granulated sugar,1/2 cup brown sugar,1 1/2 tablespoons milk,2 large eggs,3/4 teaspoon vanilla extract,2 3/4 cups all-purpose flour,1 teaspoon baking powder,1/2 teaspoon cream of tartar,1/2 teaspoon salt,"3 1/2 tablespoons granulated sugar, for topping","1 1/2 teaspoons ground cinnamon, for topping",NA,Baked Bree,https://bakedbree.com/snickerdoodle-blondies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butter Pecan Cookies,Amy Golden,NA,NA,American,Prep Time 15 minutes mins,Cook Time 15 minutes mins,Total Time 30 minutes mins,12 cookies,4,7,"1/2 cup unsalted butter, at room temperature",1/3 cup granulated sugar,1 1/4 teaspoons vanilla extract,1 pinch salt,1 cup all-purpose flour,1/4 teaspoon ground cinnamon,"3/4 cup pecans, chopped",NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/butter-pecan-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homemade Oreos,Amalena Caldwell,NA,NA,American,Prep Time 40 minutes mins,Cook Time 10 minutes mins,Total Time 50 minutes mins,40 cookies,13,14,8 ounces unsalted butter softened,1 cup granulated sugar,1 large egg,1 teaspoon vanilla extract,1 3/4 cups all-purpose flour,2/3 cup black cocoa powder,1/2 teaspoon baking powder,1/2 teaspoon baking soda,1/2 teaspoon salt,4 ounces unsalted butter softened,4 1/2 tablespoons vegetable shortening,2 cups powdered sugar,Clear vanilla extract to taste,Baked Bree,https://bakedbree.com/homemade-oreos,Pinch of kosher salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Blondies,Amy Golden,NA,NA,American,Prep Time 5 minutes mins,Cook Time 25 minutes mins,Total Time 30 minutes mins,NA,6,9,1/2 cup unsalted butter melted,3/4 cup light brown sugar,1/4 cup granulated sugar,1 large egg,1 1/4 teaspoons vanilla extract,1/2 cup peanut butter,1 pinch kosher salt,1 cup all-purpose flour,1/2 teaspoon baking powder,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/peanut-butter-blondies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Cheesecake Cookies,Amy Golden,NA,NA,American,Prep Time 15 minutes mins,Cook Time 15 minutes mins,Total Time 2 hours hrs 15 minutes mins,36 cookies,6,12,8 ounces cream cheese softened,4 1/2 tablespoons granulated sugar,2 1/2 teaspoons vanilla extract divided,4 cups all-purpose flour,3/4 teaspoon baking powder,1/4 teaspoon baking soda,1/4 teaspoon salt,1 3/4 teaspoons pumpkin pie spice,8 ounces unsalted butter softened,1 cup light brown sugar packed,1 large egg,1 cup canned pumpkin purée,NA,Baked Bree,https://bakedbree.com/pumpkin-cheesecake-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Cookies,Amy Golden,NA,NA,American,Prep Time 20 minutes mins,Cook Time 11 minutes mins,Total Time 31 minutes mins,36 cookies,8,12,8 ounces unsalted butter softened,3/4 cup granulated sugar,1/4 cup packed light brown sugar,1 large egg,2 1/2 teaspoons vanilla extract,1 1/2 cups pumpkin purée,2 cups all-purpose flour,1 tablespoon pumpkin pie spice,1/4 teaspoon kosher salt,1 teaspoon baking powder,1 teaspoon baking soda,"Icing for drizzling, optional",NA,Baked Bree,https://bakedbree.com/pumpkin-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donut Icing,Diane Goodman,NA,NA,American,Prep Time 5 minutes mins,NA,Total Time 5 minutes mins,NA,3,3,4 cups powdered sugar sifted,1/2 teaspoon vanilla extract,8-12 tablespoons milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baked Bree,https://bakedbree.com/donut-icing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mint Brownies,Amalena Caldwell,NA,NA,American,Prep Time 20 minutes mins,Cook Time 30 minutes mins,Total Time 2 hours hrs 20 minutes mins,NA,14,14,1 cup unsalted butter 2 sticks,4 ounces unsweetened baking chocolate chopped,2 cups granulated sugar,4 large eggs,2 teaspoons pure vanilla extract,1 1/3 cups all-purpose flour,3/4 teaspoon baking powder,1/4 cup unsalted butter softened,2 cups powdered sugar,1 1/2 tablespoons milk,1 1/4 teaspoons peppermint extract,Green food coloring optional,1 1/4 cups semi-sweet chocolate chips,Baked Bree,https://bakedbree.com/mint-brownies,6 tablespoons unsalted butter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
