title,author,rating,ratingnum,preptime,cooktime,totaltime,servings,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,source,link,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26
Churro Cookies,Heather Perine,Noratingsyet,,NA,13 minutes,13 minutes,16 cookies,16,For the chocolate centers,▢ 4 ounces semi-sweet chocolate chopped,▢ ½ cup (120 ml) heavy cream,For the cookie dough,▢ 2 ¼ cups (270 g) all-purpose flour spooned and leveled,▢ ½ teaspoon baking powder,▢ ¼ teaspoon baking soda,▢ 1 tablespoon cornstarch,▢ ½ teaspoon salt,"▢ ½ cup (1 stick, 113 g) unsalted butter room temperature",▢ ½ cup (100 g) granulated sugar,Boston Girl Bakes,https://www.bostongirlbakes.com/churro-cookies/,▢ ½ cup (107 g) packed light brown sugar,▢ 1 large egg room temperature,▢ 2 teaspoons vanilla extract,▢ ¼ cup (60 g) sour cream room temperature,▢ cinnamon sugar for rolling cookies in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Key Lime Cookies,Heather Perine,5, 1 ,15 minutes,10 minutes,25 minutes,24 cookies,14,For The Cookies:,"▢ 3 cups (360 g) all-purpose flour, spooned and leveled",▢ 1 teaspoon baking powder,▢ ½ teaspoon baking soda,▢ ½ teaspoon salt,"▢ 1 cup (2 sticks, 226 g) unsalted butter, softened",▢ 1 ¼ cups (250 g) granulated white sugar,▢ 1 teaspoon vanilla extract,▢ 2 tablespoons key lime juice,▢ 1 tablespoon key lime zest,▢ 1 large egg room temperature,Boston Girl Bakes,https://www.bostongirlbakes.com/key-lime-cookies/,For The Icing:,▢ 2 cups (228 g) confectioners sugar,▢ 3-4 tablespoons key lime juice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Ricotta Cookies,Heather Perine,Noratingsyet,,15 minutes,10 minutes,25 minutes,18 cookies,14,Cookies:,▢ 2 cups (240 g) all-purpose flour spooned and leveled,▢ 1 ½ teaspoons baking powder,▢ ¼ teaspoon salt,"▢ ½ cup (1 stick, 113 g) unsalted butter softened",▢ ¾ cup (150 g) granulated sugar,▢ 1 large egg room temperature,▢ ¾ cup (170 g) whole milk ricotta cheese gently drained of any excess liquid,▢ 2 Tablespoons lemon zest,▢ 3 Tablespoons lemon juice,Lemon Glaze:,Boston Girl Bakes,https://www.bostongirlbakes.com/lemon-ricotta-cookies/,▢ 1 ½ cup (170 g) powdered sugar,▢ 1 Tablespoon lemon zest optional,▢ 3 Tablespoons lemon juice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coconut Macaroons,Heather Perine,5, 30 ,15 minutes,20 minutes,35 minutes,20 cookies,7,▢ 14 ounces sweetened shredded coconut,▢ ¾ cup (216 g) sweetened condensed milk,▢ ¼ teaspoon salt,▢ 1 teaspoon vanilla extract,▢ ½ teaspoon almond extract,▢ 2 large egg whites room temperature,▢ 6 ounces semi-sweet chocolate melted (optional),NA,NA,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/coconut-macaroons/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carrot Cake Cookies,Heather Perine,4.85, 13 ,20 minutes,20 minutes,40 minutes,24 cookies,20,▢ 1 ½ cups (180 g) all-purpose flour *spooned and leveled,▢ ½ teaspoon salt,▢ ½ teaspoon baking powder,▢ ¼ teaspoon freshly grated nutmeg or a pinch of dried,▢ 2 teaspoons ground cinnamon,▢ ⅛ teaspoon ground cloves,▢ 1 cup (100 g) shredded carrots *about 5-6 medium,▢ 1 cup (213 g) packed light brown sugar *divided,"▢ 1 cup (2 sticks, 226 g) unsalted butter softened but still firm",▢ 1 cup (200 g) granulated sugar,▢ 2 large eggs room temperature,Boston Girl Bakes,https://www.bostongirlbakes.com/carrot-cake-oatmeal-cookies/,▢ 3 cups (300 g) old-fashioned oats,▢ 1 cup (149 g) golden raisins (or regular),▢ 1 cup (128 g) toasted walnuts chopped,▢ 1 cup (85 g) shredded sweetened coconut,Cream Cheese Frosting (optional),▢ 8 ounces (227 g) cream cheese softened to room temperature,"▢ 8 tablespoons (1 stick, 113 g) unsalted butter softened to room temperature",▢ 2 teaspoons vanilla extract,▢ 2 ½ cups (284 g) confectioners sugar *powdered sugar,NA,NA,NA,NA,NA,NA
Almond Flour Peanut Butter Cookies,Heather Perine,5, 2 ,15 minutes,12 minutes,27 minutes,32 cookies,9,▢ 1 ¾ cups (170 g) almond flour (spooned & leveled),▢ ½ teaspoon baking soda,▢ ¼ teaspoon salt,"▢ ½ cup (1 stick; 113 g) unsalted butter, softened to room temperature",▢ ½ cup (100 g) packed light brown sugar,▢ ¼ cup (50 g) granulated sugar plus additional sugar for rolling in before baking,▢ 1 large egg at room temperature,▢ ¾ cup 185 g) creamy peanut butter (see note),▢ 2 teaspoons pure vanilla extract,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/almond-flour-peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookies And Cream Cookies,Heather Perine,5, 1 ,30 minutes,12 minutes,42 minutes,20 cookies,12,▢ 2 ¾ cups (330 g) all purpose flour spooned and leveled,"▢ ⅔ cup (56 g) black cocoa powder, see note",▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,"▢ 1 cup (2 sticks, 226 g) unsalted butter, melted",▢ 1 cup (213 g) packed light brown sugar,▢ 1 cup (200 g) granulated white sugar,▢ 2 large eggs room temperature,▢ 2 teaspoons vanilla extract,▢ 1 cup (170 g) white chocolate chips,▢ 12 whole Oreos chopped,Boston Girl Bakes,https://www.bostongirlbakes.com/cookies-and-cream-cookies/,"▢ 10 white chocolate squares I used Ghiradelli, break each square in half, then half again",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gluten Free Monster Cookies,Heather Perine,5, 1 ,NA,NA,NA,NA,10,"▢ ¼ cup (4 Tablespoons, 57 g) unsalted butter at room temperature",▢ 1 cup (270 g) smooth peanut butter,▢ ¾ cup (160 g) packed light brown sugar,▢ ½ cup (100 g) granulated white sugar,▢ 2 large eggs lightly beaten,▢ 1 ½ teaspoons baking soda,▢ 2 teaspoons pure vanilla extract,▢ 3 cups (267 g) old fashioned rolled oats,▢ 1 cups (340 g) semi-sweet chocolate chips,▢ 1 cup M&M chocolate candies,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/gluten-free-monster-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M&M Chocolate Chip Cookies,Heather Perine,5, 2 ,15 minutes,11 minutes,26 minutes,20 cookies,11,▢ 2 ¼ cups (280 g) all-purpose flour (spooned & leveled),▢ 1 teaspoon baking soda,▢ 2 teaspoons cornstarch,▢ ½ teaspoon salt,"▢ ¾ cup (1 ½ sticks, 170 g) unsalted butter melted and slightly cooled",▢ ¾ cup (150 g) packed light brown sugar,▢ ½ cup (100 g) granulated sugar,▢ 1 large egg + 1 egg yolk at room temperature,▢ 2 teaspoons pure vanilla extract,▢ 1 cup (170 g) semi sweet chocolate chips,▢ 1 cup m and m candies,Boston Girl Bakes,https://www.bostongirlbakes.com/mm-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neapolitan Cookies,Heather Perine,Noratingsyet,,25 minutes,12 minutes,37 minutes,14 cookies,11,▢ 2 ¼ cups (280 g) all purpose flour spooned and leveled,▢ 1 ½ teaspoons cornstarch,▢ 1 teaspoon baking soda,▢ ¾ teaspoon salt,▢ ¾ cup (170 g) unsalted butter softened,▢ 1 ¼ cups (250 g) granulated sugar plus more for rolling in,▢ 1 large egg,▢ 1 large egg yolk,▢ 2 teaspoons vanilla extract,▢ ¼ cup freeze-dried strawberry powder,▢ 1 Tablespoon Dutch process cocoa powder,Boston Girl Bakes,https://www.bostongirlbakes.com/neapolitan-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Kiss Cookies,Heather Perine,5, 19 ,15 minutes,10 minutes,25 minutes,24 cookies,10,▢ 1 ½ cups (180 g) all purpose flour spooned and leveled,▢ ½ teaspoon salt,▢ ½ teaspoon baking soda,▢ ¼ cup (50 g) granulated white sugar (plus additional sugar to roll cookies in),▢ ¾ cup (160 g) packed light brown sugar,"▢ 8 tbsp (1/2 cup, 113 g) unsalted butter softened to room temperature",▢ 1 large egg room temperature,▢ 1 cup (270 g) smooth peanut butter,▢ 1 teaspoon pure vanilla extract,▢ 24 chocolate kiss candies,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/peanut-butter-chocolate-kiss-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russian Tea Cakes,Heather Perine,5, 29 ,20 minutes,12 minutes,32 minutes,20 cookies,6,▢ 1 cup (2 sticks. 226 g) unsalted butter softened,▢ 2 ⅔ cups (300 g) powdered (or confectioners) sugar *divided,▢ 1 teaspoon vanilla extract,▢ 2 ¼ cups (270 g) all purpose flour,▢ 1 cup (115 g) finely chopped toasted pecans *see note,▢ ¼ teaspoon salt,NA,NA,NA,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/russian-tea-cakes/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Oatmeal Cookies,Heather Perine,4.67, 12 ,15 minutes,10 minutes,25 minutes,36 cookies (or 18 large),12,▢ 2 cups (240 g) all-purpose flour *spooned and leveled,▢ 1 teaspoon baking soda,▢ 1 teaspoon salt,▢ ½ teaspoon cinnamon,▢ 1 cup (226 g) unsalted butter melted and slightly cooled,▢ 1 cup (213 g) packed light brown sugar,▢ ½ cup (100 g) granulated white sugar,▢ 2 large eggs,▢ 2 teaspoons vanilla extract,▢ ½ cup (135 g) smooth peanut butter,▢ 2 cups (198 g) old-fashioned oats,Boston Girl Bakes,https://www.bostongirlbakes.com/peanut-butter-oatmeal-cookies/,▢ 2 cups (340 g) peanut butter chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Funfetti White Chocolate Chip Cookies,Heather Perine,5, 14 ,30 minutes,20 minutes,50 minutes,36 cookies,12,▢ 3 ⅔ cup (440 g) all purpose flour spooned and leveled,▢ 1 ¼ teaspoons baking soda,▢ 1 ½ teaspoons baking powder,▢ 1 ½ teaspoons salt,"▢ 20 tablespoons (1 1/4 cups, 283 g) unsalted butter softened","▢ 1 ¼ cups (10 ounces, 267 g) light brown sugar",▢ 1 cup plus 2 tablespoons (223 g) granulated sugar,▢ 2 large eggs room temperature,▢ 1 ½ teaspoons natural vanilla extract,▢ ½ teaspoon almond extract,▢ 1 cup sprinkles,Boston Girl Bakes,https://www.bostongirlbakes.com/funfetti-white-chocolate-chip-cookies/,▢ 2 cups white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Chip Cookies,Heather Perine,5, 24 ,10 minutes,10 minutes,20 minutes,36 cookies,11,▢ 2 ¼ cups (280g) all purpose flour spooned and leveled,▢ 2 teaspoons cornstarch,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,"▢ ¾ cup 1 1/2 sticks, 170 g) unsalted butter melted and slightly cooled",▢ ¾ cups (160g) packed light brown sugar,▢ ½ cup (100 g) granulated white sugar,▢ 1 large egg room temperature,▢ 1 large egg yolk,▢ 2 teaspoons pure vanilla extract,▢ 1 ¼ cups white chocolate chips,Boston Girl Bakes,https://www.bostongirlbakes.com/white-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cherry Chocolate Chip Cookies,Heather Perine,5, 5 ,20 minutes,15 minutes,35 minutes,36 cookies (or 18 large ones),12,▢ 3 ⅔ cups (440 g) all purpose flour spooned and leveled,▢ 1 ¼ teaspoons baking soda,▢ 1 ½ teaspoons baking powder,▢ 1 ½ teaspoons salt,"▢ 1 ¼ cups (283 g, 2 1/2 sticks) unsalted butter softened to room temperature",▢ 1 ¼ cups (266 g) packed light brown sugar,▢ 1 cup plus 2 tablespoons (221 g) granulated sugar,▢ 2 large eggs room temperature,▢ 1 teaspoon vanilla extract,▢ 1 teaspoon almond extract,▢ 1 cup (142 g) dried cherries,Boston Girl Bakes,https://www.bostongirlbakes.com/dark-chocolate-cherry-almond-cookies/,▢ 2 cups (340 g) semis-sweet or bittersweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sugar Cookie Frosting,Heather Perine,5, 2 ,10 minutes,0 minutes,10 minutes,3 cups,6,"▢ 10 Tablespoons (140 g) unsalted butter, softened to room temperature softened to room temperature",▢ ½ cup + 2 Tablespoons (115 g) vegetable shortening,▢ 2 ½ cups (284 g) confectioners sugar,▢ 2 tablespoons milk,▢ 1 ½ teaspoons vanilla extract,▢ ½ teaspoon almond extract,NA,NA,NA,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/how-to-make-icing-for-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cadbury Egg Cookies,Heather Perine,5, 1 ,15 minutes,12 minutes,27 minutes,20 cookies,11,▢ 2 1/4 cups (280 g) all-purpose flour spooned and leveled,▢ 1 teaspoon baking soda,▢ 2 teaspoons cornstarch,▢ 1/2 teaspoon salt,"▢ 3/4 cup (1 ½ sticks, 170 g) unsalted butter melted and slightly cooled",▢ 3/4 cup (150 g) packed light brown sugar,▢ 1/2 cup (100 g) granulated sugar,▢ 1 large egg + 1 egg yolk at room temperature,▢ 2 teaspoons pure vanilla extract,▢ 1 cup (170 g) semi sweet chocolate chips,▢ 1 cup Cadbury mini eggs roughly chopped,Boston Girl Bakes,https://www.bostongirlbakes.com/cadbury-egg-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Poppyseed Cookies,Heather Perine,5, 13 ,15 minutes,10 minutes,25 minutes,24 cookies,17,For The Cookies:,"▢ 3 cups (360 g) all-purpose flour, spooned and leveled",▢ 1 teaspoon baking powder,▢ ½ teaspoon baking soda,▢ ½ teaspoon salt,▢ 2 Tablespoons poppyseeds,"▢ 1 cup (2 sticks, 226 g) unsalted butter, softened",▢ 1 ¼ cups (250 g) granulated white sugar,▢ 1 teaspoon vanilla extract,▢ 2 tablespoons lemon juice,▢ 1 tablespoon lemon zest,Boston Girl Bakes,https://www.bostongirlbakes.com/lemon-poppyseed-cookies/,▢ 1 large egg room temperature,For The Icing:,▢ 2 cups (228 g) confectioners sugar,▢ 3-4 tablespoons lemon juice,▢ 2 teaspoons lemon zest,▢ poppyseeds for garnish,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter M&M Cookies,Heather Perine,5, 1 ,15 minutes,12 minutes,27 minutes,20 cookies,11,▢ 2 1/4 cups (280 g) all-purpose flour spooned and leveled,▢ 1 teaspoon baking soda,▢ 2 teaspoons cornstarch,▢ 1/2 teaspoon salt,"▢ 3/4 cup (1 ½ sticks, 170 g) unsalted butter melted and slightly cooled",▢ 3/4 cup (150 g) packed light brown sugar,▢ 1/2 cup (100 g) granulated sugar,▢ 1 large egg + 1 egg yolk at room temperature,▢ 2 teaspoons pure vanilla extract,▢ 1 cup (170 g) semi sweet chocolate chips,▢ 1 cup pastel m and m candies,Boston Girl Bakes,https://www.bostongirlbakes.com/easter-mm-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Pecan Cookies,Heather Perine,5, 5 ,20 minutes,10 minutes,30 minutes,36 cookies,11,▢ 1 cup (114 g) pecan halves toasted and chopped,"▢ 1 cup (226 g, 2 sticks) unsalted butter",▢ 2 1/2 cups (300 g) all purpose flour spooned and leveled,▢ 1 teaspoon baking soda,▢ 1 teaspoon salt,▢ 1/2 cup (100 g) granulated white sugar,▢ 1 cup (213 g) packed light brown sugar,▢ 2 teaspoons vanilla extract,▢ 2 large eggs room temperature,▢ 12 ounces chocolate chips,▢ Flaky sea salt for topping after baking,Boston Girl Bakes,https://www.bostongirlbakes.com/chocolate-chip-pecan-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raspberry Almond Thumbprints,Heather Perine,5, 9 ,20 minutes,15 minutes,35 minutes,14 cookies,13,For the cookies,"▢ ½ cup (1 stick, 113 g) unsalted butter, softened",▢ ⅓ cup (67 g) granulated white sugar,▢ 1 egg yolk room temperature,▢ 1 teaspoon vanilla extract,▢ ½ teaspoon almond extract,▢ 1 cup + 2 tablespoons (135 g) all purpose flour,▢ ½ teaspoon table salt,▢ 3 1/2 teaspoons raspberry jam,For the glaze,▢ 1/2 cup (60 g) powdered sugar,Boston Girl Bakes,https://www.bostongirlbakes.com/raspberry-almond-thumbprints/,▢ 1 tablespoon milk,▢ 1/2 teaspoon vanilla extract (or almond extract),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Turtle Cookies,Heather Perine,5, 8 ,20 minutes,10 minutes,30 minutes,24 cookies,11,▢ 2 3/4 cups (330 g) all purpose flour spooned and leveled,▢ ⅔ cup (56 g) unsweetened cocoa powder,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,"▢ 1 cup (2 sticks, 226 g) unsalted butter softened",▢ 1 cup (213 g) packed light brown sugar,▢ 1 cup (200 g) granulated white sugar,▢ 2 large eggs,▢ 2 teaspoons vanilla extract,▢ 1 ½ cup (170 g) chopped toasted pecans,▢ 36 soft covered caramels,Boston Girl Bakes,https://www.bostongirlbakes.com/chocolate-turtle-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chai Snickerdoodles,Heather Perine,5, 1 ,10 minutes,10 minutes,20 minutes,24 cookies,19,Cookies,▢ 2 3/4 cups (330 g) all-purpose flour spooned and leveled,▢ 2 teaspoons cream of tartar,▢ 1 teaspoons baking soda,▢ 1/4 teaspoon table salt,▢ 1/2 teaspoon ground cinnamon,▢ 1/4 teaspoon ground cardamom,▢ 1/4 teaspoon ground allspice,▢ 1/4 teaspoon ground cloves,"▢ 1 cup (2 sticks, 226 g) unsalted butter, softened",▢ 1 ½ cups (300 g) granulated white sugar,Boston Girl Bakes,https://www.bostongirlbakes.com/chai-snickerdoodles/,▢ 2 large eggs room temperature,▢ 2 teaspoons vanilla extract,Coating,▢ 5 tablespoons granulated white sugar,▢ 1 Tablespoon ground cinnamon,▢ 1/4 teaspoon ground cardamom,▢ 1/4 teaspoon ground allspice,▢ 1/4 teaspoon ground nutmeg,NA,NA,NA,NA,NA,NA,NA
Cinnamon Roll Cookies,Heather Perine,5, 2 ,45 minutes,10 minutes,55 minutes,32 cookies,16,For the cookies:,▢ 2 ¾ cups (330 g) all-purpose flour spooned and leveled,▢ 2 teaspoons baking powder,▢ ½ teaspoon salt,"▢ ¾ cup (1 ½ sticks, 170 g) unsalted butter softened",▢ 1 cup (200 g) granulated white sugar,▢ 1 teaspoon vanilla extract,▢ 2 large eggs room temperature,For filling:,▢ ⅓ cup (70 g) packed light brown sugar,▢ 2 teaspoons ground cinnamon,Boston Girl Bakes,https://www.bostongirlbakes.com/cinnamon-roll-cookies/,▢ 2 tablespoons unsalted butter melted,For icing:,▢ 1 cup (120 g) confectioners sugar,▢ 2 tablespoons milk,▢ ½ teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pistachio Thumbprint Cookies,Heather Perine,5, 2 ,20 minutes,15 minutes,35 minutes,28 cookies,9,"▢ 1 cup (2 sticks, 226 g) unsalted butter, softened",▢ 2/3 cup (67 g) granulated white sugar,▢ 2 large egg yolks room temperature,▢ 2 teaspoons vanilla extract,▢ 1 teaspoon almond extract,▢ 2 1/4 cups (270g) all purpose flour spooned and leveled,▢ 1 teaspoon salt,▢ 1 cup finely ground pistachios,▢ 3 Tablespoons raspberry jam,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/pistachio-thumbprint-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candy Cane Kiss Cookies,Heather Perine,5, 1 ,NA,NA,NA,24 cookies,11,▢ 3 cups (360 g) all-purpose flour,▢ 1 teaspoon baking powder,▢ 1/4 teaspoon baking soda,▢ 1/2 teaspoon salt,"▢ 1 cup (2 sticks, 227 g) unsalted butter softened ro room temperature",▢ 1 1/4 cups (250 g) granulated sugar,"▢ 1/4 cup (2 ounces, 57 g) cream cheese softened to room temperature",▢ 1 large egg,▢ 1 1/2 teaspoons vanilla extract,▢ 24 candy cane kisses,▢ 3/4 cup sprinkles,Boston Girl Bakes,https://www.bostongirlbakes.com/candy-cane-kiss-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cut Out Shortbread Cookies,Heather Perine,5, 4 ,20 minutes,12 minutes,46 minutes,16 cookies,5,"▢ ½ cup (1 stick, 113 g) unsalted butter softened to room temperature",▢ ¼ cup (50 g) granulated sugar,▢ 1 teaspoon vanilla extract,▢ ½ teaspoon fine sea salt,▢ 1 cup + 1 tablespoon (135 g) all purpose flour spooned and leveled,NA,NA,NA,NA,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/cut-out-shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raspberry Rugelach,Heather Perine,4.50, 4 ,NA,NA,NA,36 cookies,16,For the dough:,▢ 1 8- ounce package cream cheese at room temperature,▢ 1/3 cup (67 g) granulated sugar,▢ 1 1/2 teaspoons vanilla extract,▢ 3/4 teaspoon salt,▢ 2 1/2 cups (300 g) all-purpose flour plus more for dusting,"▢ 1 cup (2 sticks, 227 g) unsalted butter cold and cut into cubes",For the filling,▢ 3/4 cup (86 g) pecans toasted and chopped,▢ 1 cup (255 g) raspberry preserves,▢ 6 tablespoons granulated sugar,Boston Girl Bakes,https://www.bostongirlbakes.com/strawberry-walnut-rugelach/,▢ 1 1/2 teaspoons ground cinnamon,For the glaze:,▢ 1 large egg,▢ 1 teaspoon cold water,▢ 2 tablespoons turbinado (raw) sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small Batch Chocolate Chip Cookies,Heather Perine,5, 13 ,10 minutes,12 minutes,22 minutes,8 cookies,10,▢ 1/2 cup + 1 tablespoons (70 g) all-purpose flour (spoon & leveled),▢ 1/4 teaspoon baking soda,▢ 1/2 teaspoons cornstarch,▢ ¼ teaspoon salt,▢ 3 tablespoons (43 g) unsalted butter melted and slightly cooled,▢ 1/4 cup (50g) packed light brown sugar (or dark brown sugar),▢ 2 Tablespoons granulated sugar,▢ 1 large egg yolk room temperature,▢ 3/4 teaspoon vanilla extract,▢ 1/3 cups (58 g) semi-sweet chocolate chips or chocolate chunks,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/small-batch-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monster Cookie Bars,Heather Perine,5, 4 ,15 minutes,25 minutes,40 minutes,16 bars,13,▢ 1 ½ cups (180 g) all purpose flour *spooned and leveled,▢ 2 cups (198 g) old fashioned oats *see note,▢ 1 teaspoon baking powder,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,▢ 1 cups (213 g) packed light brown sugar,▢ 1/2 cup (100 g) granulated white sugar,"▢ 1 cup (2 sticks, 226 g) unsalted butter softened",▢ 2 large eggs room temperature,▢ 2 teaspoons vanilla extract,▢ ½ cup (135 g) smooth peanut butter,Boston Girl Bakes,https://www.bostongirlbakes.com/monster-cookie-bars/,▢ 1 cup (170 g) semi-sweet chocolate chips,▢ 1 cup (170 g) candies (I used a combination of peanut butter cups and M&Ms),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate White Chocolate Chip Cookies,Heather Perine,5, 3 ,10 minutes,12 minutes,22 minutes,24 cookies,10,▢ 2 ½ cups (300 g) all-purpose flour spooned and leveled,▢ ½ cup (42 g) natural unsweetened cocoa powder,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,"▢ 1 cup (2 sticks, 227 g) unsalted butter softened at room temperature",▢ 1 cup (200 g) granulated sugar,▢ 1 cup (213 g) packed light brown sugar,▢ 2 large egg at room temperature,▢ 2 teaspoon vanilla extract,▢ 12 ounces white chocolate chips,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/chocolate-white-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Chocolate Chip Cookies,Heather Perine,5, 6 ,15 minutes,12 minutes,27 minutes,32 cookies,16,▢ 3 cups (360 g) all purpose flour *spooned and leveled,▢ 2 teaspoons baking powder,▢ 1 teaspoons baking soda,▢ 1 teaspoon salt,▢ 1 teaspoon ground cinnamon,▢ 1/4 teaspoon ground nutmeg,▢ 1/4 teaspoon ground cloves,▢ 1/4 teaspoon ground ginger,"▢ 16 tablespoons (2 sticks, 226 g) unsalted butter softened to room temperature",▢ 1/3 cup (79 g) pumpkin puree,▢ 3/4 cup (158 g) brown sugar (light or dark) packed,Boston Girl Bakes,https://www.bostongirlbakes.com/pumpkin-chocolate-chip-cookies/,▢ 3/4 cup (144 g) granulated sugar,▢ 3 teaspoons vanilla extract,▢ 1 large egg room temperature,▢ 1 large egg yolk room temperature,▢ 1 cup (170 g) mini chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Sugar Chocolate Chip Cookies,Heather Perine,4.80, 63 ,10 minutes,9 minutes,19 minutes,30 cookies,9,▢ 3 cups (360 g) all purpose flour spooned and leveled,▢ 1 teaspoon baking soda,▢ 1/2 teaspoon baking powder,▢ 1 teaspoon salt,"▢ 1 cup (2 sticks, 227 g) unsalted butter softened",▢ 2 cups (414 g) packed light brown sugar,▢ 2 large eggs,▢ 2 teaspoons pure vanilla extract,▢ 12 ounces semi-sweet chocolate chips,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/brown-sugar-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
