title,author,datelisted,rating,ratingnum,category,description_card,sugar,cuisine,course,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,source,link,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26
Jewish Hamantaschen Cookies,Hilda Sterner,"Jan 1, 2025",5,6,Sweets & Dessert Recipes,"Hamantaschen cookies are triangle-shaped cookies with various fillings, which are enjoyed during the Jewish holiday, Purim.",Sugar: 6g,Jewish,Dessert,30 minutes,10 minutes,NA,40 minutes,48 cookies,6,"In a stand mixer, cream softened butter with a paddle attachment for one minute. Add granulated sugar and powdered sugar to the bowl and mix for a minute or two until light and fluffy. Add 1 egg, zest from one tangerine, tangerine juice, vanilla extract, and mix to combine.
Whisk flour, cardamom, and salt in a medium bowl, then add flour mixture to the mixing bowl, ½ cup at a time, until the dough comes together. Do not over-mix. Form dough into a disc, wrap in plastic wrap and refrigerate for one hour.
Divide dough into quarters and work with one quarter at a time, while the rest stays wrapped in the fridge. On a floured work surface, use a floured rolling pin to roll out the dough ⅛"" thick. If it sticks, use more flour. Cut out as many circles as you can using a 3"" cookie cutter or a drinking glass with a 3"" rim circumference.
Use a spatula to transfer 12 dough circles onto a parchment-lined baking tray; space out evenly. Add ¾ to 1 teaspoon jam to the center of each circle. Fold the left and right top sides and pinch together in the center to seal. Next, bring the bottom up and pinch the left and right corners to seal. (see video & photos)
Bake hamantaschen cookies on the center rack of a preheated 350℉ oven for 10 to 12 minutes or until the edges are golden brown.
Let the cookies cool on the baking sheet for a few minutes before transferring them to a wire rack.",11,▢ ¾ cup unsalted butter (softened),▢ ⅓ cup granulated sugar,▢ ⅓ cup powdered sugar,▢ 1 medium egg,▢ 2 teaspoons orange juice,"▢ 2 teaspoons orange zest (Cutie, or tangerine)",▢ 1 teaspoon vanilla extract,▢ 2¼ cups all purpose flour,▢ 2 teaspoon cardamom powder (optional),▢ ¼ teaspoon sea salt,▢ 1 cup jam,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/jewish-hamantaschen-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange Lavender Shortbread Cookies,Hilda Sterner,"Jul 15, 2024",5,2,Sweets & Dessert Recipes,"These orange shortbread cookies do not disappoint! They're light, buttery, and great with a cup of coffee or tea!",Sugar: 7g,American,Dessert,20 minutes,15 minutes,NA,5 minutes,15 cookies,8,"Using a stand mixer with a paddle attachment, cream room temperature butter until light and fluffy.
Using a small food processor, pulse sugar, lavender buds, and orange zest until incorporated. Add to butter and mix on medium speed until combined.
Add flour and salt and mix first on low, then on medium until incorporated. Scrape sides of the bowl with a spatula as needed, then add orange juice. Mix until the dough comes together.
Pour mixture over saran wrap. Fold plastic wrap over the dough, as you shape it into a disk. Chill cookie dough in the fridge for 30 minutes.
Using a floured surface and floured rolling pin, roll chilled dough until it's ¼"" thick. Use a 2 to 2½ inch cookie cutter to cut out cookies. Press dough scraps together and roll out until all the dough is used up.
Add cookies to a parchment paper or silicone mat-lined baking sheet and chill in the freezer for 15 minutes. Preheat convection oven to 325℉.
Bake chilled cookies in preheated oven for 13-15 minutes or until golden around the edges. Transfer to a cooling rack.
Whisk powdered sugar (icing sugar), lavender syrup, and half and half in a small bowl until smooth in consistency. Drizzle over cooled cookies and sprinkle with lavender buds. If you want to accentuate the orange flavor, use orange syrup and sprinkle with orange zest instead! ",11,▢ ½ cup unsalted butter,▢ ½ cup bakers sugar,▢ 1 tablespoon dried culinary lavender,▢ 2 teaspoon orange zest,▢ 1 cup all-purpose flour (plus more for dusting),▢ ¼ teaspoon sea salt,▢ 1 teaspoon orange juice,▢ ½ cup powdered sugar,▢ 1 tablespoon lavender syrup,▢ 1 tablespoon half and half,▢ 1 tablespoon dried lavender buds,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/orange-lavender-shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cadbury Mini Egg Cookies,Hilda Sterner,"Mar 24, 2023",5,54,Easter Recipes,"These frosted Cadbury Mini Egg Cookies are super cute, delicious, and perfect for Easter or anytime you're craving a sweet treat that's ready in under 20 minutes!",Sugar: 102g,American,sweets,5 minutes,8 minutes,NA,23 minutes,24 cookies,5,"Add cake and pudding mixes to a large bowl or a stand mixer. Use a paddle attachment or a hand-held mixer on low setting to blend the flour mixture. Add eggs and melted butter and mix on medium until batter comes together. 
Using a 1½"" cookie scoop, scoop out batter and arrange the cookie dough balls on a baking tray lined with parchment paper. Bake in preheated oven for 8 minutes or until golden brown around the edges.
While the cookies are still warm, gently flatten them with the back of a spatula just until they have a flattened surface. Transfer to cooling rack to cool completely before frosting.
Add powdered sugar, soft or melted butter, milk, and 1 teaspoon vanilla extract to a mixing bowl. With a whisk attachment, mix on low, then high speed, until the buttercream is light and fluffy. If the mixture is too dry, add milk, a teaspoon at a time, until the ingredients come together. 
Add buttercream to a piping bag with a small round tip and use it to frost the cookies. Immediately sprinkle the cookies with sprinkles before the buttercream starts to harden. Add three mini Cadbury eggs on top of the cookies.",11,▢ 1 box super moist party rainbow chip cake mix (15.25 ounce),▢ 1 box cheesecake instant pudding mix (3.4 ounces),▢ 2 medium eggs,▢ ½ cup melted or softened butter,▢ 2 cups powdered sugar,▢ 6 tablespoon unsalted butter (room temperature),▢ 3 tablespoon milk,▢ 1 teaspoon vanilla extract,▢ food coloring (optional),▢ rainbow sprinkles,▢ 72 Cadbury mini eggs,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/cadbury-mini-egg-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Shortbread Cookies,Hilda Sterner,"Mar 13, 2023",5,3,Sweets & Dessert Recipes,"These lemon shortbread cookies are bursting with lemony flavor! They're light, crisp, and just melt in your mouth!",Sugar: 7g,American,"brunch, Dessert, sweets",10 minutes,13 minutes,NA,53 minutes,24 cookies,5,"Using a stand mixer with a paddle attachment, cream room temperature butter until fluffy. Scrape the sides of the bowl then add ½ of the lemon zest and juice, along with the lemon extract, if using. Mix to combine.
Pour baking sugar into the bowl and mix until incorporated. Sift pastry flour and sea salt into the bowl then mix the flour mixture with the other ingredients until the dough comes together. Wrap in plastic wrap and refrigerate for 30-60 minutes.
Roll out the dough into ¼"" thickness on a lightly floured surface. Use a cookie cutter to cut out cookies, then arrange 12 cookies on a parchment-lined baking sheet, leaving some room for expansion.
Bake for 13 minutes or until the cookies are lightly brown around the edges. Cool on a cooling rack.
Whisk icing sugar, lemon zest, and lemon juice in a small bowl until smooth. Either dip the cookies into the icing, spread the icing onto the cookies, or drizzle the icing onto the shortbread cookies and allow them to set.",9,▢ ¾ cup unsalted butter (room temperature),▢ 1 medium lemon juiced and zested (use ½ of juice & zest),▢ ½ teaspoon lemon extract (optional),▢ ⅓ cup baking sugar (Caster sugar),▢ 1¾ cups pastry flour,▢ ⅛ teaspoon sea salt,▢ ¾ cup powdered sugar (Confectioner's sugar),▢ 1½ tablespoon lemon juice (remaining from juiced lemon),▢ 2 teaspoon lemon zest (remaining from zested lemon),NA,NA,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/lemon-shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Heart Shaped Cookies,Hilda Sterner,"Feb 2, 2023",5,10,Valentine's Day Recipes,"These heart-shaped cookies are the perfect, no-fuss, Valentine's, or anytime dessert! They're easy to make, crispy, and delicious!",Sugar: 15g,American,"Dessert, Snack",40 minutes,8 minutes,NA,40 minutes,30 cookies,9,"Add flour, sugar, salt, baking powder, and baking soda to a food processor. Pulsa a few times to combine.
Add cold cubed butter and shortening and pulse until crumbly. Use a spatula to scrape the sides of the bowl.
Whisk egg, milk, and lemon extract in a small bowl and drizzle over the other ingredients in the food processor. Pulse until the dough comes together. Dump the mixture out of the food processor and onto plastic wrap and roll into a log.
Divide the dough into 3 equal portions. Leave one portion out and refrigerate the rest. Flour your work surface and rolling pin. Roll the dough out to about ⅛"" to ¼"" thickness. Use a heart-shaped cookie cutter to cut out the cookies.
Use a pastry scraper to transfer the cookies to a parchment-lined cookie sheet. Leave enough room for the cookies to expand. Bake in a preheated 350-degree F oven for approximately 6-8 minutes or until lightly browned around the edges. 
Allow cookies to cool on the baking sheet for a few minutes then transfer them to a wire cooling rack. Continue this process until all the cookies are baked.
Place white chocolate chips in a small ziplock bag. Work the chips into the corner of the bag and twist, secure with a rubber band. Place the chocolate chips in a small bowl. Pour hot water into the bowl. You may need to massage the bag for a minute until the chocolate is completely melted.
Cut the tip of the bag to allow the chocolate to be squeezed out, then gently squeeze the melted chocolate out of the bag to decorate the cookies. Before the chocolate hardens, top the cookies with sprinkles.
Whisk sugar, milk, and extract in a bowl until smooth. Add more milk or sugar until you reach the desired consistency. Divide the icing into smaller bowls and add food coloring to make different colored icing. Use to decorate cooled cookies.",15,▢ 2 cups all-purpose flour,▢ ¾ cup granulated sugar,▢ ½ teaspoon sea salt,▢ ½ teaspoon baking powder,▢ ½ teaspoon baking soda,▢ ½ cup cold butter,▢ ¼ cup shortening,▢ 1 large egg,▢ 1 tablespoon whole milk,▢ 1 teaspoon lemon extract,▢ ½ cup white chocolate chips,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/easy-heart-shaped-cookies/,▢ sprinkles,▢ 2 cups confectioners' sugar,▢ 2 tablespoon whole milk,▢ ½ teaspoon lemon extract (or vanilla),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Krumkaker Norwegian Christmas Cookies,Hilda Sterner,"Nov 26, 2021",5,77,Sweets & Dessert Recipes,"Similar to Italian Pizzelles, these delicious cardamom-flavored cakes (or cookies) are prepared with a krumkake iron and shaped over a cone so that they can be filled with whipped cream and fruit.",Sugar: 4g,Norwegian,Dessert,10 minutes,NA,NA,40 minutes,50 cookies,5,"If using a krumkake iron (paid link), heat on the stove over low-medium heat for 3 to 5 minutes. The iron is ready when a drop of water immediately sizzles when added to the hot iron. If using a Pizzelle Iron (paid link), turn it on and wait for the light indicating it's ready to use. Brush either one with oil to season them prior to use.
Crack eggs into a medium-sized bowl and whisk for 60 seconds. Add sugar and whisk to combine. Pour melted butter into the bowl and continue to whisk. Add milk, flour, cardamom, almond extract, and salt. Mix until all the ingredients are incorporated. Refrigerate the batter for 30 minutes.
Fill a 1-tablespoon cookie scoop (paid link) ¾ full of batter and pour it into the center of the preheated iron. Gently press the iron together. 
Cook the cookies for approximately 25 seconds (using a timer). Turn the iron to the other side and cook for another 25 seconds. The time will vary based on your stove's heat setting, but you're trying to achieve a golden brown color.
Quickly remove the cookies from the iron using an offset spatula and immediately roll around the wooden cone. The cookies begin to harden almost immediately. Set the rolled cookie seam-side down while you prepare the next one. Continue until you have used up all the batter. ",9,▢ 3 medium eggs,▢ 1 cup granulated sugar,▢ ½ cup unsalted butter (melted),"▢ 1 cup whole milk (half and half, or cream)",▢ 1½ cups all-purpose white flour,▢ 1 teaspoon cardamom powder,▢ 1 teaspoon almond extract,▢ ¼ teaspoon salt,▢ 1 teaspoon oil (for seasoning the iron),NA,NA,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/krumkaker-norwegian-christmas-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black Forest Tea-Infused Madeleine Cookies,Hilda Sterner,"Nov 7, 2021",4.84,6,Sweets & Dessert Recipes,"These Tasty Black Forest Tea-Infused Cherry Madeleine Cookies are elegant enough to serve for a formal occasion, yet simple enough to enjoy any time!",Sugar: 11g,French,"Dessert, Snack",10 minutes,10 minutes,NA,30 minutes,12 Madeleines,11,"Add tea to a small bowl or cup and pour ¼ cup boiling water over it. Allow it to steep for 5 minutes. 
Melt butter in the microwave (15 to 30 seconds) and allow it to cool down but not solidify.
Brush Madeleine mold with melted butter and set it aside until needed.
In a large bowl, vigorously whisk eggs, sugar, orange zest, almond extract, and salt for a minute or two until light and fluffy. 
Add 2 teaspoons of tea and 1 tablespoon of the tea leaves to the batter. Mix to combine.
Chop and stir dried cherries into all-purpose flour. Mix gently into the bowl ingredients. 
Use a rubber spatula to gently fold the melted and cooled butter into the batter.
Scoop 1 heaping tablespoon of batter into each buttered Madeleine mold. Rest the batter for 10 minutes then bake for 10 minutes. Rotate the pan, front to back, halfway through.
Remove the pan from the oven when the cookies have set and are golden around the edges. Immediately invert the pan onto a wire rack. Cool the cookies completely.
Add chocolate chips to a small deep bowl and melt in the microwave, stirring every 30 seconds, until the chips are completely melted. Dip the Madeleines into the melted chocolate.
Carefully rest the cookies on a wire rack and chill them in the refrigerator for about 15 minutes to set the chocolate. Bring to room temperature before serving.",12,▢ ¼ cup unsalted butter (plus more for buttering the pan),▢ 1 tablespoon black loose tea (black forest or cherry flavored),▢ ¼ cup boiling water,▢ 2 medium eggs,▢ ⅓ cup sugar,▢ 1 tablespoon orange zest,▢ ½ teaspoon almond extract,▢ ¼ teaspoon salt,▢ 3 tablespoon dried cherries,▢ ½ cup all-purpose flour,▢ ½ cup dark chocolate chips (melted),Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/black-forest-tea-infused-madeleine-cookies/,▢ 1 tablespoon confectioners sugar (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delicious Gingerbread Men Cookies,Hilda Sterner,"Dec 6, 2020",5,3,Christmas Recipes,Delicious gingerbread men cookies with just the right amount of spice.,Sugar: 5g,American,Dessert,10 minutes,5 minutes,NA,15 minutes,100 cookies,5,"Beat shortening in a mixing bowl at high speed for approximately 30 seconds. Add brown sugar and beat until combined.
Add baking powder, baking soda, and spices. Mix thoroughly, scraping down the sides of the bowl as needed. Beat in molasses, eggs, and vinegar. Add flour in batches and mix to combine. If needed, stir in the last of the flour with a wooden spoon.
Divide the gingerbread cookie dough into four sections. Wrap each section in Saran wrap. Chill the dough for approximately two to three hours so that it's easier to handle. 
On a lightly floured surface, roll out one section of dough at a time to ⅛"" thickness. Keep the remaining gingerbread dough in the fridge until needed. Use a gingerbread men cookie cutter to cut the cookies. A 3"" cookie cutter will yield approximately 100 cookies.
Use a spatula to transfer the gingerbread cookies from the floured surface to the cookie sheet. Bake the cookies for 5 minutes or until the edges are light brown. Cool the gingerbread cookies on the baking sheet for a few minutes, then transfer them to a wire rack to cool further.",14,▢ 1 cup shortening,▢ 1 cup packed brown sugar,▢ 2 teaspoon baking powder,▢ 1 teaspoon baking soda,▢ 1 tablespoon ground ginger,▢ 1 teaspoon ground cloves,▢ 1 teaspoon cinnamon powder,▢ 1 teaspoon cardamom powder,▢ ½ teaspoon salt,▢ ¼ teaspoon finely ground black pepper (optional),▢ 1 cup molasses,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/delicious-gingerbread-men-cookies/,▢ 2 tablespoon white vinegar,▢ 2 medium eggs,▢ 5 cups all-purpose flour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chebakia (Moroccan Sesame Cookies),Hilda Sterner,"Oct 17, 2020",5,6,Middle Eastern Recipes,"Moroccan sesame cookies, shaped like elongated roses, deep-fried, and dipped into syrup.",Sugar: 11g,Middle Eastern,sweets,NA,30 minutes,NA,30 minutes,30 cookies,11,"In a small bowl, dilute saffron threads into 2 tablespoons of warm water and set aside until needed. Grind all but 2 tablespoons of toasted sesame seeds in a food processor until powdery. Set 2 tablespoons aside to sprinkle over the cookies.
In a large bowl, whisk ground sesame seeds with flour, baking powder, salt, and spices. Add saffron water, egg, butter, vinegar, orange blossom water, and anise. Stir to combine. If the dough is too dry, add additional water, 1 tablespoon at a time, until the dough comes together.
Knead Chebakia dough with your hands for five minutes, or so until the dough is pliable. You can also use a mixer if you prefer. Divide dough into 3 sections and cover with a dishcloth while you make the syrup.
Add water, sugar, orange blossom water, and lemon juice in a saucepan. Cook over medium heat, while stirring, until the sugar is dissolved.
Add honey and stir to combine. Bring to a boil, then simmer for 5 minutes. Boil for a few additional minutes if needed to thicken. Set aside to cool. The syrup will thicken further once cooled.
Roll one section of dough into ⅛"" in thickness. Trim the dough edges to make a square. Divide the square into nine squares (approximately 3.25"" x 3.25"" in size). It's ok if they're not exactly that size. Make 4, evenly spaced slits in each square.
Thread one square over your middle finger, so that you have 3 strips of dough on top and 2 on the bottom. With your other hand, pinch the two front corners of the dough.
Fold the dough over your finger (towards the tip of your finger). Form the dough into an oval-shaped flower. Pinch both corners. Place the folded Chebakia on a baking tray and repeat the steps until all the dough is used up.
Heat oil in a deep pan until it reaches 350 degrees F. Fry Chebakia in batches until they reach a deep brown color. Remove with a slotted spoon.
Transfer the fried Chekabia into the syrup, while you fry the next batch. Remove the first batch from the honey and add the next batch. Repeat until all the cookies are fried.
Once the Chebakia are removed from the honey and plated, pour any remaining syrup over them and sprinkle with the reserved toasted sesame seeds.",19,▢ pinch saffron threads (diluted in 2 tablespoons warm water),▢ 1 cup toasted sesame seeds (divided),▢ 2 cups all-purpose flour,▢ ¾ teaspoon cinnamon powder,▢ ½ teaspoon baking powder,▢ ½ teaspoon cardamom powder,▢ ¼ teaspoon salt,▢ ¼ teaspoon ground turmeric,▢ 1 medium egg,▢ ¼ cup unsalted butter (melted),▢ 1½ tablespoons white vinegar,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/chebakia-moroccan-sesame-cookies/,▢ 1 tablespoon orange blossom water,▢ 1 teaspoon anise extract,▢ 1 cup white sugar,▢ 1 cup water,▢ 1 tablespoon orange blossom water (or rose water),▢ 1 teaspoon lemon juice,▢ ½ cup honey,▢ 3 cups canola or vegetable oil (more or less depending on pot size),NA,NA,NA,NA,NA,NA,NA
Thimbleberry White Chocolate Chip Cookies,Hilda Sterner,"Sep 6, 2020",5,9,Foraging Recipes,Soft Thimbleberry Cookies with white chocolate chips.,Sugar: 12g,American,sweets,5 minutes,10 minutes,NA,15 minutes,32 cookies,6,"Mix cake mix and pudding mix in a stand mixer. If coconut oil is solidified, microwave it for 30 seconds. Add coconut oil and mix to combine.
Add both eggs and beat until incorporated.
Mix in macadamia nuts (if using) followed by white chocolate chips.
Finally, add coconut and thimbleberries. Mix on low just until combined.
Using a large cookie scoop, scoop 12 portions of dough and arrange on a parchment-lined cookie sheet.
Bake cookies for 10 to 12 minutes. Allow the cookies to set for a few minutes before cooling on a wire rack.",8,▢ 1 box white cake mix (16.25 ounce),▢ 1 box coconut cream pudding mix (5.1 ounce),▢ ½ cup coconut oil (liquified),▢ 2 medium eggs,▢ ⅓ cup macadamia nuts,▢ ⅓ cup white chocolate chips,▢ ⅓ cup chipped coconut,▢ ½ cup thimbleberries,NA,NA,NA,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/thimbleberry-white-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Chickpea Cookies,Hilda Sterner,"Jun 18, 2020",5,2,Sweets & Dessert Recipes,Decadent chocolate chip chickpea cookies that are gluten-free and absolutely delicious!,Sugar: 11.7g,American,"Dessert, sweets",10 minutes,15 minutes,NA,25 minutes,16 large cookies,5,"Blend chickpeas in a food processor until smooth.
Add peanut butter, maple syrup, vanilla extract, baking soda, and salt. Blend until thoroughly combined.
Transfer the chickpea cookie dough to a bowl and fold in chocolate chips. 
Line two cookie sheets with parchment paper. Using a cookie scoop, add eight two tablespoon-sized portions of the chickpea cookie dough onto the cookie sheet. Shape with wet hands if necessary. You should get eight cookies per sheet.
Bake for 15 minutes and allow to cool for 20 minutes before transferring onto cooling racks. Cool on wire rack.",7,▢ 1 14 oz can chickpeas (drained and rinsed),"▢ 1 cup creamy, unsalted, sugar-free peanut butter",▢ 1 cup pure maple syrup,▢ 2 teaspoon vanilla extract,▢ 1½ teaspoon baking soda,▢ ½ teaspoon sea salt,▢ ½ cup mini chocolate chips,NA,NA,NA,NA,Hilda's Kitchen Blog,https://hildaskitchenblog.com/recipe/chocolate-chip-chickpea-cookies-gluten-free/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
