title,author,rating,ratingnum,cuisine,INFOCARDv1,INFOCARDv2,numberofsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,source,link,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21
Jacques Torres Chocolate Chip Cookies,By Kim - InsanelyGood,4.9, 13 ,Cuisine: American,Servings18servingsPrep time15minutesCooking time20minutesCalories496kcal,"Servings

18

servings
Prep time

15

minutes
Cooking time

20

minutes
Calories

496

kcal",10,12,2 cups minus 2 tablespoons (8.5 ounces) cake flour,1 2/3 cups (8.5 ounces) bread flour,1 1/4 teaspoons baking soda,1 1/2 teaspoons baking powder,1 1/2 teaspoons coarse salt,"2 1/2 sticks (1 1/4 cups) unsalted butter, softened",1 1/4 cups (10 ounces) light brown sugar,1 cup plus 2 tablespoons (8 ounces) granulated sugar,2 large eggs,2 teaspoons pure vanilla extract,1 1/4 pounds bittersweet (at least 60% cacao content) chocolate discs or féves,"Flaky sea salt, such as Maldon, for topping",Insanely Good Recipes,https://insanelygoodrecipes.com/jacques-torres-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valentine’s Day Sandwich Cookies,By Kim - InsanelyGood,5.0, 4 ,Cuisine: American,Servings12servingsPrep time40minutesCooking time10minutesCalories408kcal,"Servings

12

servings
Prep time

40

minutes
Cooking time

10

minutes
Calories

408

kcal",14,12,"1 cup (2 sticks) unsalted butter, softened",1 cup granulated sugar,1 medium egg,1 teaspoon pure vanilla extract,2 cups all-purpose flour,3/4 cup unsweetened cocoa powder,1 1/2 teaspoons baking powder,1 teaspoon salt,"1 3/4 sticks unsalted butter, softened",3 1/4 cups powdered sugar,pink gel food coloring,"Valentine’s sprinkles (optional, for decoration)",Insanely Good Recipes,https://insanelygoodrecipes.com/valentines-day-sandwich-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crumbl Birthday Cake Cookies,By Claire Wells,4.5, 14 ,Cuisine: American,Servings12servingsPrep time30minutesCooking time15minutesCalories729kcal,"Servings

12

servings
Prep time

30

minutes
Cooking time

15

minutes
Calories

729

kcal",10,12,"1 1/2 cups salted butter, softened",1 1/2 cups granulated sugar,"3 large eggs, room temperature",1 1/2 teaspoons cake batter flavoring,4 1/2 cups (540g) all-purpose flour,1 tablespoon baking powder,"1/4 cup rainbow sprinkles, plus more for topping","8 ounces cream cheese, softened","1/4 cup butter, softened",1/2 teaspoon cake batter flavoring,4 cups powdered sugar,"1-2 tablespoons milk, as needed",Insanely Good Recipes,https://insanelygoodrecipes.com/crumbl-birthday-cake-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crumbl Triple Chocolate Chip Cookies,By Kim - InsanelyGood,5.0, 9 ,Cuisine: American,Servings12servingsPrep time20minutesCooking time12minutesCalories494kcal,"Servings

12

servings
Prep time

20

minutes
Cooking time

12

minutes
Calories

494

kcal",9,14,"1 cup unsalted butter, softened to room temperature","1 cup brown sugar, packed",3/4 cup granulated sugar,2 large eggs,1 tablespoon corn syrup,1 tablespoon vanilla extract,2 1/2 cups all-purpose flour,1 cup Dutch-processed cocoa powder,2 teaspoons cornstarch,1 1/2 teaspoons baking soda,1 teaspoon salt,2/3 cup semi-sweet chocolate chips,Insanely Good Recipes,https://insanelygoodrecipes.com/crumbl-triple-chocolate-chip-cookies/,2/3 cup milk chocolate chips,2/3 cup white chocolate chips,NA,NA,NA,NA,NA,NA,NA
Pumpkin Cake Mix Cookies with Cream Cheese Frosting,By Haley van der Ploeg,5.0, 1 ,Cuisine: American,Servings~36servingsPrep time15minutesCooking time12minutesCalories113kcal,"Servings

~36

servings
Prep time

15

minutes
Cooking time

12

minutes
Calories

113

kcal",7,8,1 (15 ounce) can 100% pumpkin puree,1 large egg,1 (15.25 ounce) box spice cake mix,"8 ounces cream cheese, softened","1/4 cup unsalted butter, softened",1 teaspoon vanilla extract,pinch salt,2-3 cups powdered sugar,NA,NA,NA,NA,Insanely Good Recipes,https://insanelygoodrecipes.com/pumpkin-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banana Oatmeal Cookies,By Kim - InsanelyGood,4.4, 29 ,Cuisine: American,Servings16-18servingsPrep time10minutesCooking time15minutesCalories92kcal,"Servings

16-18

servings
Prep time

10

minutes
Cooking time

15

minutes
Calories

92

kcal",6,5,3 medium ripe bananas,"2 tablespoons honey, optional",1 large egg,1 1/2 cups quick cooking oats,1/2 cup semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,Insanely Good Recipes,https://insanelygoodrecipes.com/banana-oatmeal-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crumbl Churro Cookies,By Claire Wells,5.0, 3 ,Cuisine: American,Servings12servingsPrep time20minutesCooking time14minutesCalories556kcal,"Servings

12

servings
Prep time

20

minutes
Cooking time

14

minutes
Calories

556

kcal",12,21,"1 cup unsalted butter, softened","3/4 cup brown sugar, packed",1/2 cup granulated sugar,2 large egg yolks,1 large egg,2 teaspoons vanilla extract,3 cups (360g) all-purpose flour,1 tablespoon cornstarch,1 teaspoon baking powder,1/2 teaspoon baking soda,1 teaspoon ground cinnamon,1/2 teaspoon salt,Insanely Good Recipes,https://insanelygoodrecipes.com/crumbl-churro-cookies/,1/2 cup granulated sugar,2 tablespoons ground cinnamon,"1 cup unsalted butter, softened",1/4 cup brown sugar,1-2 teaspoons ground cinnamon,1 teaspoon vanilla extract,pinch salt,4 cups powdered sugar,2-3 tablespoons heavy cream
Crumbl Chocolate Chip Cookies,By Kim - InsanelyGood,4.7, 9 ,Cuisine: American,Servings12servingsPrep time15minutesCooking time15minutesCalories406kcal,"Servings

12

servings
Prep time

15

minutes
Cooking time

15

minutes
Calories

406

kcal",9,10,"1 cup unsalted butter, softened","1 1/4 cups light brown sugar, packed",1/2 cup granulated sugar,"2 large eggs, room temperature",3 teaspoons vanilla extract,3 cups all-purpose flour,2 teaspoons cornstarch,1 teaspoon baking soda,1 1/2 teaspoons kosher salt,2 cups milk chocolate chips (preferably Guittard or Ghirardelli),NA,NA,Insanely Good Recipes,https://insanelygoodrecipes.com/crumbl-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iced Oatmeal Cookies,By Kim - InsanelyGood,5.0, 2 ,Cuisine: American,Servings24servingsPrep time20minutesCooking time12minutesCalories150kcal,"Servings

24

servings
Prep time

20

minutes
Cooking time

12

minutes
Calories

150

kcal",13,15,2 cups old-fashioned rolled oats,2 cups all-purpose flour,1 teaspoon baking soda,1 teaspoon salt,1 1/2 teaspoon cinnamon,1/2 teaspoon nutmeg,"1 cup unsalted butter, softened","1 cup dark brown sugar, packed",1/2 cup granulated sugar,"2 large eggs, room temperature",2 teaspoons pure vanilla extract,3 teaspoons unsulphured molasses (not blackstrap),Insanely Good Recipes,https://insanelygoodrecipes.com/iced-oatmeal-cookies/,"1 1/2 cups powdered sugar, sifted",2 tablespoons whole milk,1/4 teaspoon pure vanilla extract,NA,NA,NA,NA,NA,NA
Crumbl Sugar Cookies,By Kim - InsanelyGood,4.9, 9 ,Cuisine: American,Servings12servingsPrep time20minutesCooking time10minutesCalories516kcal,"Servings

12

servings
Prep time

20

minutes
Cooking time

10

minutes
Calories

516

kcal",12,13,"1 cup salted butter, softened",1 cup granulated sugar,2 large eggs,1 teaspoon vanilla extract,1/2 teaspoon almond extract,3 cups (360g) all-purpose flour,2 teaspoons baking powder,"1/2 cup salted butter, softened",3 cups powdered sugar,1/2 teaspoon vanilla extract,1/4 teaspoon almond extract,1-3 tablespoons milk or heavy cream,Insanely Good Recipes,https://insanelygoodrecipes.com/copycat-crumbl-sugar-cookies/,pink gel food coloring,NA,NA,NA,NA,NA,NA,NA,NA
Crumbl Caramel Pumpkin Cookies,By Kim - InsanelyGood,5.0, 1 ,Cuisine: American,Servings8servingsPrep time30minutesCooking time13minutesCalories390kcal,"Servings

8

servings
Prep time

30

minutes
Cooking time

13

minutes
Calories

390

kcal",11,17,"1/2 cup unsalted butter, softened",1/2 cup granulated sugar,1/3 cup brown sugar,1 egg yolk,1/4 cup pumpkin puree,1 teaspoon vanilla extract,1 2/3 cups all-purpose flour,1/4 teaspoon salt,1 teaspoon baking powder,3/4 teaspoon pumpkin pie spice,1/4 teaspoon cinnamon,"5 oz cream cheese, softened",Insanely Good Recipes,https://insanelygoodrecipes.com/crumbl-caramel-pumpkin-cookies/,"4 tablespoons unsalted butter, softened",3 tablespoons caramel sauce,1 teaspoon vanilla extract,3/4 cup powdered sugar,Pumpkin pie spice for dusting,NA,NA,NA,NA
Butterscotch Chocolate Chip Cookies,By NaTaya Hastings,5.0, 4 ,Cuisine: American,Servings12servingsPrep time15minutesCooking time12minutesCalories420kcal,"Servings

12

servings
Prep time

15

minutes
Cooking time

12

minutes
Calories

420

kcal",9,13,1 cup unsalted butter,"1 cup light brown sugar, packed",1/2 cup granulated sugar,1 teaspoon pure vanilla extract,2 large egg yolks,1 large egg,2 1/2 cups all-purpose flour,1 tablespoon cornstarch,1 teaspoon baking soda,1/2 teaspoon salt,1/2 cup butterscotch chips,1/2 cup semi-sweet chocolate chips,Insanely Good Recipes,https://insanelygoodrecipes.com/butterscotch-chocolate-chip-cookies/,"flaky sea salt, for sprinkling",NA,NA,NA,NA,NA,NA,NA,NA
Crumbl Cornbread Cookies,By Kim - InsanelyGood,5.0, 1 ,Cuisine: American,Servings14servingsPrep time20minutesCooking time10minutesCalories349kcal,"Servings

14

servings
Prep time

20

minutes
Cooking time

10

minutes
Calories

349

kcal",10,20,"3/4 cup unsalted butter, softened",1 tablespoon vegetable oil,1/4 cup granulated sugar,"1/2 cup light brown sugar, packed","1 large egg, room temperature",1 1/2 teaspoons vanilla extract,1/2 teaspoon butter extract,1 tablespoon honey,1 1/2 cups all-purpose flour,1/3 cup cornstarch,1/2 teaspoon baking soda,1/2 teaspoon baking powder,Insanely Good Recipes,https://insanelygoodrecipes.com/crumbl-cornbread-cookies/,1/4 teaspoon cream of tartar,3/4 cup yellow cornmeal,1/2 teaspoon salt,"1/3 cup unsalted butter, softened",3/4 cup powdered sugar,2 teaspoons honey,1 teaspoon vanilla extract,"Heavy cream, as needed",NA
Vanishing Oatmeal Raisin Cookies,By Claire Wells,4.8, 9 ,Cuisine: American,Servings24servingsPrep time15minutesCooking time10minutesCalories100kcal,"Servings

24

servings
Prep time

15

minutes
Cooking time

10

minutes
Calories

100

kcal",10,11,"1/2 cup unsalted butter, softened","1/2 cup brown sugar, packed",1/4 cup granulated sugar,"1 large egg, room temperature",1 teaspoon vanilla extract,3/4 cups all-purpose flour (spooned and leveled),1/2 teaspoon baking soda,1/2 teaspoon ground cinnamon,1/4 teaspoon salt,"1 1/2 cups old-fashioned oats, uncooked",1/2-3/4 cup raisins,NA,Insanely Good Recipes,https://insanelygoodrecipes.com/vanishing-oatmeal-raisin-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homemade Tagalong Cookies,By Kim - InsanelyGood,5.0, 3 ,Cuisine: American,Servings24servingsPrep time45minutesCooking time12minutesCalories283kcal,"Servings

24

servings
Prep time

45

minutes
Cooking time

12

minutes
Calories

283

kcal",9,8,"1 cup (2 sticks) unsalted butter, softened",1/2 cup granulated sugar,1 teaspoon vanilla extract,2 cups all-purpose flour,1/4 teaspoon salt,1 cup creamy peanut butter,1/2 cup powdered sugar,2 bags chocolate melting wafers (semisweet or milk chocolate),NA,NA,NA,NA,Insanely Good Recipes,https://insanelygoodrecipes.com/homemade-tagalong-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal M&M Cookies,By Kim - InsanelyGood,5.0, 1 ,Cuisine: American,Servings24servingsPrep time15minutesCooking time10minutesCalories253kcal,"Servings

24

servings
Prep time

15

minutes
Cooking time

10

minutes
Calories

253

kcal",8,12,"1 cup (2 sticks) unsalted butter, softened","1 cup light brown sugar, packed",1/2 cup granulated sugar,2 large eggs,2 teaspoons pure vanilla extract,1 1/2 cups all-purpose flour,1 teaspoon baking soda,1 teaspoon ground cinnamon,1/2 teaspoon salt,3 cups old-fashioned rolled oats,"1 1/4 cups M&M candies, plus extra for topping",1/2 cup mini chocolate chips (optional),Insanely Good Recipes,https://insanelygoodrecipes.com/oatmeal-mm-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cake Mix Peanut Butter Cookies,By Kim - InsanelyGood,5.0, 17 ,NA,Servings24cookiesPrep time10minutesCooking time10minutesCalories190kcal,"Servings

24

cookies
Prep time

10

minutes
Cooking time

10

minutes
Calories

190

kcal",8,5,1 (15.25 ounce) box yellow cake mix,1 cup creamy peanut butter,2 large eggs,1/2 cup vegetable oil,"1/3 cup granulated sugar, optional for rolling",NA,NA,NA,NA,NA,NA,NA,Insanely Good Recipes,https://insanelygoodrecipes.com/cake-mix-peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snickerdoodle Cake Mix Cookies,By Claire Wells,5.0, 9 ,Cuisine: American,Servings~24servingsPrep time10minutesCooking time11minutesCalories108kcal,"Servings

~24

servings
Prep time

10

minutes
Cooking time

11

minutes
Calories

108

kcal",6,7,1/4 cup granulated sugar,1 tablespoon ground cinnamon,1/3 cup vegetable oil or melted butter,2 large eggs,"1 teaspoon vanilla extract, optional","1 (15.25 ounce) box yellow, butter, or white cake mix","1/2 teaspoon cream of tartar, optional",NA,NA,NA,NA,NA,Insanely Good Recipes,https://insanelygoodrecipes.com/snickerdoodle-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Almond Butter Cookies,By Claire Wells,5.0, 3 ,Cuisine: American,Servings12servingsPrep time10minutesCooking time10minutesCalories239kcal,"Servings

12

servings
Prep time

10

minutes
Cooking time

10

minutes
Calories

239

kcal",7,6,1 large egg,1 cup almond butter,"1/2 cup light brown sugar, packed",1/4 cup granulated sugar,1 teaspoon baking soda,"1/2 cup mini chocolate chips, optional",NA,NA,NA,NA,NA,NA,Insanely Good Recipes,https://insanelygoodrecipes.com/almond-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Cheesecake Cookies,By Tara Summerville,5.0, 3 ,Cuisine: American,Servings18servingsPrep time30minutesCooking time12minutesCalories279kcal,"Servings

18

servings
Prep time

30

minutes
Cooking time

12

minutes
Calories

279

kcal",11,18,"8 ounces cream cheese, softened",1/4 cup granulated sugar,1 teaspoon vanilla extract,2 1/2 cups all-purpose flour,1 teaspoon baking soda,1/2 teaspoon baking powder,2 teaspoons ground ginger,2 teaspoons ground cinnamon,1/2 teaspoon ground nutmeg,1/2 teaspoon ground cloves,1/2 teaspoon salt,"3/4 cup unsalted butter, softened",Insanely Good Recipes,https://insanelygoodrecipes.com/gingerbread-cheesecake-cookies/,"3/4 cup brown sugar, packed",1/4 cup granulated sugar,1/3 cup unsulphured molasses,2 large egg yolks,1 teaspoon vanilla extract,"1/2 cup cinnamon sugar, optional",NA,NA,NA
Peanut Butter Chocolate Chip Cookie Bars,By Haley van der Ploeg,4.8, 6 ,Cuisine: American,Servings24servingsPrep time15minutesCooking time20minutesCalories265kcal,"Servings

24

servings
Prep time

15

minutes
Cooking time

20

minutes
Calories

265

kcal",7,11,1 cup creamy peanut butter,"3/4 cup unsalted butter, melted and cooled","1 cup light brown sugar, packed",1/2 cup granulated sugar,1 large egg + 1 egg yolk,2 teaspoons pure vanilla extract,2 1/2 cups all-purpose flour,1 teaspoon cornstarch,1 teaspoon baking soda,1/2 teaspoon salt,2 cups semi-sweet chocolate chips,NA,Insanely Good Recipes,https://insanelygoodrecipes.com/peanut-butter-chocolate-chip-cookie-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apple Cider Cookies,By Tara Summerville,5.0, 1 ,Cuisine: American,Servings24servingsPrep time30minutesCooking time12minutesCalories136kcal,"Servings

24

servings
Prep time

30

minutes
Cooking time

12

minutes
Calories

136

kcal",10,14,"1/2 cup unsalted butter, room temperature",1/2 cup light brown sugar,1/4 cup granulated sugar,"1 large egg, room temperature",1/4 cup reduced apple cider,2 1/4 cups all-purpose flour,1 teaspoon baking soda,1 teaspoon ground cinnamon,1/4 teaspoon nutmeg,1/4 teaspoon salt,1 1/2 cups powdered sugar,"2-3 tablespoons apple cider, not reduced",Insanely Good Recipes,https://insanelygoodrecipes.com/apple-cider-cookies/,1/2-1 teaspoon ground cinnamon,"Pinch salt, optional",NA,NA,NA,NA,NA,NA,NA
Brownie Crinkle Cookies,By Kim - InsanelyGood,4.6, 5 ,Cuisine: American,Servings24servingsPrep time15minutesCooking time12minutesCalories190kcal,"Servings

24

servings
Prep time

15

minutes
Cooking time

12

minutes
Calories

190

kcal",8,14,1 cup all-purpose flour,1/4 cup unsweetened cocoa powder,1 teaspoon baking powder,1/4 teaspoon salt,1/2 cup unsalted butter,"8 oz dark or semi-sweet chocolate, chopped",1 cup granulated sugar,"1/2 cup brown sugar, packed","3 large eggs, at room temperature",1 teaspoon vanilla extract,1/2 cup chocolate chips or chunks,"1/2 cup chopped nuts (e.g., walnuts, pecans)",Insanely Good Recipes,https://insanelygoodrecipes.com/brownie-crinkle-cookies/,Coating:,1/2 cup powdered sugar,NA,NA,NA,NA,NA,NA,NA
Pumpkin Crinkle Cookies,By Kim - InsanelyGood,5.0, 1 ,Cuisine: American,Servings36servingsPrep time15minutesCooking time12minutesCalories93kcal,"Servings

36

servings
Prep time

15

minutes
Cooking time

12

minutes
Calories

93

kcal",7,13,1 cup canned pumpkin puree (not pumpkin pie filling),3/4 cup granulated sugar,"1/2 cup light brown sugar, packed","1/2 cup unsalted butter, melted and cooled",1 large egg,1 teaspoon vanilla extract,2 1/4 cups all-purpose flour,1 teaspoon baking powder,1/2 teaspoon baking soda,1/2 teaspoon salt,2 teaspoons pumpkin pie spice,1/2 cup granulated sugar,Insanely Good Recipes,https://insanelygoodrecipes.com/pumpkin-crinkle-cookies/,1 cup powdered sugar,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Scotchies,By Kim - InsanelyGood,4.8, 4 ,Cuisine: American,Servings36servingsPrep time15minutesCooking time10minutesCalories174kcal,"Servings

36

servings
Prep time

15

minutes
Cooking time

10

minutes
Calories

174

kcal",10,11,1 1/4 cups all-purpose flour,1 teaspoon baking soda,1/2 teaspoon salt,1/2 teaspoon ground cinnamon,"1 cup (2 sticks) unsalted butter, softened",1 cup packed dark brown sugar,1/2 cup granulated sugar,1 teaspoon pure vanilla extract,2 large eggs,3 cups old-fashioned rolled oats,2 cups butterscotch chips,NA,Insanely Good Recipes,https://insanelygoodrecipes.com/oatmeal-scotchies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerdoodle Cookies,By Kim - InsanelyGood,5.0, 1 ,Cuisine: American,Servings24servingsPrep time15minutesCooking time10minutesCalories160kcal,"Servings

24

servings
Prep time

15

minutes
Cooking time

10

minutes
Calories

160

kcal",9,14,2 1/4 cups all-purpose flour,1 tablespoon cornstarch,2 teaspoons baking soda,1/2 teaspoon salt,1/4 teaspoon ground cloves,1/4 teaspoon ground nutmeg,"2 teaspoons ground ginger, divided","3/4 cup unsalted butter, softened","3/4 cup dark brown sugar, packed","3/4 cup granulated sugar, divided",1 large egg,1/4 cup unsulfured molasses,Insanely Good Recipes,https://insanelygoodrecipes.com/gingerdoodle-cookies/,1 teaspoon pure vanilla extract,2 tablespoons ground cinnamon,NA,NA,NA,NA,NA,NA,NA
Cranberry Orange Shortbread Cookies,By Kim - InsanelyGood,4.6, 19 ,Cuisine: American,Servings24servingsPrep time15minutesCooking time15minutesCalories148kcal,"Servings

24

servings
Prep time

15

minutes
Cooking time

15

minutes
Calories

148

kcal",8,11,"1 cup (2 sticks) unsalted butter, softened",1/2 cup granulated sugar,1 teaspoon vanilla extract,Zest of 1 large orange (about 1 tablespoon),2 cups all-purpose flour,1/4 teaspoon salt,"3/4 cup dried cranberries, chopped",Optional Glaze:,1/2 cup powdered sugar,1-2 tablespoons freshly squeezed orange juice,Additional orange zest for garnish (optional),NA,Insanely Good Recipes,https://insanelygoodrecipes.com/cranberry-orange-shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grinch Cookies,By NaTaya Hastings,4.2, 49 ,Cuisine: Dessert,Servings30servingsPrep time15minutesCooking time10minutesCalories95kcal,"Servings

30

servings
Prep time

15

minutes
Cooking time

10

minutes
Calories

95

kcal",7,8,1 (15.25 ounce) box white cake mix,"1/2 cup butter, softened",2 large eggs,1 tablespoon vegetable oil,green gel food coloring,1/2 cup powdered sugar,1/3 cup cornstarch,red heart-shaped sprinkles or cinnamon candies,NA,NA,NA,NA,Insanely Good Recipes,https://insanelygoodrecipes.com/grinch-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange Chocolate Chip Ricotta Cookies,By Haley van der Ploeg,5.0, 1 ,Cuisine: Italian,Servings36servingsPrep time25minutesCooking time12minutesCalories168kcal,"Servings

36

servings
Prep time

25

minutes
Cooking time

12

minutes
Calories

168

kcal",10,13,1 cup granulated sugar,2 tablespoons orange zest,"1/2 cup unsalted butter, softened",1 large egg,1 cup whole milk ricotta cheese,1 teaspoon vanilla extract,2 1/2 cups (280g) all-purpose flour,1 1/2 teaspoon baking powder,1/2 teaspoon salt,1 cup mini chocolate chips,1 1/2 cups powdered sugar,3 tablespoons fresh orange juice,Insanely Good Recipes,https://insanelygoodrecipes.com/orange-chocolate-chip-ricotta-cookies/,2 teaspoon orange zest,NA,NA,NA,NA,NA,NA,NA,NA
