title,author,rating,ratingnum,course,cuisine,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,source,link,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24
Chocolate crinkle cookies,miakouppa,5, 1 ,Dessert,American,Prep Time: 20 minutes minutes,Cook Time: 15 minutes minutes,Resting time: 2 hours hours,Total Time: 2 hours hours 35 minutes minutes,26 cookies,12,"In a double boiler, melt the chopped dark chocolate.  Alternatively, you can melt the chocolate in the microwave.  Let cool while you prepare the next steps.
Combine the dry ingredients in a bowl and set aside.
In a stand mixer using the paddle attachment, beat together the oil and the brown sugar and granulated sugar on medium speed for about 2 minutes. It will look crystallized.
Add the eggs, and vanilla. Mix on medium-low until combined.
Next add in the melted dark chocolate and mix on low speed until fully combined.
With the mixer still on low speed slowly add in the flour mixture.  Beat until just well combined.  The cookie dough will be slightly sticky.
Place the cookie dough in a clean bowl, cover it with plastic wrap, and refrigerate for at least 2 hours.  This will help prevent the cookies from expanding and spreading out too much while baking.  This is a very important step, don't skip it. At this point, the dough can be refrigerated for up to 5 days or frozen for up to 6 weeks.
Preheat your oven to 350 degrees Fahrenheit.  While your oven is preheating, let your dough sit out at room temperature for 5-10 minutes.  
Put your icing sugar in a small bowl.
Line a baking sheet with parchment paper. For each cookie, take a heaping tablespoon of dough (a small ice-cream scoop works great) and form a ball using the palm of your hands. Roll each ball in the icing sugar until completely and thoroughly covered.  Shake a bit, and roll again in the icing sugar. Place the balls 3 inches apart on the baking pan. 
Bake the cookies for approximately 12 minutes.  Do not over bake them.  You want the inside to be like a brownie.  Remove the cookies from the oven and let them rest on the baking sheet for a few minutes before transferring them to a wire rack to cool completely.  They will be soft but will harden up as they cool down.  
Store at room temperature in an airtight container for up to 5 days.",11,"3 oz dark chocolate, chopped or semi-sweet chocolate",1 cup all purpose flour,1/2 cup cocoa powder sifted,2 tsp baking powder,1/4 tsp salt,1/2 cup vegetable oil,1/2 cup packed brown or golden sugar sifted,1/2 cup granulated sugar,2 large eggs,1 tsp vanilla extract,1 cup icing sugar for rolling,Mia Kouppa,https://miakouppa.com/chocolate-crinkle-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate cutout cookies,miakouppa,5, 3 ,Dessert,American,Prep Time: 45 minutes minutes,Cook Time: 10 minutes minutes,Chilling time: 1 hour hour,Total Time: 1 hour hour 55 minutes minutes,45 cookies,9,"In a medium size bowl whisk together all the dry ingredients and set aside.
In the bowl of your stand mixer, beat together the butter and sugars for about 3 minutes.  Add in the eggs, extracts and continue to beat for another 5 minutes at medium speed.
With the mixer speed set to low, add in the dry ingredients.  Mix until just combined.
Transfer your dough to a large sheet of plastic wrap and knead it until it forms a ball.  Flatten your ball to a disc that is about 1 inch thick. Cover the dough entirely with plastic wrap and then place in the refrigerator for at least one hour.
Preheat oven to 350 °F
Roll out your dough between two sheets of plastic wrap or on a lightly floured surface until it is ¼ inch thick.  This is easier to do if you portion out your dough so that you are only dealing with a little at a time.  Use your cookie cutters to create shapes and transfer the cookies to a parchment lined cookie sheet.
Bake in the middle rack of your oven for 9 to 11 minutes or until the edges are firm.   You will notice that the centers of the cookies still appear soft; this is normal.
Allow the cookies to cool on the cookie sheet for a few minutes before transferring them to a cooling rack.
Enjoy!",10,3 cups all purpose flour,¾ cup unsweetened cocoa,1 tsp baking powder,½ tsp salt,"1 cup unsalted butter, softened at room temperature",¾ cup packed brown sugar,¾ cup white sugar,2 large eggs,1 tsp vanilla extract,½ tsp almond extract,NA,Mia Kouppa,https://miakouppa.com/chocolate-cutout-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melomakarona, Greek Christmas Honey Cookies",Billie Bitzas,4.90, 49 ,Dessert,Greek,Prep Time: 2 hours hours 15 minutes minutes,Cook Time: 15 minutes minutes,Cooling time (minimum): 2 hours hours,NA,90 cookies,14,"Preheat oven to 375 degrees Fahrenheit, placing your rack in the middle.
In a large bowl combine the orange rind,  orange juice, vegetable oil, honey, cognac, sugar, crushed walnuts, ground cloves, and ground cinnamon.
In a smaller bowl mix together 3 cups of your sifted flour with the baking powder and baking soda. Mix well with a fork or wire whisk to combine.  Add this flour mixture to the large bowl containing the previous ingredients.
With your hands, mix everything together. Once everything is mixed well add the remaining flour, one cup at a time, mixing after each addition.  You will end up with a dough which is somewhat greasy, not stiff, and with which you are able to form a ball that will keep its shape.  You may need to add more sifted flour, in order to get your cookie dough to resemble the consistency pictured.  If you do add more flour, add 1/4 cup at a time.  Be sure to knead the dough very well, and for several minutes.  This will ensure that all of the oil is incorporated into the flour.
Taking one tablespoon of dough at a time  (use 30-35 grams, per cookie) form oval shaped cookies which you will flatten slightly so that they are approximately 1 centimeter thick.  When shaping your cookies, knead the dough in your hand, make a ball, and then turn that ball into an oval shaped cookie which is about 2 1/2 inches long.  Place them on a cookie sheet lined with parchment paper, leaving a one inch space between cookies. 
Flatten slightly with the flats of your fingers. Using a fork, make a few indentations on top of each cookie.
Bake in middle rack of oven for 10 – 15 minutes until the bottoms are golden brown.
Remove from oven, let rest on baking sheet for about 1 – 2 minutes and then place cookies on cooling rack.
Meanwhile, combine  the crushed walnuts with the sesame seeds and mix well. Keep aside.
Once your cookies are fully cooled, (we actually like to let them cool overnight) prepare your syrup. Heat your honey in a small saucepan.  Once the honey has liquefied (which will happen when the honey is brought to a boil) carefully add 2 tablespoons of boiling water. Skim off any foam which may develop on surface of honey.  Reduce heat to a very low simmer.
Prepare a sheet of parchment paper near the stovetop.  This is where you will place your honey dipped cookies.  Sprinkle some of the walnut-sesame seed mixture onto the paper (this will keep the bottoms of the cookie from sticking to the parchment).
Place as many cookies as will fit into the saucepan containing the honey.  Let them soak for about 30 – 45 seconds.  Depending upon the size of your saucepan, you may need to occasionally push down on them gently with a spoon if they are floating in the honey, in order to soak the entire cookie. Alternatively, you can use a spoon to carefully drizzle some honey on top of the cookies. You can also carefully flip them over. Remove from honey with a slotted spoon, place on parchment paper and while still hot sprinkle some of the walnut-sesame seed mixture over the top.
Let cool.  You can now place individual cookies in cupcake liners.  This makes them easier to pick up and eat without getting your fingers too sticky.
Enjoy!",16,1 tbsp grated orange rind tightly packed,1 ½ cups freshly squeezed orange juice,3 cups vegetable oil,3 tbsp honey,1/3 cup cognac see notes below,1 cup granulated sugar,3/4 cup crushed walnuts,3/4 teaspoon ground cloves,1 teaspoon ground cinnamon,"8 cups all-purpose flour, sifted plus more if required",1 tbsp plus 1 ½ teaspoons baking powder,Mia Kouppa,https://miakouppa.com/melomakarona-%ce%bc%ce%b5%ce%bb%ce%bf%ce%bc%ce%b1%ce%ba%ce%ac%cf%81%ce%bf%ce%bd%ce%b1/,2 ¼ teaspoons baking soda,1 cup honey,2 tbsp boiling water,1 cup crushed walnuts,2 tbsp sesame seeds,NA,NA,NA,NA,NA,NA,NA,NA
Easy 5 ingredient Greek koulourakia,Billie Bitzas,4.79, 14 ,Dessert,Greek,Prep Time: 50 minutes minutes,Cook Time: 20 minutes minutes,Resting time: 20 minutes minutes,Total Time: 1 hour hour 30 minutes minutes,65 cookies,7,"Add the oil and the sugar to the bowl of your stand mixer.  Beat at medium speed for 2 – 3 minutes. Next add the eggs and beat at medium speed for 5 minutes. 
Sift 5 ¾ cups of flour and add in the baking powder.  Add dry ingredients to the wet ingredients and mix until just well combined. You may need to add in more sifted flour. The dough mixture should come away from the edges of your bowl (see this video). If it does not, you will need to add more sifted flour, a bit at a time.  We use a total of 6 cups + 1 tbsp of sifted flour. Your dough should be sticky, but you should still be able to form it into a ball. See video here.
Allow your dough to rest for at least 20-30 minutes at room temperature.  The longer you let the dough sit, the more manageable it will be.
Preheat your oven to 375 °F
Shape your cookies into ""S"" forms.  See video here. If you like, you can spread out some sesame seeds on the surface on which you are rolling the cookies, and roll some sesame seeds onto the cookies, as you are shaping them.  The video above helps explain this step.  
To make each cookie uniform we measure out the dough and have found that the best weight per koulouraki is between 28-30 grams and 5 inches long, before we shape it.  Place your koulourakia on a parchment lined cookie sheet and bake in the middle rack of your oven for approximately 18 minutes.  At the 15 minute mark, rotate your pan, and bake for another 3-4 minutes, until tops are golden, and bottoms are golden brown.
Allow your cookies to cool on the cookie sheet for 2 minutes before transferring to a cooling rack.",6,"6 cups all-purpose flour, sifted approximately",4 tbsp baking powder,3 cups vegetable oil or other mild flavoured oil,1 ¾ cup sugar,6 eggs large,1/4 cup sesame seeds optional,NA,NA,NA,NA,NA,Mia Kouppa,https://miakouppa.com/easy-5-ingredient-greek-koulourakia/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greek Melomakarona chocolate pudding,Billie Bitzas,NA,NA,Dessert,Greek,Prep Time: 10 minutes minutes,NA,Setting time for pudding: 2 hours hours,Total Time: 2 hours hours 10 minutes minutes,4 servings,4,"Prepare your chocolate pudding mix according to the package instructions.  You will most likely need milk, so be sure to check the instructions to have the milk you will need handy.  Allow your pudding to set in the refrigerator, according to the package instructions.
Take six of your melomakarona cookies and crush them finely.  You can do this most easily in a food processor or blender.  Set aside one tablespoon of the crushed cookie.  DIvide the rest of the crushed melomakarona in fourths and place them in a glass tumbler, short glass or bowl.  Pat down with the back of a spoon until the top is smooth.
Take your 2 remaining melomakarona cookies and chop them into chunks.  Add these to your chocolate pudding and stir to combine, being careful not to break your cookie pieces apart too much.  Divide evenly into the four pudding cups with the melomakarona base.
Top with whipped cream and sprinkle the top of the whipped cream with chocolate shavings and the tablespoon of reserved crushed melomakarona.  ",4,170 grams chocolate pudding mix,8 melomakarona cookies,"1 cup whipped cream, canned approximately",1 tbsp chocolate shavings,NA,NA,NA,NA,NA,NA,NA,Mia Kouppa,https://miakouppa.com/greek-melomakarona-chocolate-pudding/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lenten chocolate chip cookies,Billie Bitzas,NA,NA,Dessert,"American, Greek",Prep Time: 15 minutes minutes,Cook Time: 12 minutes minutes,NA,Total Time: 27 minutes minutes,35 cookies,5,"Preheat oven to 350 °F
In a medium size bowl whisk together the dry ingredients and set aside.
In the bowl of your mixer combine the rest of the ingredients, except for the chocolate chips.  Beat well using the paddle attachment of your mixer until smooth and well combined.
Turn the mixer off and add the dry ingredients to the wet ingredients.  Mix until well combined.  If the batter appears too dry and crumbly, add more water, a tablespoon at a time.  Next, add in the chocolate chips and mix well until combined (it might be easiest to do this with a wooden spoon or rubber spatula).
Shape cookies using a mini scooper or a tablespoon measure. Place on parchment or silicone lined baking sheet 2 inches apart and bake in the middle rack of your oven for 12 minutes.  Remove from oven, allow to cool on cookie sheet for a minute or two and then transfer to a cooling tray. Repeat with the rest of the batter.",11,2 cups all purpose flour,1½ tsp baking powder,½ tsp baking soda,1½ tsp cinnamon,1 tsp salt,1 cup brown sugar,⅓ cup tahini,½ cup melted coconut oil,6 tbsp water,2 tsp vanilla,"1 cup dairy free chocolate chips, semi-sweet",Mia Kouppa,https://miakouppa.com/lenten-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chewy coconut cookies,Billie Bitzas,NA,NA,Dessert,"American, Greek",Prep Time: 15 minutes minutes,Cook Time: 10 minutes minutes,NA,Total Time: 23 minutes minutes,30 cookies,7,"Preheat oven to 350 °F
In a bowl whisk together the flour, baking soda and the salt.  Set aside.
In the bowl of your stand mixer beat together the butter and the sugars until light and fluffy, approximately 5 minutes.  Next add in the vanilla and the egg.  Beat for approximately 2 – 3 minutes or until well combined.
Turn off the mixer and add in the flour.  With the mixer speed set to medium, mix until you have a uniform cookie dough and there is no flour visible.  Add in the coconut and stir until well combined.
Drop a tablespoon worth of dough for each cookie on a parchment lined cookie sheet.  Leave about 2 inches between each cookie as they will spread a bit as they bake.  Bake in the middle rack of your oven for 8 – 11 minutes, or until golden brown on the bottom of the cookie.
Allow to cool on the baking sheet for 2 – 3 minutes and then transfer carefully to a cooling rack.  The cookies will be very soft when the come out of the oven and will firm up as they cool.
Store in a well sealed container once fully cooled.  Enjoy! ",9,1¼ cups all purpose flour,½ tsp baking soda,¼ tsp salt,"½ cup unsalted butter, softened",½ cup brown sugar,½ cup white sugar,1 large egg,1 tsp vanilla extract,"1⅓ cup shredded coconut, sweetened",NA,NA,Mia Kouppa,https://miakouppa.com/chewy-coconut-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roxakia, Traditional Greek vanilla and chocolate pastries soaked in syrup",Billie Bitzas,NA,NA,Dessert,Greek,Prep Time: 30 minutes minutes,Cook Time: 25 minutes minutes,Rising time: 2 hours hours,Total Time: 2 hours hours 55 minutes minutes,32 portions,10,"Squeeze the juice out of your orange after removing the peel.  Crush the cardamom pods with the back of a knife.  Combine all the ingredients for the syrup into a small pot and bring to a boil over medium heat.  Stir and cook until sugar dissolves, and then for an additional 5 minutes over medium heat.  Remove the pot from the heat and allow to cool in the pot.  Leave the orange peel, cinnamon stick and cardamom pods in the syrup as it cools.
In the bowl of your stand mixer combine the water, sugar and yeast.  Whisk together until combined and allow to sit at room temperature for approximately 10 minutes.  You should see the surface of your mixture puff up and bubble slightly.   
Meanwhile, combine the dry ingredients together and whisk to combine. Set aside.
Once your yeast has proofed, add the orange zest and the liquid ingredients to the bowl.  Mix to combine using the dough hook attachment of your mixer.  Next, add the dry ingredients and knead the dough for a few minutes until a soft ball is formed and it pulls from the side of the bowl.
Measure your dough if you have a kitchen scale and separate it into 1/3 and 2/3 portions; my dough usually totals around 990 grams, so I reserve about 330 grams to make the chocolate dough.  Transfer the larger portion of dough to a bowl, cover, and set aside to rise until doubled in size, or about 2 hours.
Return the smaller portion of dough to the bowl of the stand mixer. Sift the cocoa powder and cinnamon over the dough.  Use a food processor or a blender to finely chop the walnuts.  Add the finely crushed walnuts and the orange juice to the bowl.  Knead with the dough hook attachment on medium speed until everything is well combined.  if your dough appears too dry, add some additional olive oil.  Set the dough aside, covered, to rise until doubled in size, or about 2 hours.
Once your dough has risen separate both the vanilla and the chocolate dough into two halves.  On a lightly floured surface roll one half of the chocolate dough into a log, about an inch thick and about 12 inches long – set aside.  Then, on the same lightly floured surface, use a rolling pin to roll out half the vanilla dough into a rectangle – about 12 inches long and 8 inches high; the dough will be thin.  
Place the chocolate dough along one of the long edges of the vanilla dough and  roll the dough tightly so that the vanilla dough wraps around the chocolate dough.  Using a sharp knife, slice the log into approximately 15 pieces, each about 1 inch thick; I use my thumb as a guide. Do not worry if you squish the dough as you are slicing through it.  Repeat the entire process with the second half of the vanilla and chocolate dough.
Once all your slices are made, use your hands to shape the pastries into rounds and to flatten them until they are about 1/2 inch thick.  Transfer them to a parchment lined cookie sheet and bake in the middle rack of your oven for between 22 – 25 minutes; you will likely need to do this in batches.
Once all of your roxakia are baked, transfer them all to the same baking sheet or other container and pour the cooled syrup over them.  Allow them to soak in the syrup for about 15 minutes and then carefully turn them over so that the top of the roxakia soak in the syrup as well.  Turn them over again after about 5 minutes; at this point most of the syrup should have been absorbed.",24,2½ cups water,3 cups sugar,1 orange peel,"1 orange, juiced",1 cinnamon stick,3 cardamom pods optional,¾ cup lukewarm water,2 tbsp sugar,1 tbsp active dry yeast,3½ cups all purpose flour,1 tbsp orange zest,Mia Kouppa,https://miakouppa.com/roxakia-traditional-greek-vanilla-and-chocolate-pastries-soaked-in-syrup/,1 tsp baking powder,1 tsp vanilla powder,1 tsp cinnamon,¼ tsp nutmeg,¼ tsp salt,½ cup orange juice,½ cup vegetable oil,¼ cup olive oil,½ cup cocoa,½ cup walnuts,4 tbsp orange juice,1 tsp cinnamon,"1 tbsp olive oil optional, only if dough appears too dry"
Olive oil koulourakia with orange and cinnamon,Billie Bitzas,NA,NA,Dessert,Greek,Prep Time: 15 minutes minutes,Cook Time: 15 minutes minutes,Resting time: 20 minutes minutes,NA,22 cookies,10,"Preheat oven to 350 °F
Add your olive oil, sugars, orange juice and orange zest in a medium size bowl.  Whisk a few minutes to combine.
In a small bowl whisk together 1/4 cup flour, the baking powder, the baking soda, salt and cinnamon.  
Add this combination to the bowl containing the oil mixture.  Stir well with a wooden spoon to combine.
Add 1 cup of flour and stir well to combine.  Try to mix enough so all flour is incorporated.
Add another cup of flour and mix till all the ingredients are combined.  At this point you'll probably want to mix with your hands.  
Set aside for 20 minutes.  This is a bit of a crumbly dough and letting it sit will help it become more manageable.
While your dough rests, make your cinnamon sugar by whisking together the sugar and cinnamon.   
Taking one tablespoon of dough (about 28-29 grams) at a time, knead in your hands, roll into a 5-6 inch log, form your shapes and place on a parchment lined baking pan. Before baking sprinkle some cinnamon sugar on top of each cookie.   
Bake at 350 degrees F, in the middle rack of your oven for about 15 minutes, or until the tops are lightly golden.  Let cool on a baking rack, and store in a covered container once completely cooled.",12,1/2 cup olive oil,1/4 cup white sugar,1/4 cup brown or golden sugar,1/2 cup orange juice,zest of one orange,"2 ¼ cups flour, divided",2 tsp baking powder,1/2 tsp baking soda,1/4 tsp salt,1 tsp ground cinnamon,2 tbsp sugar,Mia Kouppa,https://miakouppa.com/olive-oil-koulourakia-with-orange-and-cinnamon/,1 tsp ground cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Italian chocolate biscotti recipe,miakouppa,4.94, 16 ,Dessert,Italian,Prep Time: 20 minutes minutes,Cook Time: 50 minutes minutes,Chilling time and Cooling time: 30 minutes minutes,Total Time: 1 hour hour 40 minutes minutes,20 biscotti,7,"In the bowl of your stand mixer fitted with the paddle attachment combine the eggs, sugar and olive oil and beat well on medium speed for approximately 5 minutes.
Meanwhile, combine your dry ingredients in a bowl and whisk until well combined.  Set aside.
Add the grated orange rind and the almond extract to your wet ingredients in your mixer bowl and mix well. Next, with the mixer speed set on low, slowly add in the dry ingredients. When just combined (that is, you no longer see any flour), add in the chocolate covered almonds and mix briefly until well combined.
Line your baking tray with parchment paper. Half your dough and roll to make two logs which are approximately 1 inch think and 4 inches wide.  We find it helpful to grease our hands with olive oil before shaping.  Place on a parchment lined baking tray.  Flatten a little bit using your hands. Optional: If you wish to decorate the top of your biscotti with slivered almonds, brush the top of the dough with a thin layer of egg white and then sprinkle the slivered almonds on top. Chill in refrigerator for 15 minutes.
While dough is chilling, preheat oven to 325 °F
Remove the dough from the refrigerator and then bake in the middle rack of your oven for 30 minutes. Remove, and allow to cool on baking sheet for 15 minutes. Once cooled, use a serrated knife to carefully cut the logs into biscotti (keep them on the baking tray). We like to cut on the diagonal and have each biscotti about 1 inch wide. Arrange biscotti so that a cut side is up and bake in the middle rack of the oven for 15 – 20 minutes, turning over half way through.
Allow to cool on baking tray for a few minutes and then transfer to a cooling rack. Biscotti should be crisp and dry, but not too hard. Store in a well sealed container at room temperature for several weeks. Baked biscotti can also be stored in the refrigerator, or frozen. Enjoy!",12,3 eggs,1 cup sugar,⅓ cup olive oil,2¼ cup all-purpose flour,½ cup cocoa powder,2½ tsp baking powder,½ tsp salt,1 tbsp grated orange rind,1 tsp almond extract,1 cup chocolate covered almonds,⅓ cup slivered almonds,Mia Kouppa,https://miakouppa.com/easy-italian-chocolate-biscotti-recipe/,1 egg white,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greek butter koulourakia with a chocolate twist,Helen Bitzas,NA,NA,Dessert,Greek,Prep Time: 40 minutes minutes,Cook Time: 20 minutes minutes,NA,Total Time: 1 hour hour,25 cookies,13,"In a medium size bowl combine the cocoa powder, the sugar, salt, boiled water and whisk to combine until smooth.  Set aside to cool.
In a medium bowl whisk together the flour and baking powder, and set aside.
Place your softened butter in the bowl of your stand (or hand held) mixer and beat using the paddle attachment of your mixer until smooth, approximately 3 – 5 minutes.
Add the icing sugar to the butter and beat at medium speed for 3 minutes.  Add the egg and vanilla and beat together at medium speed for an additional 3 minutes.
Begin adding your flour to the butter, sugar and egg mixture.  Add half the flour, mix well and then add the rest of the flour; mix well until just combined. Be careful not to over mix.  The dough will be a little dense, and slightly crumbly. This is okay! Transfer the dough to another mixing bowl and mix with your hands until the dough holds together. 
If you have a scale, weigh your dough and separate it into two .  One of the halves will become your chocolate dough.  If you don't have a scale, eyeball it as much as you can.  
Add one of the halves back into the mixer and slowly add in your cooled chocolate, and 1/4 cup flour.  Mix until the chocolate is incorporated.  
Let all your dough rest at room temperature for 10-15 minutes.
Preheat your oven to 350 °F.
Weigh out 15 grams of vanilla dough and 15 grams of chocolate dough for each cookie. If you don't have a scale, take ½ tablespoon of each dough for each koulouraki (a total of 1 tablespoon dough per cookie). To shape your koulourakia, roll out the chocolate and the vanilla dough so that you make two long pieces, each about 2 – 3 inches long.  Attach them together so that you end up with one long roll of dough that is 4 – 6 inches in length. Shape into a U shape and twist to shape your koulouraki. Transfer your cookies to a parchment lined baking pan.  See Recipe Note for a simpler way to make these cookies.
Once your tray is full, brush each cookie with the egg wash, made by whisking together the egg yolk and milk.
Bake in the middle rack of your oven for about 20 minutes, until the tops are golden.  Remove from oven and let the koulourakia cool on the baking sheet for 2 – 3 minutes before carefully transferring to a cooling rack to cool completely.
Store in a well covered container at room temperature for 5 – 7 days.  Keep in refrigerator, or freezer, for longer storage.",13,"2 ½ cups flour, regular all-purpose",2 tsps baking powder,"¾ cup + 1 tablespoon unsalted butter, at room temperature",1 cup icing sugar,1 tsp vanilla extract,"1 egg, large",1 egg yolk,1 tbsp milk,"1/4 cup cocoa powder, unsweetened",1/4 cup sugar,1/4 cup boiled water,Mia Kouppa,https://miakouppa.com/greek-butter-koulourakia-with-a-chocolate-twist/,pinch of salt,1/4 cup flour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
