title,author,rating,ratingnum,course,cuisine,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,source,link,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24
Oatmeal raisin cookies,Mia Kouppa,5, 10 ,Dessert,American,Prep Time: 20 minutes minutes,Cook Time: 12 minutes minutes,NA,NA,40 cookies,10,"Preheat your oven to 350 degrees Fahrenheit.
In a medium size bowl combine your raisins with your boiled water. Ensure that your raisins are submerged.  Add more boiling water if required.  Set aside.
In the bowl of your stand mixer combine the melted butter, eggs, brown sugar and maple syrup.  Beat using your paddle attachment for 8 - 10 minutes. 
Meanwhile, in a medium size bowl combine the oats, oat flour, gluten-free flour, cinnamon, nutmeg, salt, and baking soda.  Mix until well combined.
With your mixer speed set to low slowly add in your dry ingredients.  Mix until just combined.  Add in your vanilla extract and mix.
Drain your raisins and pat them dry with paper towels to dry them out as much as possible.  Add your raisins to the batter and mix until just combined. 
Line your baking tray with parchment paper and shape your cookies.  Place your cookies on the baking tray, leaving about 1 inch between cookies on the tray.  We like to use a mini ice-cream scooper.  If you don't have a mini ice-cream scoop, use a tablespoon. Each cookie should be approximately 30 grams each.  Do not flatten your cookies.
Bake in the middle rack of your oven for approximately 12 minutes or until golden brown on bottom.  
Allow cookies to cool on the baking tray for 2 - 3 minutes before transferring them to a cooking rack.
Enjoy! ",14,1 ½ cups (225 grams) raisins,2 cups (500 mL) boiling water,¾ cup (180 grams) melted unsalted butter,1 cup (200 grams) brown sugar we use dark brown sugar,2 large eggs,2 tbsp (30 mL) maple syrup,3 cups (300 grams) large flake oats,½ cup oat flour,"1 ½ cups flour, gluten-free you can also use regular all purpose flour",2 tsp cinnamon,½ tsp ground nutmeg,Mia Kouppa,https://miakouppa.com/recipe-oatmeal-raisin-cookies/,1 tsp baking soda,1 tsp salt,1 tsp vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tsoureki Paximadia or Tsoureki Biscotti,Mia Kouppa,5, 4 ,"Breakfast, Dessert, Snack",Greek,Prep Time: 15 minutes minutes,Cook Time: 20 minutes minutes,Resting time: 20 minutes minutes,NA,NA,9,"Preheat your oven to 300 degrees Fahrenheit. 
Using a serrated bread knife slice your tsoureki 1/4 to 1/2 inch thick.
Line a baking tray with parchment paper and place the slices of tsoureki on the paper, being sure not to overcrowd the baking tray. 
Bake in the middle rack of your oven for 10 minutes.  Remove from oven, flip the tsoureki slices over, and return the pan to the oven.  It is a good idea to rotate your pan at this point.  Bake for an additional 10 minutes. 
Turn off the oven.  With your paximadia still in the oven use an oven mitt or a kitchen towel to keep the door open about 1 - 2 inches.  Leave your paximadia in the oven for at least 20 minutes until they are hard and have dried out. 
Once you have removed your paximadia from the oven and they are cooled, melt your chocolate, combined with the coconut oil or vegetable oil, in the top of a double boiler (see recipe note).  
Once your chocolate has melted, dip one end of your paximadia into the chocolate and then add the sprinkles if desired.
Rest the paximadia on a cooling rack until the chocolate has set.  
For best results, store the paximadia that have been dipped in chocolate in the refrigerator. ",4,1 loaf of tsoureki,1 cup chocolate or white chocolate,1 tsp coconut oil or vegetable oil,sprinkles for decorating,NA,NA,NA,NA,NA,NA,NA,Mia Kouppa,https://miakouppa.com/recipe-tsoureki-paximadia-or-tsoureki-biscotti/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vegan shortbread cookies,Mia Kouppa,5, 2 ,Dessert,American,Prep Time: 15 minutes minutes,Cook Time: 12 minutes minutes,Chilling time: 30 minutes minutes,Total Time: 1 hour hour,NA,11,"In the bowl of your stand mixer (or another large bowl if using a hand held mixer) beat the non-dairy butter or coconut oil until creamy and soft.
Next add the maple syrup, vanilla powder and salt and mix until well combined.
Add in the flour and beat at medium speed until well incorporated.  You will note that the dough is crumbly. 
Using your hands, knead the dough until it comes together and you are able to form the dough into two balls.  The dough should not be too sticky, but should stick together when you press it together. If the dough is too dry you can add a little more maple syrup (1/2 tbsp at a time). If the dough is too wet, you more flour, 1 tbsp at a time). 
Wrap each of these 2 balls of dough in plastic wrap and flatten them into discs.  Refrigerate for a minimum of 30 minutes.
Preheat your oven to 350 degrees Fahrenheit. 
Take one disc of dough out of the fridge at a time and roll between two pieces of parchment paper, or between two pieces of plastic wrap until you have a thickness of approximately 1/2 inch. 
Use your cookie cutters to cut out your cookie shapes and transfer to the baking tray.  Repeat until you have used all the dough. (You will have to gather your dough and roll it out again several times as you shape your cookies).  Decorate if desired (See Recipe Note).
Bake in the middle rack of your oven for approximately 12 minutes.  Note that your cookies will get a light golden brown underneath but with otherwise not change colour too much.  As well, they will not change shape or rise during baking.
Allow to cool on the baking tray for about 2 minutes and then transfer carefully to a cookie rack until completely cooled. 
Enjoy! ",5,"1/2 cup (115 grams) non-dairy butter, room temperature you can use softened coconut oil instead",1/3 cup (80 mL) maple syrup,2 1/4 cup (335 grams) all-purpose flour,1/4 tsp vanilla powder or 1/2 tsp vanilla extract,1/4 tsp salt,NA,NA,NA,NA,NA,NA,Mia Kouppa,https://miakouppa.com/recipe-vegan-shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blondies,Mia Kouppa,5, 7 ,Dessert,American,Prep Time: 30 minutes minutes,Cook Time: 40 minutes minutes,Cooling time: 1 hour hour,NA,20 blondies,14,"Preheat your oven to 350 degrees Fahrenheit.
In a medium sized bowl whisk together the flour, baking powder, salt and vanilla powder.  Set aside.
In the bowl of your stand mixer combine the sugars and the melted butter.  Blend until well combined.
With the mixer speed set on low, add the eggs, one at a time, to the butter and sugars.  Beat well until light and fluffy. (If you are using vanilla extract as opposed to vanilla powder, add it here)
With the mixer set to low add in the flour mixture.  Mix until well combined.
To your blondie batter add the chocolate chips, candy coated chocolate and the coconut.  Mix until just well combined, being careful not to overmix the batter.
Coat the bottom of your 13 x 9 inch baking pan with a little bit of butter or cooking spray and then line the greased bottom with parchment paper.
Transfer the batter into your pan.  It will be quite thick.  Use an offset spatula or the back of a spoon to spread the blondie batter evenly across the entire pan.  Smooth out the top.
Use candy coated chocolates to decorate the top of your batter, if desired.
Bake in center rack of your oven for approximately 30 minutes or until golden brown on top.
Allow your blondies to cool completely in the pan for at least one hour.  After they are cooled, transfer the blondies to a cutting board by carefully lifting up the parchment paper and cut into serving size pieces.
The best way to cut your blondies it to use a serrated knife and to wipe it clean after each cut.
Blondies will keep for several days at room temperature in a tightly covered container.  Otherwise, store in the refrigerator.  They can also be frozen!
Enjoy!",13,3 cups (450 grams) all purpose flour,2 tsp baking powder,1 tsp salt,1 tsp vanilla powder or 2 tsp vanilla extract,1 cup (200 grams) granulated white sugar,"1 1/4 cup (250 grams) brown sugar, packed","1 cup (225 grams) unsalted butter, melted",3 eggs,3/4 cup (130 grams) white chocolate chips,3/4 cup (130 grams) dark or milk chocolate chips,3/4 cup candy coated chocolate and more to decorate (optional),Mia Kouppa,https://miakouppa.com/blondies/,1/2 cup (50 grams) unsweetened shredded coconut,cooking spray or butter to grease bottom of pan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heart shaped sugar cookies,Mia Kouppa,5, 2 ,Dessert,American,Prep Time: 30 minutes minutes,Cook Time: 12 minutes minutes,Chilling time: 30 minutes minutes,Total Time: 1 hour hour 15 minutes minutes,24 cookies,14,"In a medium size mixing bowl whisk together the flour, the baking powder and the salt.  Set aside.
In the bowl of your stand mixer (or using your hand held mixer) beat the butter until nice and fluffy.  Add the sugar and continue to mix until well combined.
Next, add the egg and the vanilla.  Beat well at medium speed until the dough pulls off the side of the bowl and all the ingredients are incorporated together.
Remove half of the dough and form it into a ball.  Wrap in plastic wrap and set aside.  
To the dough remaining in the bowl add the food colouring.  Beat well until the food colouring is incorporated and the dough is uniform in colour.  We suggest beginning with 1/4 teaspoon of food colouring gel and increasing from there until you get the colour that you want.
Form this coloured dough into a ball and wrap it as well with plastic wrap.  Chill both balls of dough in the refrigerator for a minimum of 30 minutes. 
When you are ready to shape and bake your cookies, preheat your oven to 350 degrees Fahrenheit. 
Prepare a baking tray with either parchment paper or a silicone baking mat.
Remove dough from fridge and cut off pieces of both the white and coloured dough.  Press them together to make a ball.  
Use a rolling pin to roll the dough out to a thickness of about 1/3 inch.  We find that rolling the dough between two pieces of either wax paper or parchment paper makes it much easier. 
Use your cookie cutter to cut out your heart shapes.  Place your cookie cutter strategically to give you pretty colour patterns.
Transfer the cookies to the baking tray.  When your tray is full, bake in the middle rack of your oven for between 10 - 12 minutes. 
Remove tray from oven and allow the cookies to cool for about 5 minutes before transferring them to a cooking rack.
Enjoy!",8,2 1/2 cups (375 grams) all-purpose flour,1 tsp baking powder,1/4 tsp salt,1 cup (200 grams) granulated sugar,"1 cup (225 grams) unsalted butter, softened","1 egg, large",1 1/2 tsp vanilla extract,1/4 - 1/2 tsp red food colouring gel,NA,NA,NA,Mia Kouppa,https://miakouppa.com/heart-shaped-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon ricotta cookies,Mia Kouppa,5, 2 ,Dessert,Italian,Prep Time: 25 minutes minutes,Cook Time: 15 minutes minutes,Resting Time: 30 minutes minutes,Total Time: 1 hour hour 10 minutes minutes,40 cookies,12,"Preheat oven to 350 degrees Fahrenheit.
Place the flour, baking powder, baking soda and salt in a medium sized mixing bowl and whisk together until combined.  Set aside.
In the bowl of your stand mixer beat the butter until smooth and then add in the sugar and the eggs.   Beat at medium speed until well combined, (approximately 3 minutes).  
Next add in the ricotta cheese, vanilla powder (or extract), lemon zest, and lemon juice.  Beat at medium speed until well combined.
Reduce the speed of your mixer to low and slowly add in the flour mixture.  Mix well until everything is well combined.  Do not over mix.
Drop 1 tbsp of dough for each cookie on a parchment lined baking tray, leaving about 1 inch between each cookie.  Do not flatten the dough.
Bake in the middle rack of your oven for 12 - 15 minutes or until the underside of your cookies is golden brown.  
Allow the cookies to cool for 2 - 3 minutes on the baking tray and then transfer them to a wire rack to cool completely.  In the meanwhile, prepare your glaze.
To make the glaze whisk together the icing sugar, lemon juice and lemon zest until smooth.  
When your cookies are fully cooled, dip the tops of your cookies into the glaze to thinly coat each cookie top completely.  Return to the wire rack (place some parchment paper under the cooling rack to catch the drip) and allow the glaze to set.  This will take 10 to 15 minutes.
Transfer your cookies to an airtight container.  They will keep at room temperature for 2 - 3 days; any longer and they can be stored in the refrigerator.   
Enjoy!",14,2 3/4 cup (410 grams) all purpose flour,2 1/2 tsp baking powder,1/2 tsp baking soda,1/2 tsp salt,"1/2 cup (115 grams) butter, unsalted softened",1 1/2 cup (300 grams) sugar,"2 eggs large, at room temperature",454 grams (15 ounces) ricotta cheese,1/2 tsp vanilla powder or 1 tsp vanilla extract,1 1/2 tbsp lemon zest Meyer lemons if possible,"4 tbsp lemon juice, freshly squeezed Meyer lemons if possible",Mia Kouppa,https://miakouppa.com/lemon-ricotta-cookies/,1 1/2 cups (195 grams) icing sugar,"1/4 cup (60 mL) lemon juice, freshly squeezed Meyer lemons if possible",1 tbsp lemon zest Meyer lemons if possible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ginger molasses cookies,Mia Kouppa,5, 14 ,Dessert,American,Prep Time: 20 minutes minutes,Cook Time: 10 minutes minutes,NA,Total Time: 30 minutes minutes,40 cookies,10,"Preheat oven to 350 degrees Fahrenheit. 
In a medium sized mixing bowl whisk together the flour, baking soda, salt, ginger, cinnamon and nutmeg.  Set aside.
In the bowl of a stand mixer fitted with the paddle attachment combine the butter and brown sugar.  Beat until well combined. 
Add the egg and beat until well combined and then mix in the orange zest and the molasses.
With the mixer set to low speed, slowly add in the flour mixture.  Beat until just well combined.
For each cookie, drop one tablespoon of dough onto the parchment lined cookie sheet, leaving at least one inch between cookies. 
Sprinkle each cookie with a bit of demerara sugar if desired.
Bake in the middle rack of your oven for 10 minutes.
Remove from oven and allow to cook for 5 minutes before transferring to a cookie rack to cool completely.
Enjoy!",12,2 1/4 cups (337 grams) all - purpose flour,1/4 tsp salt,1 tsp baking soda,1 tbsp ground ginger,1/2 tsp cinnamon,1/4 tsp nutmeg,"3/4 cup (180 grams) butter, unsalted softened",3/4 cup (150 grams) brown sugar,1 large egg,1 tbsp grated orange zest,1/3 cup (87 grams) fancy molasses,Mia Kouppa,https://miakouppa.com/ginger-molasses-cookies/,1 tbsp demerara sugar optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange muffins with dates and figs,Mia Kouppa,5, 4 ,Breakfast,NA,Prep Time: 15 minutes minutes,Cook Time: 20 minutes minutes,NA,Total Time: 35 minutes minutes,12 muffins,9,"Preheat oven to 350 degrees Fahrenheit. 
Wash your orange, chop it into large chunks and remove any seeds (Do not peel your orange).  Place in blender or food processor and puree until smooth.
In the bowl of a stand mixer, or other large size bowl if using a hand held mixer, combine the pureed orange, egg, brown sugar and olive oil.  
In another bowl whisk together the oat flour, all-purpose flour, baking soda, baking powder and salt.
Mix the dry ingredients in with the wet ingredients and mix until well combined.  Then, add in the chopped dry figs and dates and mix until well combined.
Prepare the muffin pan by spraying it with cookie spray; use muffin liners if you like.  Fill your muffin cups 2/3 of the way full.
In a small bowl mix together the topping ingredients and then divide equally among your filled muffin cups, on top of the batter. 
Bake in middle rack of your oven for 15 - 20 minutes.
Enjoy!",16,1 orange,1 large egg,1/2 cup brown sugar,1/2 cup olive oil,1/4 cup chopped dry figs,1/4 cup chopped dates,3/4 cup all-purpose flour,3/4 cup oat flour,1 tsp baking powder,1 tsp baking soda,1/2 tsp salt,Mia Kouppa,https://miakouppa.com/orange-muffins-with-dates-and-figs/,1/3 cup large flake oatmeal,1/3 cup all purpose flour,1/4 cup brown sugar,1/2 cup melted butter,"rind of one orange, chopped up",NA,NA,NA,NA,NA,NA,NA,NA
Dates stuffed with almond butter and coconut,Mia Kouppa,5, 2 ,"Dessert, Snack",American,Prep Time: 10 minutes minutes,NA,NA,NA,4 dates,4,"Pit your dates by using a paring knife (or other small knife) to slice into the date, cutting towards the end of the date that has the stem.  While you are cutting through the date, use your knife to push the pit out of the end of the date. See video here 
With your pit removed, carefully make the slit large enough so that you can use a small spoon to stuff your dates with the almond butter.
When you have added the almond butter to the dates, dip the exposed almond butter part into a small dish of shredded coconut.
Enjoy!",3,4 mejool dates,2 - 3 tsp almond butter,2 tsp unsweetened flaked coconut,NA,NA,NA,NA,NA,NA,NA,NA,Mia Kouppa,https://miakouppa.com/dates-stuffed-with-almond-butter-and-coconut/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tsoureki inspired shortbread,Mia Kouppa,NA,NA,Dessert,Greek,Prep Time: 15 minutes minutes,Cook Time: 10 minutes minutes,Shaping time: 15 minutes minutes,Total Time: 40 minutes minutes,25 cookies,9,"Preheat oven to 350 degrees Fahrenheit.
In a medium sized bowl, whisk together the flour, cornstarch, mahlepi, mastiha and salt.  Set aside.
In the bowl of a stand mixer beat together the icing sugar, butter and shortening until well combined and fluffy, approximately 5 minutes.
Add 1/2 of the flour mixture to the butter and sugar mix, and beat until well combined.  Scrape down the sides of the bowl with a rubber spatula and then add the remaining flour.  Beat well until combined.
Shape your cookies by taking about a tablespoon of dough and shaping into a ball with your hands.  Once you have a ball, flatten it slightly in the palm of your hand so that you end up with a cookie which is about 1/2 inch thick.
If you like, decorate each cookie by pressing some slivered almonds onto the surface.
Place your cookies on a parchment lined cookie sheet and bake in the middle of your oven for 8 – 10 minutes.  Your cookies will brown on the bottom but will not really change colour otherwise (that is, the surface of your cookie will not brown).
Once your cookies are baked, allow them to cool on the baking tray for approximately 5 minutes before transferring them with a spatula to a cooling rack for them to cool completely.
Cookies can be stored in a air tight container for several days, at room temperature. ",9,1⅔ cup (250 grams) all purpose flour,2 tbsp (15 grams) cornstarch,1/4 teaspoon ground mastiha,1/4 teaspoon ground mahlepi,1/2 teaspoon salt,3/4 cup (96 grams) icing sugar,3/4 cup (180 grams) unsalted butter room temperature,2 tbsp (28 grams) vegetable shortening,slivered almonds optional,NA,NA,Mia Kouppa,https://miakouppa.com/tsoureki-inspired-shortbread/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vegan chocolate and strawberry cookies,Mia Kouppa,5, 2 ,Dessert,NA,Prep Time: 10 minutes minutes,Cook Time: 15 minutes minutes,NA,Total Time: 25 minutes minutes,35 cookies,7,"Preheat oven to 350 degrees Fahrenheit. 
In the bowl of a stand mixer combine the sugar and vegetable oil.  Mix well for 1 – 2 minutes until very well combined.  Alternatively you can mix the ingredients together with a hand held electric mixer, or with a whisk.
In a separate bowl whisk together the flour, cocoa powder, baking powder, cinnamon and salt and mix until well combined.
With the mixer off, add the flour mixture to the oil and sugar.  Then, add the strawberry jam.  Mix together for 1 – 2 minutes until everything is combined well.  
Using a 1 tablespoon mini scooper, or a spoon, place the dough onto a parchment lined cookie sheet.  Leave about 1 inch of space between each cookie.
Bake in the middle rack of your preheated oven for 10 – 12 minutes, being careful not to burn your cookies.  Note that your cookies will not change shape too much during the baking process.
As your cookies bake, remove from the oven and transfer immediately to a cooling rack to cool.",8,280 grams sugar or 1 1/4 cups,160 ml vegetable oil or 3/4 cup,440 grams all purpose flour or 2 3/4 cups,80 grams cocoa powder or 1/2 cup,2 tbsp baking powder,1 tsp ground cinnamon,1/2 tsp salt,400 grams strawberry jam,NA,NA,NA,Mia Kouppa,https://miakouppa.com/vegan-chocolate-and-strawberry-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas koulourakia with yeast (Χριστουγεννιάτικα κουλουράκια με μαγιά),Mia Kouppa,5, 1 ,"Bread, meze, Snack",Greek,Prep Time: 30 minutes minutes,Cook Time: 20 minutes minutes,"Resting time, total: 14 hours hours",Total Time: 14 hours hours 50 minutes minutes,85 cookies,8,"The night before you are planning to make your koulourakia, mix your flour with the olive oil and the vegetable oil.   The flour will be somewhat crumbly; cover it with a clean kitchen towel and leave at room temperature until you are ready to use it the next day.
Several hours before you are planning to make your koulourakia you must prepare the liquid which will be used for the dough.
In a medium size pot combine the orange peel, cinnamon stick, nutmeg, cloves, thyme and salt.  Add 1 liter and 1/2 cup of water. Bring to a boil and then lower the heat to medium high and cook, covered, for 20 minutes. Turn the heat off and allow to rest with the cover still on for approximately 2 hours, or longer. If you prepare the liquid the night before, you can keep it in the refrigerator after it has come to room temperature. You will have to reheat it to warm for the next step.
In a small mixing bowl combine 1/2 cup of the warm liquid with the yeast.  Mix well and allow to sit for 2 – 3 minutes.
Add the yeast to the large bowl of flour along with 3 1/2 cups of additional water.  Mix well and knead the dough for approximately 7 – 10 minutes.  Add 1 tablespoon of vegetable oil to the bowl and continue to knead.  Watch video here,  to see what the dough should look like. Shape the dough into a ball and cover with a clean kitchen towel. Place in a warm, draft-free place and allow to rise for approximately 2 hours or until doubled in size.
To prepare the koulourakia take approximately 1 tablespoon of dough and roll it on a clean surface to make a strip which is approximately 6 to 8 inches long. Pinch the ends together to make it round.  Place on a parchment lined baking sheet and allow to rise for an additional 20 – 30 minutes.
Bake in a 350 degree pre-heated oven for 20-22 minutes, until golden brown.
Enjoy!",12,1/2 cup olive oil,1/2 cup vegetable oil,13 cups flour,"orange peel from 3 oranges, dried or fresh",1 cinnamon stick,1/2 teaspoon whole cloves,1 whole nutmeg,1 teaspoon salt,"1 teaspoon dried thyme, or a sprig of fresh thyme",1 liter + 1/2 cup water,2 tbsp active dry yeast,Mia Kouppa,https://miakouppa.com/christmas-koulourakia-with-yeast-%cf%87%cf%81%ce%b9%cf%83%cf%84%ce%bf%cf%85%ce%b3%ce%b5%ce%bd%ce%bd%ce%b9%ce%ac%cf%84%ce%b9%ce%ba%ce%b1-%ce%ba%ce%bf%cf%85%ce%bb%ce%bf%cf%85%cf%81%ce%ac%ce%ba%ce%b9/,"1 tbsp vegetable oil, or any other mild oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal and chocolate chunk ice cream sandwiches,Mia Kouppa,NA,NA,Dessert,American,NA,NA,NA,NA,8 sandwiches,8,"Preheat oven to 350 degrees Farenheit.
In a medium sized bowl, mix together the oats, flour, baking powder, baking soda, powdered vanilla, salt, cinnamon, and ginger.  Mix well until fully combined.
In the bowl of a stand mixer, combine the butter with the brown sugar and granulated sugar.  Using the paddle attachment of the stand mixer, mix until well combined. Add the egg and beat well.  Mix for 2 – 3 minutes.
Add the oat and flour mixture to the bowl of the stand mixture and beat all ingredients together until well combined.  Stir in the chocolate chunks.
Form a ball of cookie dough using two tablespoons worth of dough in your hands.  Press to flatten slightly and place on a parchment lined cookie sheet.  Repeat, leaving 2 inches between each cookie.
Bake in the middle rack of your oven for 12 minutes.  Remove baking tray from oven and allow the cookies to cool for 1 – 2 minutes before transferring them to a cooling rack to cool completely.
Once your cookies are cooled it is time to assemble your ice cream cookies.  Try to find pairs of cookies which are most similar in size and shape (all the cookies should be pretty similar in fact). Place a 1 inch layer of ice cream on the bottom side of one cookies and spread it out, being careful not to break your cookie.  Top with a second cookie.  Serve immediately, or wrap tightly in plastic wrap and place in freezer for later.
Enjoy!",14,1½ cups (150 grams) oats,3/4 cup (110 grams) all purpose flour,1 egg,1/2 cup (115 grams) butter,1/2 cup (100 grams) brown sugar,1/3 cup (67 grams) granulated white sugar,1/2 teaspoon baking powder,1/2 teaspoon baking soda,1 teaspoon vanilla,1/2 teaspoon salt,1/2 teaspoon ground cinnamon,Mia Kouppa,https://miakouppa.com/oatmeal-and-chocolate-chunk-ice-cream-sandwiches/,1/4 teaspoon ground ginger,"1 cup (175 grams) chocolate chunks, or chocolate chips",Ice cream of your choice for making the sandwiches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Koulourakia with orange (Νηστίσιμα κουλουράκια με πορτοκάλι),Mia Kouppa,4.95, 17 ,Dessert,Greek,NA,NA,NA,Total Time: 2 hours hours 30 minutes minutes,90 cookies,13,"Preheat oven to 350 degrees Fahrenheit.
Using a mixer, beat together the sugar, and oil for 5 minutes.  Add the orange juice, and mix for another couple of minutes (if you don’t have a stand mixer, a hand held mixer will do nicely).
Add in the ouzo and mix again, for a minute or so.  (If you're using liquid vanilla, add 2 teaspoons in this step)
In a medium size bowl, add 2 cups of your sifted flour.  Sift and add the baking powder, and vanilla powder (if you're using it).  Whisk together to combine.
Add this flour, baking powder and vanilla powder combination to your mixing bowl, containing the sugar/oil ingredients; and with your bread hook attachment, mix well to combine. 
Remove 1/2 cup of your measured sifted flour and keep aside.  You probably won't need it.
Continue to add the flour, one cup at a time, mixing well  after each addition. Alternatively, at this point, if you choose, you can use your hands to knead the dough.  
The dough should be soft and almost pillowy, but should hold its shape and be easy to roll. Watch video here. You want to avoid adding in too much flour.  You want to get to the point just where the dough is pulling away from the side of the mixing bowl, as it's mixing. As soon as you have about 2 cups of flour left, add it slowly.   As soon as you see the dough pulling away from the side, it's done.  Watch video here.  If you're not sure, don't add the extra flour you set aside.   Let the dough rest for about 10-20 minutes. Here's another video.
Take about 1 tablespoon (32 grams) of dough and make a log about 6 inches long. Keep in mind, that the dough will feel oily..this is ok.  It's a greasy dough. Then, create a thin “S” shape. Place on parchment lined cookie sheet and bake in middle rack of oven for about 25 minutes, turning halfway.
If you are going to use the sesame seeds, spread some of them on the counter or cutting board (wherever you will be rolling your koulourakia).  Roll out your dough and create your log on top of the sesame seeds; this way they will get embedded in the dough. Continue as above: Create an “S” shape.  Try not to let the ends of the cookie become too thin, because they will burn during baking. Place on parchment lined paper and bake in middle rack of oven for about 25 minutes.  Here's a video of our mom shaping them.
When the koulourakia are golden brown on the underside, and puffy and golden on top, they are ready.
Allow them to rest for about a minute and then remove from the cookie sheet and allow to cool on a cooling rack.
Enjoy, alone or with a nice cup of coffee!",8,1 ½ cups sugar,3 cups vegetable oil or 24 oz we use Mazola corn oil,"2 cups freshly squeezed orange juice, or 16 oz",1/4 cup ouzo or cognac see notes,2 tbsp baking powder,1 teaspoon vanilla powder heaping; see notes for substitution,"1,350 grams sifted, all-purpose flour (9 cups approx)",1/4 cup sesame seeds optional,NA,NA,NA,Mia Kouppa,https://miakouppa.com/koulourakia-with-orange-%ce%bd%ce%b7%cf%83%cf%84%ce%af%cf%83%ce%b9%ce%bc%ce%b1-%ce%ba%ce%bf%cf%85%ce%bb%ce%bf%cf%85%cf%81%ce%ac%ce%ba%ce%b9%ce%b1-%ce%bc%ce%b5-%cf%80%ce%bf%cf%81%cf%84%ce%bf%ce%ba/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
