title,author,rating,ratingnum,category,INFOCARD,description,numberofsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,source,link,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Chocolate biscuit cake,Vicki Smallwood,5,9,Baking and desserts,"Serves 8 - 10
Easy
Prep: 15 mins
No cook, plus chilling","There's no need to turn on the oven with this chocolate biscuit cake. Prepped in just 15 minutes, it’s a winner on so many levels",3,6,"200g unsalted butter diced, plus a little for the tin",250g dark chocolate chopped,150g milk chocolate chopped,150g caramel condensed milk,250g malted milk biscuits,150g Rolo chocolates,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/chocolate-biscuit-cake/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pistachio and chocolate cookies,Edd Kimber,4,2,Baking and desserts,"Makes 12
Easy
Prep: 30 mins
Cook: 16 mins
plus chilling and freezing","Elevate your favourite chocolate chip cookie with creamy, nutty and on-trend pistachios",7,12,120g pistachio cream,250g plain flour,½ tsp baking powder,½ tsp bicarbonate of soda,115g unsalted butter diced and softened,110g light brown sugar,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/pistachio-and-chocolate-cookies/,110g caster sugar,1 large egg,1 tsp vanilla extract,175g dark chocolate (65-75% cocoa solids) roughly chopped,75g shelled pistachios roughly chopped,sea salt flakes for sprinkling on top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate chunk cookies with pecans,Lulu Grimes,5,2,Family,"Makes 12
Easy
Total time : 20 mins","Chunky, nutty and oh-so-moreish, these dark chocolate pecan cookies are the perfect after dinner treat or edible gift. Make them in just 20 minutes",2,9,200g dark chocolate broken into chunks, 100g butter chopped ,50g  light muscovado sugar,85g  golden caster sugar,1 tsp  vanilla extract,1 egg beaten,Olive Magazine UK,https://www.olivemagazine.com/recipes/family/chocolate-chunk-cookies/,100g pecans,100g plain flour,1 tsp bicarbonate of soda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate chip cookies,NA,5,4,Family,"Makes 8
Easy
Total time : 25 mins
+ chilling + cooling","Check out our best chocolate chip cookie recipe, soft and chewy in the middle with gooey dark chocolate chunks and a perfectly crisp outside",4,10,150g salted butter melted,75g soft dark brown sugar,75g caster sugar,1 egg,½ tsp vanilla extract,100g plain flour,Olive Magazine UK,https://www.olivemagazine.com/recipes/family/chocolate-chip-cookies/,100g strong white bread flour,½ tsp baking powder,a pinch sea salt flakes plus extra to serve,100g dark chocolate chopped into small chunks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter biscuits,Anna Glover,5,4,Baking and desserts,"Makes 18
Easy
Total time : 1 hr","These Easter biscuits are a classic for spring, flavoured with a touch of cinnamon and mixed spice, studded with currants and finished with a sprinkling of sugar",4,11,100g unsalted butter softened,100g golden caster sugar,1 egg separated,½ tsp ground cinnamon,⅛ tsp mixed spice,1 lemon zested,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/easter-biscuits-2/,1 orange zested,75g currants,200g plain flour,2 tbsp milk,1 tbsp golden granulated sugar (or more golden caster sugar) for sprinkling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sugar cookies,Anna Glover,5,2,Baking and desserts,"Makes 25-30 cookies
Easy
Total time : 30 mins
+ chilling + cooling","These vanilla-flavoured biscuits are topped with a light frosting made from egg whites and icing sugar, and take just 30 minutes to make",5,8,200g unsalted butter softened,175g caster sugar,2 eggs 1 separated,2 tsp vanilla extract,300g plain flour plus extra for dusting,½ tsp baking powder,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/sugar-cookies/,150g icing sugar sifted,food colouring (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gluten-free biscuits,Tracey Raye,5,1,Baking and desserts,"Makes 38 biscuits
Easy
Prep: 15 mins
Cook: 15 mins","These crunchy, buttery morsels make the perfect gluten-free biscuits. The addition of oats adds a delicious crumbly texture. Enjoy with a cup of tea",2,9,150g unsalted butter softened,130g golden caster sugar,1 tbsp vanilla extract,1 tbsp golden syrup,150g gluten-free oats,150g gluten-free plain flour,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/gluten-free-biscuits/,1 tsp gluten-free baking powder,1 tsp xanthan gum,1 tsp ground cinnamon (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spiced cheese biscuits,Rosie Birkett,5,3,Family,"Makes 40
Easy
Total time : 25 mins
+ chilling","These golden cheese and sesame biscuit discs are impossibly light and buttery, and very hard to resist straight from the oven. Spices such as nutmeg and caraway seeds add an extra flavour kick",2,9,100g unsalted butter chilled,100g plain or white spelt flour,a good pinch cayenne pepper,a good grating nutmeg,½ tsp caraway seeds,"50g cheddar (or Cornish Kern, comté or Lincolnshire Poacher) grated",Olive Magazine UK,https://www.olivemagazine.com/recipes/family/spiced-cheese-biscuits/,"50g parmesan grated, plus extra to serve",1 tsp sesame seeds,flavourless oil for the tray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas biscuits,NA,5,1,Family,"Makes 25-30 medium-large biscuits
Easy
Total time : 1 hr and 30 mins
plus chilling",Our spiced festive biscuits make perfect edible Christmas decorations to hang from your tree. Leave them out for Santa or wrap them up as a gift.,4,10,225g light muscovado sugar,175g golden syrup,2 tsp cinnamon,2 tsp ground ginger,1/2 tsp ground allspice,2 eggs,Olive Magazine UK,https://www.olivemagazine.com/recipes/family/spiced-christmas-biscuits/,1 tsp baking powder,650g plain flour plus extra for dusting,200g butter chilled and roughly grated,100g royal icing sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas cookies,Edd Kimber,5,1,Family,"Makes 15
Easy
Total time : 1 hr and 10 mins
+ infusing + chilling","Use cranberries, pistachios and other festive ingredients to make these impressive cookies. You can even turn them into cookie sandwiches with a decadent pistachio buttercream!",4,16,350g plain flour,½ tsp baking powder,1 tsp bicarbonate of soda,225g unsalted butter,300g caster sugar,1 lemon zested,Olive Magazine UK,https://www.olivemagazine.com/recipes/family/cranberry-and-pistachio-sandwich-cookies/,2 eggs large,1 tsp vanilla extract,150g dried cranberries,200ml whole milk,"75g, plus 50g for decoration pistachios finely chopped",20g plain flour,150g caster sugar,1 tsp vanilla bean paste,175g unsalted butter softened,a few drops green food colouring (optional),NA,NA,NA,NA,NA,NA,NA
Thumbprint cookies,Anna Glover,5,2,Baking and desserts,"Makes 30
Easy
Total time : 30 mins
+ cooling",These peanut butter thumbprint cookies use the classic peanut butter and jam (or jelly) combination in a fun new way. They're best eaten the day they're made,2,7,100g smooth peanut butter plus 3 tbsp extra for the tops,2 eggs,100g golden caster sugar,1 tsp vanilla extract,260g plain flour,a pinch baking powder,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/peanut-butter-thumbprint-cookies/,½ jar seedless raspberry or strawberry jam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sugar-free cookies,Nadine Brown,5,1,Vegan,"Makes 16
Easy
Total time : 55 mins","These small vegan cookies are a real family treat, free from refined sugars — ground almonds provide a nutty flavour and a burst of natural sweetness comes from raspberries",4,8,200g frozen raspberries,1 tsp vanilla bean paste,50ml maple syrup plus 1 tbsp,1½ tbsp chia seeds,50ml rapeseed oil,½ tsp almond extract,Olive Magazine UK,https://www.olivemagazine.com/recipes/vegan/sugar-free-cookies/,190g ground almonds,30g flaked almonds finely chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sourdough cookies,Adam Bush,5,1,Baking and desserts,"Makes 10
Easy
Total time : 25 mins
+ chilling",Make the most of your leftover sourdough starter by making a batch of moreish chocolate chip cookies. We've added rye flour for a nutty depth of flavour,4,11,200g salted butter softened,125g soft dark brown sugar,125g caster sugar,1 egg,1⁄2 tsp vanilla extract,100g sourdough starter,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/sourdough-cookies/,125g plain flour,125g wholemeal rye flour,1⁄2 tsp baking powder,a pinch sea salt flakes plus extra to serve,150g dark chocolate chopped into chunks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Healthy cookies,Nadine Brown,5,1,Health,"Makes 20
Easy
Total time : 30 mins
+ resting","Craving cookies but don't fancy the calories? Bake a batch of these healthy treats made with muesli, wholemeal flour and rapeseed oil, with a touch of honey for sweetness",2,6,250g muesli (no added sugar),75g self-raising wholemeal flour,½ tsp mixed spice,70ml cold-pressed rapeseed oil,100g runny honey,1 large egg,Olive Magazine UK,https://www.olivemagazine.com/recipes/healthy/healthy-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matcha cookies,NA,NA,NA,Baking and desserts,"Makes 12
Easy
Prep: 30 mins
Cook: 15 mins
plus chilling","Matcha, white chocolate and nuts are a classic cookie combo. We’ve used marcona almonds for their buttery flavour and creamy texture.",3,10,220g salted butter softened,120g caster sugar,100g soft light brown sugar,1 egg plus 1 egg yolk,1 tsp vanilla bean paste,1 tbsp matcha powder,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/matcha-cookies/,220g plain flour,½ tsp baking powder,100g toasted marcona almonds roughly chopped ,100g white chocolate roughly chopped ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter cookies,Janine Ratcliffe,5,2,Baking and desserts,"Makes 16 cookies
Easy
Total time : 45 mins","Loaded with Maltesers Mini Bunnies, Galaxy Golden Eggs and M&M’s Eggs, these easy cookies make a fun Easter baking project for the whole family",4,9,85g unsalted butter softened,75g caster sugar,75g light brown muscovado sugar,1 egg,1 tsp vanilla extract,175g self-raising flour,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/easter-biscuits/,5 Maltesers Mini Bunnies,15 Galaxy Golden Eggs,24 M&M’s Eggs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hot cross bun cookies,Edd Kimber,5,1,Family,"Makes 18
Easy
Total time : 1 hr
+ cooling","Bake a batch of these pretty spiced cookies for an Easter treat that the whole family will love. These wholesome cookies are packed with oats and raisins, and decorated with icing to resemble hot cross buns",5,16,100g rolled oats,75g desiccated coconut,125g raisins,50g candied peel,200g plain flour,125g soft light brown sugar,Olive Magazine UK,https://www.olivemagazine.com/recipes/family/hot-cross-bun-cookies/,1 tsp ground cinnamon,½ tsp mixed spice,½ tsp sea salt flakes,125g unsalted butter,3 tbsp golden syrup,1 tsp bicarbonate of soda,150g icing sugar,1½ tbsp milk,½ tsp vanilla bean paste,50g desiccated coconut,NA,NA,NA,NA,NA,NA,NA
Porridge oat cookies,Anna Glover,3,2,Baking and desserts,"Makes 14
Easy
Total time : 30 mins",Don’t let your leftover porridge go to waste – transform it into these great cookies for the following morning instead. They're ideal for breakfast on the go,2,10,150g salted butter softened,50g soft light brown sugar,100g golden caster sugar,2 eggs,300g plain flour,1 tsp baking powder,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/porridge-oat-cookies/,½ tsp ground cinnamon,100g raisins,200g leftover porridge cooked and cooled,1 tbsp  porridge oats (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chickpea cookie dough,Linzi Pucino,NA,NA,Baking and desserts,"Serves 10
Easy
Prep: 5 mins
plus 15 mins chilling",These protein-packed bites come together in minutes and can be kept in the fridge for midweek snacking,2,6,50g rolled oats,400g tin of chickpeas drained and patted dry,4 tbsp vanilla protein powder,2 tbsp cashew butter,1 tbsp maple syrup,3 tbsp dark chocolate chips,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/chickpea-cookie-dough/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Linzer cookies (Linecke cukrovi),Evie Harbury,NA,NA,Baking and desserts,"plus chilling
Easy
Prep: 45 mins
Cook: 20 mins
Makes 16","Bake these biscuits, sandwiched together with a gooey layer of jam – the textures balance carefully on the line between beautifully crumbly and deliciously melty",7,6,300g plain flour plus extra for dusting,80g icing sugar plus extra for dusting,"200g unsalted butter cold, cubed",2 egg yolks,1 tsp vanilla bean paste,160g seedless redcurrant or raspberry jam,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/linzer-cookies-linecke-cukrovi/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triple chocolate chip cookies,Adam Bush,2,4,Baking and desserts,"Makes 14
Easy
Prep: 15 mins
Cook: 20 mins
+ chilling","Simple to make with maximum reward, freshly baked cookies are one of life’s greatest pleasures. These luxurious ones combine dark, milk and white chocolate",4,8,200g unsalted butter softened,200g soft light brown sugar,175g plain flour,50g cocoa powder,1 tsp baking powder,50g dark chocolate chopped,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/triple-chocolate-chip-cookies/,50g milk chocolate chopped,50g white chocolate chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spiced Christmas biscuits,Janine Ratcliffe,NA,NA,Baking and desserts,"Makes 24
Easy
Prep: 10 mins
Cook: 15 mins
plus chilling and cooling",These crisp biscuits are flavoured with warming cinnamon and ginger spices. Perfect for the festive season – you could even hang them on the tree!,4,9,325g plain flour,2 tsp ground cinnamon,1 tsp ground ginger,1 tsp bicarbonate of soda,75g golden syrup,85g unsalted butter,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/spiced-christmas-biscuits-2/,150g soft dark brown sugar,1 egg beaten,icing sugar to decorate (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anzac biscuits,Anna Glover,2,4,Baking and desserts,"Makes 15
Easy
Total time : 40 mins
+ cooling","These sweet biscuits, originally from Australia and New Zealand, are made using oats, golden syrup and desiccated coconut. Perfect with a cuppa",4,7,150g unsalted butter,100g golden caster sugar,50g golden syrup,1tsp bicarbonate of soda,100g desiccated coconut,100g plain flour,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/anzac-biscuits/,100g oats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown butter, walnut and caramelised white chocolate cookies",Helena Busiakiewicz,NA,NA,Baking and desserts,"Serves 12 - 15
Easy
Prep: 1 hr
Cook: 20 mins
plus overnight chilling",This technique of toasting the nuts in butter creates a fantastic toasted nut flavour that you can taste through the whole cookie,5,10,250g salted butter cubed,125g walnuts,100g golden caster sugar,175g soft light brown sugar,2 eggs,2 tsp vanilla extract,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/brown-butter-walnut-and-caramelised-white-chocolate-cookies/,300g plain flour,1 tsp bicarbonate of soda,125g caramelised white chocolate roughly chopped into chunks,sea salt flakes for sprinkling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No-churn Irish coffee ice cream with hazelnut and chocolate biscuits,Cherie Denham,NA,NA,Baking and desserts,"Serves 10
Easy
Prep: 15 mins
Cook: 15 mins
plus overnight freezing and cooling",I find that no-churn ice creams can taste too sweet so I made this one pretty punchy. The alcohol dilutes the sweetness of the condensed milk and the coffee gives it an intense depth and strength in flavour,6,13,600ml double cream,397g tin of condensed milk,5 tbsp instant espresso powder,3 tbsp Baileys Irish Cream,3 tbsp Irish whiskey,55g blanched hazelnuts,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/no-churn-irish-coffee-ice-cream-with-hazelnut-and-chocolate-biscuits/,110g unsalted butter softened,55g soft light brown sugar,1 tsp vanilla extract,170g plain flour plus extra for dusting,pinch of sea salt flakes,55g milk chocolate chopped into small pieces,demerara sugar for sprinkling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Empire biscuits,Gaby English,NA,NA,Baking and desserts,"Makes 16 biscuits
A little effort
Prep: 35 mins
Cook: 25 mins
plus chilling and cooling",Make these crumbly shortbread-style biscuits for an afternoon treat. Raspberry jam acts as a sharp contrast to the sweet icing,6,7,125g unsalted butter softened,250g icing sugar,2  egg yolks,1 tsp vanilla extract,200g plain flour plus extra for dusting,160g raspberry or strawberry jam,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/empire-biscuits/,8 glacé cherries halved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ginger biscuit fridge cake,Lulu Grimes,NA,NA,Easy,"Serves 6
Easy
Prep: 20 mins
plus freezing","Ginger biscuits, jarred stem ginger and lashings of double cream are all it takes for this effortless frozen pud, perfect for a last-minute dinner party dessert",4,3,250-300g thin ginger biscuits (such as Annas Pepparkakor or IKEA Kafferep),300ml double cream,2-3  balls of stem ginger in syrup finely chopped,NA,NA,NA,Olive Magazine UK,https://www.olivemagazine.com/recipes/quick-and-easy/three-ingredient-ginger-fridge-cake/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fistikli un kurabiyesi (pistachio shortbread cookies),Özlem Warren,NA,NA,Baking and desserts,"Makes 25
Easy
Prep: 30 mins
Cook: 20 mins
plus chilling","These crumbly, buttery biscuits are a Turkish national favourite – this version features pistachios in the dough for extra flavour and texture",5,6,90g unsalted shelled pistachios plus extra to serve,300g plain flour,125g icing sugar plus extra for dusting,250g unsalted butter cubed,½ tsp baking powder,1 tsp vanilla extract,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/fistikli-un-kurabiyesi-pistachio-shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweet oat biscuits,James Lowe,NA,NA,Baking and desserts,"Makes about 30 biscuit shards
Easy
Prep: 15 mins
Cook: 25 mins","Add a pinch of nutmeg and cinnamon to these sweet oat biscuits for a festive twist, served with quince or pear jelly and cream – this recipe comes from chef and founder of Lyle's, James Lowe",3,5,150g unsalted butter,125g demerara sugar,100g oats,100g plain flour,1 tsp bicarbonate of soda,NA,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/sweet-oat-biscuits/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shortbread biscuits,olivemagazine,NA,NA,Chef recipes,"Makes 8-10
Easy
Total time : 30 mins
+ 30 minutes chilling","Discover how to achieve buttery, melt-in-the-mouth shortbread cookies using just four ingredients.These classic biscuits are easy to bake and take just 30 minutes",2,4,275g unsalted butter softened,160g caster sugar,300g white flour,150g semolina flour,NA,NA,Olive Magazine UK,https://www.olivemagazine.com/recipes/chef-recipes/shortbread/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon biscuits,Janine Ratcliffe,NA,NA,Baking and desserts,"Makes 12
Easy
Total time : 45 mins","Bake a batch of our easiest ever lemon biscuits. With a buttery, crumbly texture and creamy mascarpone filling, these citrusy melting moments are hard to beat",5,7,175g unsalted butter,40g softened icing sugar sifted,2 lemons zest grated,150g plain flour sifted,40g corn flour sifted,2 rounded tbsp mascarpone,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/lemon-melting-moments/,2 rounded tsp  lemon curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fig cookies,Adam Bush,NA,NA,Baking and desserts,"Makes 10
Easy
Prep: 10 mins
Cook: 15 mins","These pretty oat cookies, topped with fanned-out fig slices, are easy to make and only take 25 minutes to whip up – ideal for feeding last-minute visitors",3,8,100g unsalted butter softened,150g soft light brown sugar,100g plain flour,100g rolled oats,1 tsp baking powder,½ tsp bicarbonate of soda,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/oat-and-fig-cookies/,1 tbsp whole milk,8 black figs halved lengthways,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereal cookies,Sarah Cook,NA,NA,Baking and desserts,"Makes 30
Easy
Total time : 30 mins","Put honey nut cornflakes to delicious use in this speedy biscuit recipe that combines golden syrup, rolled oats and desiccated coconut",2,10,225g unsalted butter softened,125g soft light brown sugar,100g golden syrup,1 large egg,1 tsp vanilla extract,50g desiccated coconut,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/cereal-cookies/,200g plain flour,1 tsp bicarbonate of soda,50g rolled oats,50g honey nut cornflakes crushed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maple pecan cookies,Anna Glover,NA,NA,Family,"Makes 12
Easy
Total time : 1 hr
+ chilling","Celebrate the classic North American condiment, maple syrup, in this easy cookie recipe. Dot with pecan nuts and serve with a cup of coffee for a moreish afternoon nibble",5,8,150g salted butter softened,125g soft light brown sugar,90ml maple syrup,1 egg lightly beaten,a pinch mixed spice,280g plain flour,Olive Magazine UK,https://www.olivemagazine.com/recipes/family/maple-pecan-cookies/,½ tsp baking powder,"100g pecan halves 12 left whole, the rest chopped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edible cookie dough,Adam Bush,NA,NA,Baking and desserts,"Makes 12 cookies or 10 dough bars
Easy
Total time : 15 mins","Homemade edible cookie dough is totally irresistible and safe to eat. You could swap the dark chocolate for white or milk, toffee pieces, walnuts or even add a shot of espresso to the dough",3,6,200g plain flour,150g unsalted butter softened,100g golden caster sugar,½ tsp vanilla extract,a pinch fine sea salt,50g or dark chocolate chocolate chips chopped,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/edible-cookie-dough/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pandan cookies,Gurdeep Loyal,NA,NA,Baking and desserts,"Makes 14-15
Easy
Total time : 35 mins
+ chilling",These chewy white chocolate crinkle cookies bring out pandan’s sweet tropical aromas. Enjoy on their own or sandwiched with ice cream,5,11,120g unsalted butter softened,125g granulated sugar plus 50g for rolling,100g soft light brown sugar,1 medium egg,1 egg yolk,2 tsp pandan paste or pandan leaf extract,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/pandan-cookies/,285g plain flour,1 tsp baking powder,½ tsp bicarbonate of soda,90g white chocolate chopped into small chunks,50g icing sugar for rolling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Breakfast oatmeal cookies,Adam Bush,3,2,Baking and desserts,"Makes 8
Easy
Total time : 30 mins
plus cooling",These healthy breakfast cookies are easy to make and full of wholesome ingredients including fibre-packed oatmeal and fruit - ideal for a breakfast or mid-morning snack,2,11,1 egg beaten,50g butter melted,3 tbsp soft light brown sugar,1 tbsp maple syrup,50g wholemeal flour,100g jumbo porridge oats,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/breakfast-cookies/,1 tsp baking powder,50g raisins,50g dates chopped,a good pinch mixed spice,a good pinch ground cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
