title,author,rating,ratingnum,category,INFOCARD,description,numberofsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,source,link,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Macedonian susamliji (sesame cookies),Katerina Nitsou,NA,NA,Chef recipes,"Makes about 28 cookies
Easy
Total time : 40 mins
+ chilling","These celebration cookies are made by Macedonian families for special occasions. Finish this simple braided, butter-based biscuit with an egg glaze and a scattering of sesame seeds",5,8,5 eggs,120ml whole milk,120ml vegetable oil plus extra for the baking sheets,250g caster sugar,1 tbsp baking powder,4 tbsp freshly squeezed orange juice,Olive Magazine UK,https://www.olivemagazine.com/recipes/chef-recipes/macedonian-susamliji-sesame-cookies/,"700g plain flour sifted, plus extra for dusting",40g sesame seeds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miso chocolate cookies,Adam Bush,NA,NA,Baking and desserts,"Makes 20
Easy
Total time : 40 mins
+ Chilling","You can't taste the miso in these chewy triple-chocolate cookies – it's there to balance the sweetness of the chocolate, and add a subtle umami note",4,13,150g unsalted butter softened,200g soft light brown sugar,100g golden caster sugar,1 egg,50g white miso paste,1 tsp vanilla bean paste or extract,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/miso-chocolate-cookies/,225g plain flour,25g cocoa powder,½ tsp baking powder,½ tsp sea salt flakes plus a pinch,100g dark chocolate chips,100g white chocolate chips,a pinch (optional) white sesame seeds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banana oat cookies,Liberty Mendez,NA,0,Baking and desserts,"Makes 20 small cookies
Easy
Total time : 40 mins","Five ingredients is all it takes to make these irresistible oaty cookies, studded with chocolate chips",3,6,2 (340g unpeeled or 200g peeled) ripe bananas,200g rolled oats,50g caster sugar,50g coconut oil or butter melted,50g chocolate chips,plain flour to dust hands,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/banana-oat-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biscoff cookies,NA,NA,NA,Baking and desserts,"Makes 12
Easy
Total time : 35 mins
+ Freezing","Chewy, golden cookies with crunchy biscuit crumbs and a melting biscoff middle",3,10,12 tbsp Biscoff spread,125g salted butter softened,100g caster sugar,100g soft light brown sugar,1 tsp vanilla bean paste,1 medium egg,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/biscoff-cookies/,225g plain flour,1 tbsp cornflour,½ tsp baking powder,100g Lotus biscuits finely chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nankhatai (cardamom biscuits),Maunika Gowardhan,NA,NA,Health,"Makes 12
Easy
Total time : 40 mins
+ Cooling",These cardamom-infused biscuits baked with pistachio and ghee are sold across local bakeries in Mumbai. Serve with hot masala chai for best results,3,8,125g atta or plain wholemeal flour,2 tbsp gram flour,½ tsp baking powder,a pinch sea salt flakes,½ tsp ground cardamom,"70g ghee or softened butter (see cook's notes, below)",Olive Magazine UK,https://www.olivemagazine.com/recipes/healthy/nankhatai-cardamom-biscuits/,70g caster sugar,2 tbsp of slivered or chopped pistachio kernels to garnish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halva cookies,NA,NA,NA,Baking and desserts,"Makes 15
Easy
Total time : 30 mins","These crumbly, shortbread-like tahini biscuits just melt in the mouth. Plus they only take a few minutes to make!",3,6,100g unsalted butter softened,85g caster sugar,85g tahini,½ tsp vanilla extract,1 tsp baking powder,150g plain flour,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/halva-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Digestive biscuits,NA,NA,NA,Baking and desserts,"Makes 40
Easy",You can't beat a classic digestive with a cup of tea. Thanks to this recipe by Regula Ysewijn you can make your own at home and enjoy them oven-warm,5,8,40g pecan nuts,150g butter at room temperature,100g demerara sugar,2 eggs,1 tsp baking powder,1 tsp sea salt,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/digestive-biscuits/,150g oat flour,260g wholemeal plain or spelt flour plus extra for dusting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vegan shortbread biscuits,Richard Makin,NA,NA,Vegan,"Makes 36
Easy
Cook: 50 mins
+ chilling",Follow expert baking tips from School Night Vegan to ensure you get lovely crumbly biscuits every time.,3,5,250g plain white flour,75g icing sugar,a pinch fine sea salt,175g baking block chilled (see cooks notes above),for sprinkling (optional) caster sugar,NA,Olive Magazine UK,https://www.olivemagazine.com/recipes/vegan/vegan-shortbread/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black and white tahini cookies,Edd Kimber,NA,NA,Baking and desserts,"Makes 12
A little effort
Total time : 1 hr and 15 mins
+ Chilling + Freezing","With a little help from Edd Kimber, you too can create these dramatic-looking tahini and chocolate cookies. Black tahini adds a deep nutty flavour which balances well with the sweet white chocolate ganache centre.",7,16,125g wholemeal rye flour,100g plain flour,2 tbsp cocoa powder,1 tsp baking powder,1/2 tsp bicarbonate of soda,1/2 tsp fine sea salt,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/tahini-cookies/,85g unsalted butter softened,85g black tahini,100g soft light brown sugar,100g caster sugar,2 large eggs,1 tsp vanilla extract,100g sesame seeds,100g white chocolate finely chopped,50g double cream,1/4 tsp (optional) ground cardamom,NA,NA,NA,NA,NA,NA,NA
Gluten-free shortbread,Tracey Raye,5,23,Baking and desserts,"Serves 15
Easy
Prep: 10 mins
Cook: 15 mins
plus 15 mins cooling","Looking for the perfect gluten-free shortbread recipe? Discover this simple mixture utilising cornflour to achieve that classic soft, crumbly texture",3,5,120g unsalted butter softened,70g golden caster sugar plus extra for dusting ,1 tsp vanilla extract,120g gluten-free flour plus extra for cutting ,60g cornflour or arrowroot,NA,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/gluten-free-shortbread/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halloween biscuits,Janine Ratcliffe,NA,NA,Baking and desserts,"Makes 24
Easy
Total time : 1 hr
+ cooling","Bake these spooky mummy cookies for a Halloween party or 'trick or treat' gift. Get the whole family involved with decorating, the kids will love them!",5,10,150g salted butter softened,100g caster sugar,50g light muscovado sugar,1 egg,1 tsp vanilla extract,1 tbsp whole milk,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/spooky-mummy-biscuits/,220g self-raising flour,150g royal icing sugar,48 M&Ms,black edible decorating pen or black food colouring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Classic tiramisu,Janine Ratcliffe,5,5,Baking and desserts,"Serves 6-8
Easy
Total time : 30 mins
+ chilling","Try our easy but impressive tiramisu recipe. This classic Italian dessert features mascarpone, marsala and savoiardi biscuits soaked in coffee and Tia Maria",8,9,3 eggs separated (see notes below),100g caster sugar,2 tbsp Marsala,250g tub mascarpone,150ml double cream,150ml strong black coffee,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/classic-tiramisu/,75ml Tia Maria,36 savoiardi biscuits,2-3 tbsp cocoa powder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut butter cookies,Amanda James,1,1,Easy,"Makes 12
Easy
Total time : 25 mins
+ cooling","Nutty, buttery and quick to make, these crisp peanut butter cookies are gluten-free and great for baking with kids. Have them ready in just under 30 mins.",4,6,1 egg,230g golden caster sugar,½ tsp vanilla extract,1 tsp sea salt plus extra to sprinkle on top,200g smooth peanut butter,a handful roasted peanuts chopped,Olive Magazine UK,https://www.olivemagazine.com/recipes/quick-and-easy/peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberry cheesecake,Amanda James,41,10,Family,"Serves 8 – 10
Easy
Prep: 45 mins
Cook: 15 mins
+ setting and cooling","Combine two classic summer desserts in this no-bake cheesecake topped with a sweet strawberry sauce, ideal for al fresco entertaining",10,11,"150g butter melted, plus extra for the tin",300g digestive biscuits,650g soft cheese,175g icing sugar,300ml double cream,1 vanilla pod halved lengthways and seeds scraped out,Olive Magazine UK,https://www.olivemagazine.com/recipes/family/strawberries-and-cream-cheesecake/,1 tsp vanilla extract,200g strawberries hulled and diced,"250g strawberries 100g hulled and quartered, 150g halved",50g caster sugar,1 tsp cornflour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caramel cookies,NA,NA,NA,Entertain,"Makes about 25
A little effort
Total time : 35 mins
+ cooling",Swirling honeycomb through these salted butter biscuits is the perfect way to add caramel flavour and extra crunch. Plus there will be plenty of honeycomb left over for snacking on!,5,12,125g salted butter softened,75g golden caster sugar,75g soft light brown sugar,75g golden syrup,2 large egg yolks,2 tsp vanilla extract,Olive Magazine UK,https://www.olivemagazine.com/recipes/entertain/caramel-snap-cookies/,300g plain flour plus extra for dusting,1 tsp bicarbonate of soda,a drizzle flavourless oil,100g caster sugar,100g golden syrup,1 tsp bicarbonate of soda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreo brownies,NA,5,7,Baking and desserts,"Serves 16
Easy
Prep: 10 mins
Cook: 25 mins",This batch of brownies uses a whole packet of Oreos – they're crumbled up inside and baked on top – as well as indulgent dark chocolate chips and cocoa powder for an extra chocolatey finish,7,7,140g unsalted butter plus extra for the tin  ,14 Oreos (54g pack),200g good quality dark chocolate chips,225g caster sugar,"2 large eggs plus 1 egg yolk, lightly beaten ",90g plain flour,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/oreo-brownies/,50g cocoa powder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy chocolate tiffin squares that everyone will love,Anna Glover,5,9,Baking and desserts,"Makes 16 squares
Easy
Prep: 30 mins
Cook: 5 mins
plus 2 hrs chilling",No oven time required and easy to make with a handful of ingredients – there’s a reason tiffins are the perfect no-bake treat,3,9,200g dark chocolate chopped,100g milk chocolate chopped,100g golden syrup,100g unsalted butter,1 tbsp cocoa powder,250g digestive biscuits crushed,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/classic-chocolate-tiffin/,75g raisins,150g milk chocolate chopped ,50g white chocolate chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vegan chocolate cookies,NA,NA,NA,Vegan,"Makes 16
Easy
Total time : 30 mins","Wow your friends with these gooey double chocolate chip cookies, that just happen to be vegan. Made with dark chocolate and coconut oil, they are both dairy-free and egg-free.",4,8,125g plain flour,4 tbsp cocoa powder,½ tsp baking powder,¼ tsp bicarbonate of soda,100g demerara sugar,100g dark chocolate chips or chopped dark chocolate,Olive Magazine UK,https://www.olivemagazine.com/recipes/vegan/double-chocolate-chip-vegan-cookies/,75g coconut oil melted and cooled,1 tsp  vanilla paste or extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No-bake lemon cheesecake,Anna Glover,5,2,Baking and desserts,"Serves 8
Easy
Prep: 30 mins
, plus overnight chilling",Feed a crowd with our classic no-bake creamy lemon curd cheesecake filling on a crumbly digestive biscuit base with browned butter,3,7,100g salted butter,250g digestive biscuits,560g full-fat soft cheese,300ml double cream,2 tbsp icing sugar,100g lemon curd,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/no-bake-lemon-cheesecake/,"2 lemons both finely zested, 1 juiced, plus extra zest to finish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mini cheesecakes,Linzi Pucino,5,6,Baking and desserts,"Serves 6
Easy
Prep: 10 mins
plus chilling",These individual cheesecakes can be served with whichever fruits or nuts you prefer,3,7,150g digestive biscuits,75g unsalted butter,300g full-fat soft cheese,75g golden caster sugar,1 tsp vanilla extract,1 lemon zested,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/mini-cheesecakes/,seasonal berries to serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted caramel cheesecake,Cate Walton,5,7,Baking and desserts,"Serves 8 - 10
Easy
Prep: 30 mins
plus chilling","Our elegant, no-bake cheesecake can be made up to two days in advance, so it's ideal for stress-free entertaining",6,19,200g caster sugar,300ml double cream room temperature,60g unsalted butter cubed,pinch of sea salt flakes,250g gingernut biscuits,1 tbsp ground ginger,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/salted-caramel-cheesecake/,30g flaked almonds toasted,"100g unsalted butter melted, plus extra to grease",100g white chocolate roughly chopped,400ml double cream,600g full-fat cream cheese,50g icing sugar sifted ,1 tsp neutral oil such as sunflower oil,30g flaked almonds,70g caster sugar,pinch of sea salt flakes,30g toffee popcorn,30g white chocolate roughly chopped,pinch of sea salt flakes,NA,NA,NA,NA
"White chocolate, tahini and pretzel cookies",Sarah Cook,NA,NA,Baking and desserts,"Makes 24-28
Easy
Total time : 50 mins
+ chilling","Tahini gives a lovely sweet and salty kick to these crisp, grown-up cookies, while pretzels add extra crunch. Make them for a special afternoon tea treat or festive party snack.",5,12,225g unsalted butter,50g tahini,225g good-quality white chocolate,300g plain flour,2 tbsp toasted sesame seeds plus a little to decorate,1 tsp bicarbonate of soda,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/white-chocolate-tahini-pretzel-cookies/,2 pinches ground cinnamon,200g soft light brown sugar,100g golden caster sugar,2 large eggs,2 tsp vanilla extract,85g pretzels roughly broken into shards,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon sandwich cookies,NA,NA,NA,Baking and desserts,"Makes 20
A little effort
Total time : 1 hr and 35 mins
+ chilling + cooling","If you’re a Jammie Dodgers fan you’ll love these lemon cookie sandwiches, combining crunchy poppy seeds and a creamy, zesty lemon curd filling",5,11,200g unsalted butter softened,200g caster sugar,1 lemon zested,1 egg large,300g plain flour,100g spelt flour,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/poppy-seed-and-lemon-curd-sandwich-biscuits/,2 tbsp poppy seeds,200g icing sugar,1 lemon zested to make 1 tsp and juiced to make 1 tbsp,50g unsalted butter softened,8 tbsp lemon curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biscoff cake,Linzi Pucino,5,9,Baking and desserts,"Serves 10
A little effort
Prep: 30 mins
Cook: 30 mins","Flavoured with your favourite biscuit spread and decorated with crumbled biscuits, this triple-layered showstopper is perfect for a birthday party or celebratory afternoon tea",8,13,375g unsalted butter plus extra,375g soft light brown sugar,6 large eggs,375g self-raising flour,200g Biscoff biscuit spread (we used Lotus),250g unsalted butter room temp,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/biscoff-cake/,500g icing sugar,200g Biscoff spread,100g unsalted butter room temp,200g icing sugar,75g chocolate and hazelnut spread,2 tbsp full-fat milk,200g Lotus rectangle biscuits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stem ginger cookie sandwiches,Edd Kimber,NA,NA,Baking and desserts,"Makes about 20
A little effort
Total time : 3 hrs
+ cooling + chilling","Check out these soft, chewy ginger cookies with caramelised white chocolate ganache. These cookies make a great sweet treat to go with your afternoon tea.",4,10,300g plain flour,½ tsp bicarbonate of soda,a pinch sea salt,200g unsalted butter softened,100g soft light brown sugar softened,150g caster sugar,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/stem-ginger-cookie-sandwiches-with-caramelised-white-chocolate-ganache/,85g crystalised stem ginger roughly chopped,150g (minimum 30% cocoa butter content) white chocolate chopped,a pinch sea salt,125ml double cream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biscoff banoffee pie,Anna Glover,5,2,Baking and desserts,"Serves 12
Easy
Prep: 20 mins
plus chilling","This 'Biscoffee' pie, if you will, brings joy and variety to your table with its layered smooth Biscoff cream, sliced banana and silky caramel filling",4,10,"225g Biscoff biscuits bashed to crumbs, plus 2 extra broken biscuits, to serve",125g unsalted butter melted,397g Carnation caramel,3 bananas peeled and cut into 1cm slices,25g walnut halves toasted,4 tbsp Biscoff spread,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/biscoff-banoffee-pie/,300ml double cream,1 tsp vanilla extract,1 tbsp icing sugar,1 square dark chocolate grated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caramelised apple and brown butter cheesecake bars,Edd Kimber,5,3,Baking and desserts,"Makes 16
A little effort
Prep: 30 mins
Cook: 1 hr and 45 mins",Reintroduce autumnal spiced flavours in a new way with these treat bars inspired by comforting apple crumble,7,18,"225g unsalted butter diced, plus extra for the pan",350g plain flour,200g caster sugar,4 tbsp  rolled oats,500g Granny Smith apples,½ lemon juiced,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/caramelised-apple-and-brown-butter-cheesecake-bars/,30g unsalted butter diced,30g caster sugar,30g soft light brown sugar,½ tsp ground cinnamon,½ tsp ground ginger,560g full-fat soft cheese room temperature,120ml soured cream,200g caster sugar,2 tbsp cornflour,2 tsp vanilla bean paste,1 lemon zested,2 eggs,NA,NA,NA,NA,NA
Nutella cookies,NA,NA,NA,Baking and desserts,"Makes 15-20
Easy
Total time : 35 mins",If you love Nutella then you'll love these seriously moreish malted chocolate cookies with walnuts. These chewy salty sweet treats go perfectly with your mid-morning tea,3,12,150g unsalted butter at room temperature,50g caster sugar,125g soft light brown sugar,150g Nutella,1 large egg,1 tsp vanilla extract or paste,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/nutella-cookies-with-walnut-and-sea-salt/,175g plain flour,50g malted milk powder (such as Horlicks),½ tsp bicarbonate of soda,1 tsp sea salt flakes plus extra to serve,75g walnuts roughly chopped,75g dark chocolate with sea salt chopped into small chunks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perfect golden and fluffy air-fryer scones,Helena Busiakiewicz,45,6,Baking and desserts,"Serves 6
Easy
Prep: 15 mins
Cook: 18 mins
plus chilling and cooling","Perfect for an afternoon tea, these air-fryer scones are fluffy and light. Ready in just 30 minutes, they are the ultimate speedy bake",3,7,350g self-raising flour plus extra for dusting,1 tsp baking powder,4 tbsp golden caster sugar,80g unsalted butter cut into cubes,200ml buttermilk,2 tbsp milk,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/air-fryer-scones/,clotted cream and jam to serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bourbon biscuit brownies,NA,NA,NA,Family,"Makes 16
Easy
Total time : 40 mins","What's better than a chocolate Bourbon biscuit? Chocolate Bourbon brownies! This is one of our favourite recipes - trust us, you'll need to make a double batch",4,8,15 bourbon biscuits,100g butter chopped,200g dark chocolate chopped,4 eggs,250g golden caster sugar,100g plain flour,Olive Magazine UK,https://www.olivemagazine.com/recipes/family/bourbon-biscuit-brownies/,1 tsp baking powder,30g cocoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate chip cookie pizza,NA,NA,NA,Baking and desserts,"Makes 12
Easy
Total time : 45 mins
+ chilling","This chocolate chip cookie pizza is super easy to make and great fun with all the family. Crunchy on the outside and chewy on the inside, this giant cookie makes for a great alternative to a birthday cake.",4,12,85g unsalted butter softened,75g caster suagr,75g light brown muscovado sugar,1 egg,1 tsp vanilla extract,175g self-raising flour,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/chocolate-chip-cookie-pizza/,½ tsp salt,100g chocolate chips,100g fudge chunks,a handful mini marshmallows,2 tbsp salted caramel sauce,25g dark chocolate melted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Classic biscotti,Linzi Pucino,5,1,Baking and desserts,"Makes 22-24
Easy
Prep: 10 mins
Cook: 1 hr",These twice-baked biscuits are the perfect accompaniment to a cup of tea. They are traditionally made with skin-on almonds that give a delicate nutty flavour,6,8,150g whole almonds,250g plain flour,175g caster sugar,1 tsp baking powder,½ orange zested,2 eggs plus 1 yolk lightly beaten,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/classic-biscotti/,½ tsp vanilla extract,icing sugar for dusting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate yule log,Amanda James,5,5,Entertain,"Serves 8
Easy
Total time : 1 hr and 20 mins
+ cooling + chilling","Need a show-stopping dessert recipe to impress guests over the Christmas period? Check out our indulgent festive yule log with dark chocolate, a boozy Baileys cream and crunchy hazelnut brittle",12,14,100g self-raising flour,50g cocoa powder,1 tsp ground cinnamon,6 large eggs,100g caster sugar,2 tbsp milk,Olive Magazine UK,https://www.olivemagazine.com/recipes/entertain/ultimate-christmas-yule-log/,50g hazelnuts chopped,70g caster sugar,100g dark chocolate chopped,150ml double cream,250ml double cream,5 tbsp Baileys or Irish cream liqueur (optional),2 tbsp icing sugar,6 Ferrero Rocher roughly chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mulled wine cherry pavlova,Edd Kimber,5,2,Entertain,"Serves 10 - 12
A little effort
Prep: 20 mins
Cook: 1 hr and 45 mins
plus overnight drying","Easily adapted to whatever flavours take your fancy, pavlovas are also great for preparing ahead. This one is topped with mulled wine cherries for festive flavour",6,17,4 large egg whites,250g caster sugar,1 tsp lemon juice,1 tsp cornflour,1 tsp vanilla bean paste,450g frozen cherries,Olive Magazine UK,https://www.olivemagazine.com/recipes/entertain/mulled-wine-cherry-pavlova/,125g caster sugar,185ml red wine,2 mulled wine spice packets (I used Schwartz),1 tbsp lemon juice,1 tbsp cornflour,450ml double cream,100g soft cheese,1 tsp vanilla bean paste,handful of small mint leaves,1 large egg white beaten until foamy,caster sugar for sprinkling,NA,NA,NA,NA,NA,NA
Chocolate and tahini cookies,NA,NA,NA,Baking and desserts,"Makes 12-14 sandwich cookies
Easy
Total time : 50 mins","Jazz up your cookie repertoire and bake these chocolate and tahini cookie sandwiches. Our irresistible version of the classic American Oreo biscuit teams crisp, dark cookies with a creamy tahini buttercream – one will never be enough",4,13,100g unsalted butter at room temperature,100g caster sugar,60g golden syrup,1 tsp sesame oil,¼ tsp fine sea salt,175g plain flour,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/chocolate-and-tahini-cookies/,30g cocoa powder plus extra for rolling,½ tsp bicarbonate of soda,45g unsalted butter at room temperature,45g white chocolate melted,45g tahini,125g icing sugar sifted,1 tbsp milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinnamon rolls,NA,48,4,Baking and desserts,"A little effort
Total time : 3 hrs and 20 mins","Sticky and sweet, cinnamon rolls are a Scandinavian favourite, served for breakfast or as a satisfying snack. Our step-by-step guide will help you make perfect treats for friends and family.",10,9,175ml whole milk,2 tsp dried active yeast,35g golden caster sugar plus a little demerara sugar for dusting,350g flour plus extra for dusting,1 egg beaten,50g unsalted butter and extra for the tin,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/cinnamon-buns-cinnamon-swirls/,100g unsalted butter very soft,2 tbsp golden caster sugar,3 tsp ground cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
