title,author,rating,ratingnum,category,INFOCARD,description,numberofsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,source,link,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Biscoff cupcakes,Adam Bush,5,6,Baking and desserts,"Makes 12
Easy
Total time : 50 mins
+ cooling","Make good use of Biscoff biscuit spread in these cupcakes – they're easy to prepare, requiring less than an hour of hands-on time",3,9,125g unsalted butter softened,125g golden caster sugar,3 eggs,2 tbsp Biscoff biscuit spread,150g self-raising flour,6 Biscoff biscuits crushed,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/biscoff-cupcakes/,175g unsalted butter softened,350g icing sugar,2 tbsp Biscoff biscuit spread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dark chocolate and olive oil cookies,Janine Ratcliffe,NA,NA,Baking and desserts,"Makes 12
Easy
Total time : 40 mins","Olive oil gives a crisp, crunchy texture to these dark chocolate cookies, while a sprinkle of sea salt adds a sophisticated savoury edge",3,8,150g 70% dark chocolate chopped into chunks,100ml olive oil,50g light muscovado sugar,85g golden caster sugar,1 egg beaten,200g plain flour,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/dark-chocolate-and-olive-oil-cookies/,1 tsp bicarbonate of soda,sea salt flakes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raspberry mousse,NA,5,2,Baking and desserts,"serves 6
Easy
Total time : 1 hr and 30 mins
+ chilling",Whip up this light and fruity raspberry mousse and serve with homemade mint biscuits. This elegant dessert is easy to make and sure to impress,4,10,400g raspberries,2 tbsp golden caster sugar,2 leaves gelatine,500ml double cream,a handful of leaves mint,100g caster sugar,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/raspberry-mousse-with-mint-biscuits/,100g butter,1 egg,225g plain flour,½ tsp baking powder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bourbon biscuits and rhubarb liqueur ice cream,NA,NA,NA,Chef recipes,"Serves 4
Easy
Total time : 1 hr
+ chilling + freezing",Check out this moreish recipe for homemade bourbon biscuits with creamy rhubarb liqueur ice cream. You’ll be left with extra biscuits and ice cream from this recipe but the biscuits will keep in an airtight box and the ice cream can be frozen for later,7,22,3 egg yolks,100g caster sugar,300ml double cream,250ml whole milk,¼ tsp vanilla extract,6 tbsp rhubarb liqueur (see notes below),Olive Magazine UK,https://www.olivemagazine.com/recipes/chef-recipes/bourbon-biscuits-and-rhubarb-liqueur-ice-cream/,100g butter,40g caster sugar plus 1 tbsp,10g soft light brown sugar,1 egg beaten,150g plain flour plus extra for dusting,50g cocoa powder,½ tsp baking powder,2 sticks rhubarb roughly chopped,2 tbsp caster sugar,½ lemon juiced,25g dark chocolate,50g butter,75g icing sugar,50g soft light brown sugar,1 tsp whole milk,10g cocoa powder,NA
Raspberry trifle fridge cake,Janine Ratcliffe,36,3,Baking and desserts,"Serves 12
Easy
Prep: 45 mins
Cook: 10 mins
plus chilling and overnight setting",All the flavours of trifle but in a layered no-bake cake. This is a great one to make ahead as it needs overnight setting,6,11,75g caster sugar,200g raspberries,4 tbsp cream sherry,30 trifle sponges,pack of raspberry jelly or raspberry jelly crystals,250g mascarpone,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/raspberry-trifle-fridge-cake/,2 tbsp instant custard,300g vanilla custard,300g double cream,1 tsp vanilla extract,2 tbsp icing sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maltesers cheesecake,Sarah Cook,5,24,Baking and desserts,"Serves 12
Easy
Total time : 1 hr
+ Overnight chilling","Crunchy Bourbon biscuit base and thick, silky chocolate topping – this indulgent dessert will become a family favourite",5,9,600g full-fat soft cheese,300g milk chocolate broken into chunks,1 tsp vanilla extract,2 tbsp malted milk powder (such as Horlicks),3 tbsp icing sugar,200ml double cream,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/maltesers-cheesecake/,200g bourbon biscuits,50g Maltesers (from a 102g pouch – use the rest to decorate),100g salted butter melted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas rocky road,Liberty Mendez,5,1,Baking and desserts,"Serves 16
Prep: 10 mins
Cook: 5 mins
plus cooling","Traditional digestives are swapped for ginger biscuits, whilst cranberries and pistachios add some festive colour in this crowd-pleasing Christmas rocky road",4,10,"150g salted butter cubed, plus extra for the tin ",200g dark chocolate roughly chopped,75g golden syrup,2 tsp mixed spice,2 oranges zested,200g ginger biscuits,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/christmas-rocky-road/,100g dried cranberries,100g pistachios roughly chopped,75g mini marshmallows,edible gold lustre (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Classic no-bake cheesecake,NA,5,1,Baking and desserts,"Serves 8
Easy
Prep: 10 mins
plus chilling",Choose fresh seasonal fruit to crown a layer of soft creamy vanilla on a crumbly biscuit base. This is a winning dessert that doesn't require any cooking,4,6,"140g unsalted butter melted, plus extra for the tin",300g digestive biscuits,900g full-fat soft cheese,200g golden caster sugar,1½ tsp vanilla extract,"strawberries and/or other seasonal fruit, to serve",Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/classic-no-bake-cheesecake/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vegan vanilla cheesecake,Linzi Pucino,5,1,Vegan,"Serves 8 - 10
Easy
Prep: 15 mins
plus chilling",Make this quick and easy vanilla cheesecake to share with friends and family – they'll never know it's vegan,3,8,"100g coconut oil melted, plus extra for the tin",300g vegan digestive biscuits,800g vegan soft cheese,175g soft light brown sugar,100g vegan vanilla yogurt alternative,1 tsp vanilla bean paste,Olive Magazine UK,https://www.olivemagazine.com/recipes/vegan/vegan-vanilla-cheesecake/,1 tbsp cornflour,100g mixed berries to serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhubarb and custard crumble bars,Nadine Brown,45,4,Baking and desserts,"Serves 8
Easy
Prep: 10 mins
Cook: 55 mins
plus chilling","The crumble topping adds crunch to the tangy rhubarb in this retro bake. Great for using up seasonal produce, the fruity bars are best served with a cup of tea",2,10,"200g unsalted butter melted, plus extra for the tin",175g caster sugar,250g plain flour,100g rolled oats,50g ground almonds,400g rhubarb trimmed and chopped into 2cm chunks,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/rhubarb-and-custard-crumble-bars/,50g light soft brown sugar,1 tbsp cornflour,300ml ready-made custard,2 tbsp flaked almonds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Double-dipped peanut biscuits,NA,NA,NA,Baking and desserts,"Makes 24
Easy
Total time : 1 hr
+ setting","Chocolate and peanut butter is a classic combination, and these double-dipped peanut biscuits really make the most of it. They're super easy to make and are a delicious sweet treat.",2,5,110g golden caster sugar,250g crunchy peanut butter,1 egg,100g white chocolate chopped,100g dark chocolate chopped,NA,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/double-dipped-peanut-biscuits/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gluten-free cheesecake,Tracey Raye,44,5,Baking and desserts,"Serves 8 - 10
Easy
Prep: 25 mins
2 hrs and 30 mins (chilling time)",You'd hardly guess this simple cheesecake is gluten-free – silky lemon with a crisp stem ginger base. It takes only 15 minutes to prep and doesn’t require cooking,3,6,170g gluten-free stem ginger biscuits,100g unsalted butter melted ,300ml double cream,100g icing sugar,250g cream cheese,2 lemons zested and juiced ,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/gluten-free-cheesecake/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cinnamon, pecan and apple crumble bars",Anna Glover,5,1,Baking and desserts,"Serves 8
Easy
Prep: 20 mins
Cook: 40 mins
plus cooling","Usher in autumn with moreish, cinnamon-infused crumble bars swirled with seasonal apple compote and studded with crunchy pecans",4,9,300g plain wholemeal or spelt flour,200g cold unsalted butter cubed,100g light brown soft sugar,50g chopped pecans,1 tsp ground cinnamon,1 tsp ground ginger,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/cinnamon-pecan-and-apple-crumble-bars/,"2 medium cooking apples peeled, cored and chopped",2 tbsp caster sugar,½ lemon juiced,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chocolate, meringue and walnut cookies",NA,NA,NA,Baking and desserts,"Makes 12
Easy
Total time : 40 mins
plus cooling","These dark and white chocolate cookies with walnut and meringue pieces are an easy afternoon treat, crisp on the outside and soft and gooey in the middle",6,12,125g butter very soft,100g golden caster sugar,50g soft light brown sugar,1 1/2 tsp vanilla extract,1 large egg,50g white chocolate melted,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/double-chocolate-walnut-meringue-cookies/,175g plain flour,1/2 tsp bicarbonate of soda,75g dark chocolate chunks or chips,50g walnuts roughly chopped,25g freeze-dried raspberry bits,25g mini meringues chopped into small chunks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate crinkle cookies,Edd Kimber,NA,NA,Baking and desserts,"Makes 20
Easy
Total time : 35 mins
plus chilling","This recipe from Edd Kimber makes some seriously good chocolate crinkle biscuits. With a rich, fudgy centre and sugar-dusted exterior, these dainty cookies make the perfect snack to enjoy with a cup of coffee",3,10,200g dark chocolate finely chopped,100g unsalted butter diced,100g caster sugar,150g light brown sugar,2 eggs,130g wholemeal rye flour,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/chocolate-rye-volcano-cookies/,50g cocoa powder,1 tsp baking soda,1/4 tsp salt,100g icing sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter blondies,Anna Glover,45,7,Recipes,"Makes 16
Easy
Total time : 55 mins","Chopped mini eggs make the perfect topping for these gooey, sweet blondies – because you can never have too much chocolate at Easter",4,6,"200g unsalted butter diced, plus extra for the tin",200g white chocolate roughly chopped,400g soft light brown sugar,4 eggs,150g plain flour,150g mini chocolate eggs chopped,Olive Magazine UK,https://www.olivemagazine.com/recipes/easter-blondies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biscoff pancakes,Adam Bush,5,8,Family,"Serves 4
Easy
Total time : 35 mins","Ever thought of swirling Biscoff through your next batch of pancakes? Give it a whirl for an indulgent brunch dish, served with a Biscoff drizzle and banana",3,11,25g butter plus extra for cooking,60g Biscoff biscuit spread,200g self-raising flour,1½ tsp baking powder,1 tbsp golden caster sugar,3 large eggs,Olive Magazine UK,https://www.olivemagazine.com/recipes/family/biscoff-pancakes/,175ml milk,80g Biscoff biscuit spread,3 tbsp whole milk,1 banana sliced,a handful (about 30g) pecans toasted and chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-minute berry dessert,Lulu Grimes,5,1,Baking and desserts,"Serves 4
Easy
Prep: 5 mins
Cook: 5 mins",Use up frozen berries to create this simple berry pudding – serve with ginger biscuits for an easy dessert at your next get-together,4,6,300-350g mixed frozen berries,2 tbsp caster sugar,8 tbsp Greek yogurt,6 tbsp double cream,½ tbsp soft light brown sugar,ginger biscuits to serve ,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/10-minute-berry-dessert/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barazek shortbreads (Black and white sesame and pistachio biscuits),NA,NA,NA,Baking and desserts,"Makes 15 large shortbreads
Easy","Barazek cookies or biscuits are thin, crispy and usually come with sesame and pistachios. They're easy-to-make and are traditionally served as sweet treats in Syrian bakeries",3,10,300g wholemeal flour,75g caster sugar,25g light brown sugar,a pinch of sea salt,a pinch of vanilla,250g very cold unsalted butter cubed,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/barazek-shortbreads-black-and-white-sesame-and-pistachio-biscuits/,1 egg yolk,1 egg white,a handful pistachios crushed,"a handful black and white sesame seeds toasted lightly in a hot saucepan for 2 minutes, or until starting to pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lime cheesecake,Adam Bush,42,9,Baking and desserts,"Serves 8 - 10
Easy
Prep: 25 mins
plus 3 hrs 30 mins chilling","This cheesecake balances the silky, creaminess of its filling with zingy lime for a light and fresh dessert",2,6,200g digestive biscuits,100g unsalted butter melted,500g soft cheese,100g icing sugar,"3 key or regular limes zested and juiced, plus 1 to serve",250g double cream,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/lime-cheesecake/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barwheys savoury biscuits,NA,NA,NA,Entertain,"Makes 30
Easy
Total time : 25 mins
plus chilling",These crunchy cheese biscuits would go perfectly with our new-style cheeseboard. Search for our expert cheese guide under the guide section of olivemagazine.com to learn more,4,5,100g plain flour plus extra for dusting,100g Barwheys grated,"100g unsalted butter cold, cut into chunks",1 tsp onion seeds,1/2 tsp paprika,NA,Olive Magazine UK,https://www.olivemagazine.com/recipes/entertain/barwheys-savoury-biscuits/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Espresso martini cheesecake,Anna Glover,5,3,Baking and desserts,"Serves 15
Easy
Total time : 45 mins
+ chilling","Make this bittersweet cheesecake when entertaining a crowd – it can be prepared a few days ahead, then simply pour over the boozy coffee syrup to serve",6,16,250g Lotus Biscoff biscuits whizzed or bashed to crumbs,125g unsalted butter melted,600g soft cheese,250g mascarpone,120g icing sugar sifted,2 tsp vanilla bean paste,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/espresso-martini-cheesecake/,600ml double cream,85g cocoa powder sifted,50g chocolate spread (such as Nutella) stirred or warmed to loosen,1 tbsp espresso powder,1 tbsp coffee liqueur,chocolate-covered coffee beans to serve,100g golden caster sugar,4 tbsp coffee liqueur,4 tbsp vodka,1 tbsp espresso powder,NA,NA,NA,NA,NA,NA,NA
Street cart soft pretzels,Yasmin Newman,5,1,Baking and desserts,"Serves 6
Easy
Prep: 30 mins
Cook: 20 mins
plus rising and proving","Soft yet slightly chewy, with a dark golden skin from being boiled before baking, these pretzels are slow-fermented for a richly flavoured dough. Finish with fat crystals of salt",6,8,2 tsp fast-action dried yeast,2 tbsp dark brown sugar,600g strong bread flour plus extra for dusting,"50g unsalted butter melted, plus extra for the bowl",2 tsp fine sea salt,70g bicarbonate of soda,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/street-cart-soft-pretzels/,1 egg lightly beaten,sea salt flakes for sprinkling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jam tarts,NA,5,2,Family,"Makes 24
A little effort
Total time : 1 hr",These jam tarts are a perfect tea-time recipe for the whole family. Recruit the kids to help you dolloping jam into the delicate pastry cases.,2,6,400g flour,200g butter chilled and diced,50g golden caster sugar,2 egg yolks,1 orange grated rind,jam,Olive Magazine UK,https://www.olivemagazine.com/recipes/family/jam-tarts/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chunky chocolate chip cookies,NA,NA,NA,Family,"Makes about 18 cookies
Easy
Total time : 1 hr",Our best ever cookie recipe with chunks of dark chocolate and walnut. Porridge oats give the cookie a soft and chewy texture that everyone will love.,2,12,100g plain flour,¼ tsp bicarbonate of soda,¼ tsp baking powder,¼ tsp salt,125g unsalted butter,175g soft brown sugar,Olive Magazine UK,https://www.olivemagazine.com/recipes/family/chunky-chocolate-chip-cookies/,25g caster sugar,1 egg,1 tsp vanilla extract,50g walnuts chopped,175g porridge oats,50g dark chocolate chopped into small chunks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cannoli,Anna Glover,5,4,Baking and desserts,"Makes 12
Easy
Total time : 1 hr
+ resting and chilling",Nothing beats this classic Italian sweet treat with a shot of espresso. You will need cannoli moulds for this recipe but it’s worth investing in them,7,14,150g plain flour,25g caster sugar,a pinch baking powder,a pinch ground cinnamon,½ lemon zested,30g butter melted,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/cannoli/,1 egg separated ,2 tbsp marsala wine,sunflower oil for deep frying,250g ricotta,3 tbsp icing sugar,100g mascarpone,1 orange or lemon zested,30g pistachios finely chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter cheesecake,Anna Glover,5,4,Baking and desserts,"8
A little effort
Total time : 1 hr
+ cooling and chilling","Celebrate Easter with our decadent chocolate cheesecake, topped with a show-stopping combination of crushed biscuits and chocolate eggs",3,14,200g milk chocolate chopped,360g full-fat soft cheese at room temperature,150g caster sugar,2 large eggs at room temperature,150g soured cream at room temperature,3 tbsp malted milk powder,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/easter-cheesecake/,1 tbsp cocoa powder plus extra for dusting,chocolate shavings to serve,20g Maltesers bashed,20g malted milk biscuits broken into pieces,40g small chocolate eggs or other treats,250g malted milk biscuits,"100g butter melted, plus extra for the tin",1 tbsp malted milk powder,NA,NA,NA,NA,NA,NA,NA,NA,NA
Double chocolate Toblerone cookies,Janine Ratcliffe,NA,NA,Baking and desserts,"Makes 16
Easy
Total time : 30 mins
+ chilling",No one will be able to resist these chunky double chocolate Toblerone cookies. They're super quick to make and perfect for a special treat,4,10,2 x 100g bars dark chocolate Toblerones,100g dark chocolate chopped,50g unsalted butter softened,100g soft light brown sugar,1 egg beaten,1 tsp vanilla extract,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/double-chocolate-toblerone-cookies/,100g plain flour,1 tsp baking powder,50g ground almonds,1 tbsp whole milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biscoff ice cream,Helena Busiakiewicz,4,1,Baking and desserts,"Serves 8 - 10
Easy
Prep: 10 mins
plus freezing time","This no-churn, four ingredient Biscoff and espresso ice cream is perfect if you’ve got guests coming over, as it can be prepared in advance",3,5,6 tbsp Biscoff spread plus extra to serve,600ml double cream,345g tin condensed milk,50ml espresso cooled,Biscoff biscuits to serve,NA,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/biscoff-and-coffee-ice-cream/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Millionaire's shortbread,Anna Glover,5,5,Baking and desserts,"Makes 20 squares
Easy
Total time : 1 hr
+ Chilling","This classic millionaire's shortbread is the perfect trio of buttery shortbread, gooey caramel and thick, sweet chocolate. It's easier than you think to make- try it today!",3,8,200g milk or dark chocolate chopped,200g cold butter cubed plus more for the tin,275g plain flour,100g caster sugar,397g can condensed milk,150g soft light brown sugar,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/classic-millionaires-shortbread/,150g butter,½ tsp sea salt flakes plus a pinch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White chocolate peppermint flødeboller,Edd Kimber,5,1,Entertain,"Makes 20
A little effort
Total time : 2 hrs and 10 mins
+ chilling + freezing","Flødeboller are a popular Danish Christmas market treat featuring a chocolate-covered meringue centre with biscuit, wafer or marzipan base. Try our wintry version, made with a crisp chocolate biscuit base, peppermint meringue filling and a white chocolate shell",6,12,135g plain flour plus extra for dusting,20g cocoa powder,¼ tsp bicarbonate of soda,100g Kerrygold Pure Irish Salted Butter softened,65g caster sugar,65g soft light brown sugar,Olive Magazine UK,https://www.olivemagazine.com/recipes/entertain/white-chocolate-peppermint-flodeboller/,4 egg whites,320g caster sugar,¾ tsp peppermint extract,400g white chocolate,35ml coconut oil,"candy canes, crushed into small pieces for decoration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caramelised white chocolate cookies,NA,NA,NA,Baking and desserts,"Makes about 20
A little effort
Total time : 1 hr and 15 mins","How do you make a classic cookie better? By studding it with caramelised white chocolate, that's how. These moreish golden white chocolate chip cookies are perfect for an afternoon treat",5,8,(30% cocoa butter or higher) 100g white chocolate roughly chopped,150g butter at room temperature,100g golden caster sugar,50g light muscovado sugar,1 egg,1 tsp vanilla extract,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/caramelised-white-chocolate-cookies/,1 tbsp milk,220g self-raising flour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banoffee fridge cake,Janine Ratcliffe,48,5,Baking and desserts,"Serves 12
Easy
Total time : 30 mins
+ Overnight setting","Everyone knows banoffee pie tastes even better the day after making, when all the flavours have had a chance to meld, so this easy fridge cake takes advantage of that",7,8,oil for the tin,750ml double cream,1 tsp vanilla extract,2 tbsp icing sugar,½ x 397g tin Nestlé Carnation Caramel,30-32 (about 450g) digestive biscuits,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/banoffee-fridge-cake/,6 small bananas sliced,50g milk chocolate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fig jam,Linzi Pucino,5,1,Family,"Makes 3-4 jars (approx 800ml jam)
A little effort
Prep: 15 mins
Cook: 45 mins
plus cooling","These delicious fruits are perfect in jam and taste great on buttered toast. Try swirling through porridge and serving as part of a cheeseboard, too",5,5,1kg ripe figs,1 orange zested and juiced,4 cardamom pods lightly bashed,2 star anise,450g granulated sugar,NA,Olive Magazine UK,https://www.olivemagazine.com/recipes/family/fig-jam/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate cherry cookies,NA,NA,NA,Baking and desserts,"Makes 25-30
A little effort
Total time : 30 mins
+ chilling","These cookies are inspired by the Australian Cherry Ripe chocolate bar – chewy coconut and glacé cherries covered in dark chocolate. Here you’ll find the same flavours, just in cookie form.",3,11,225g dark chocolate chopped,125g unsalted butter softened,200g soft light brown sugar,2 eggs beaten,1 tsp vanilla extract,150g plain flour,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/chocolate-cherry-cookies/,2 tsp baking powder,dessicated coconut 100g,150g natural coloured glacé cherries dried and chopped,2 tbsp whole milk,6 tbsp  icing sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Almond tart,Lorcan Spiteri,5,1,Baking and desserts,"Serves 4
A little effort
Total time : 35 mins","This decadent almond tart, with caramelised banana and maple syrup, comes straight from the kitchens of London's Caravel restaurant",5,12,320g ready-rolled puff pastry,2 egg yolks (keep the whites for meringues and cocktails),4 bananas,unsalted butter,8 tbsp maple syrup,300ml double cream whipped,Olive Magazine UK,https://www.olivemagazine.com/recipes/baking-and-desserts/almond-tart/,toasted flaked almonds,20g icing sugar,100g unsalted butter softened,100g caster sugar,2 eggs,100g ground almonds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
