title,author,rating,ratingnum,preptime,cooktime,totaltime,servings,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24
Pie Crust Cookies,Julie Clark,5, 1 ,15 minutes,10 minutes,25 minutes,24,7,3 cups all-purpose flour 390 grams,1/2 teaspoon salt,1/2 cup shortening,1/2 cup cold unsalted butter,1/2 cup ice cold water,1 tablespoon white vinegar,granulated sugar and cinnamon for sprinkling on the top,Tastes of Lizzy T,https://www.tastesoflizzyt.com/pie-crust-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Old Fashioned Pecan Tassies,Julie Clark,4.64, 30 ,30 minutes,18 minutes,48 minutes,36,10,For the crust:,3/4 cup salted butter room temperature,5 ounces cream cheese room temperature,1 1/2 cups all-purpose flour▢For the filling:,1 ½ cups dark brown sugar,2 tablespoons salted butter melted,2 large eggs,Tastes of Lizzy T,https://www.tastesoflizzyt.com/pecan-tassies/,½ teaspoon maple extract,½ cup finely chopped pecans▢For topping:,36 pecan halves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Cookies with Icing,Julie Clark,4.75, 8 ,20 minutes,10 minutes,30 minutes,31,15,For the cookies:,1 cup packed brown sugar,1 cup unsalted butter* room temperature,1 large egg,1 cup solid pack pumpkin purée,2 cups all-purpose flour,1 teaspoon baking soda,Tastes of Lizzy T,https://www.tastesoflizzyt.com/pumpkin-cookies/,1 teaspoon baking powder,½ teaspoon salt,1 teaspoon cinnamon,1 teaspoon pumpkin pie spice▢For the frosting:,2 tablespoons unsalted butter melted,2-3 tablespoons 2% milk,1 teaspoon vanilla extract,1 1/2 cups powdered sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Oatmeal Chocolate Chip Bars,Julie Clark,NA,NA,15 minutes,30 minutes,45 minutes,18,15,1 cup salted butter room temperature,1 3/4 cups light brown sugar,½ cup solid pack pumpkin puree,1 tablespoon molasses,1 teaspoon vanilla extract,2 1/2 cups all-purpose flour,1 ½ tablespoons pumpkin pie spice,Tastes of Lizzy T,https://www.tastesoflizzyt.com/pumpkin-oatmeal-chocolate-chip-bars/,1 teaspoon salt,1 teaspoon baking soda,1 teaspoon baking powder,1 1/2 cups quick cook oats,1 cup dark chocolate chips,1 cup Nestle pumpkin spice baking chips,Extra baking chips for topping,Flaky sea salt for topping,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Spice Chocolate Chip Cookies,Julie Clark,NA,NA,10 minutes,20 minutes,30 minutes,27,12,1 cup salted butter,1 cup light brown sugar,¼ cup pumpkin puree,1 tablespoon molasses,2 teaspoons vanilla extract,2 1/2 cups all-purpose flour*,1 tablespoon pumpkin pie spice,Tastes of Lizzy T,https://www.tastesoflizzyt.com/pumpkin-spice-chocolate-chip-cookies/,1/2 tablespoon cornstarch,1 teaspoon baking soda,1/4 teaspoon salt**,1 cup dark chocolate chips,1 cup Nestle pumpkin spice baking chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas Sheet Cake Cookies,Julie Clark,NA,NA,15 minutes,10 minutes,35 minutes,12,16,For the Cookies:,1/2 cup unsalted butter,1/4 cup unsweetened cocoa powder,3/4 cup granulated sugar,1 large egg,1 teaspoon pure vanilla extract,1/4 cup sour cream,Tastes of Lizzy T,https://www.tastesoflizzyt.com/texas-sheet-cake-cookies/,1 cup all-purpose flour,1/2 teaspoon baking soda,1/4 teaspoon salt▢For the Ganache Topping:,1/2 cup semi-sweet chocolate chips,2 tablespoons unsalted butter,1/2 cup heavy cream,1/2 teaspoon pure vanilla extract,Pinch of salt,"1/4 chopped pecans toasted, or walnuts",NA,NA,NA,NA,NA,NA,NA,NA
Buckeye Brownie Cookies,Julie Clark,4.61, 224 ,30 minutes,12 minutes,42 minutes,24,7,1 box fudge brownie mix (19.5 ounce or family size),1/4 cup salted butter melted,4 ounces cream cheese softened,1 large egg,1 cup powdered sugar,1 cup creamy peanut butter,4 ounces dark chocolate melting wafers or dark / semi-sweet chocolate chips,Tastes of Lizzy T,https://www.tastesoflizzyt.com/buckeye-brownie-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sheet Pan Cookies,Julie Clark,5, 2 ,10 minutes,20 minutes,30 minutes,32,9,1 1/2 cups salted butter melted,1 cup granulated sugar,1 cup packed brown sugar,2 teaspoons vanilla extract,3 large eggs,3 1/3 cups all-purpose flour,2 teaspoons baking soda,Tastes of Lizzy T,https://www.tastesoflizzyt.com/sheet-pan-cookies/,1 teaspoon salt,3 cups semi-sweet chocolate chips plus extra for topping if desired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Chocolate Chip Bars,Julie Clark,5, 4 ,15 minutes,30 minutes,45 minutes,18,11,1 cup salted butter room temperature,2 1/3 cups light brown sugar,2 large eggs,1 teaspoon vanilla extract,2 1/2 cups all-purpose flour,1 teaspoon salt,1 teaspoon baking soda,Tastes of Lizzy T,https://www.tastesoflizzyt.com/oatmeal-chocolate-chip-bars/,1 teaspoon baking powder,1 1/2 cups quick cook oats,2 cups mini chocolate chips,¼ cup semi-sweet chocolate chips for topping,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Monster Cookies,Julie Clark,4.82, 16 ,20 minutes,10 minutes,30 minutes,72,11,1 cup salted butter room temperature,2 cups granulated sugar,2 cups light brown sugar,3 cups peanut butter,6 large eggs,1 1/2 teaspoons corn syrup,1 1/2 teaspoons vanilla extract,Tastes of Lizzy T,https://www.tastesoflizzyt.com/peanut-butter-mm-monster-cookies/,4 teaspoons baking soda,9 cups quick cook oats,2 cups Peanut Butter M&M’s,2 cups semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mocha Chocolate Chip Cookies,Julie Clark,4.41, 5 ,15 minutes,10 minutes,55 minutes,27,12,1 cup salted butter room temperature,3/4 cup brown sugar,3/4 cup granulated sugar,2 large eggs,2 teaspoons vanilla extract,2 1/2 cups all-purpose flour,2 tablespoons espresso powder,Tastes of Lizzy T,https://www.tastesoflizzyt.com/mocha-chocolate-chip-cookies/,1 teaspoon baking soda,1 teaspoon salt,¼ teaspoon ground cinnamon,2 cups dark chocolate chunks,chocolate covered coffee beans for topping,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coffee Toffee Cookies,Julie Clark,5, 2 ,15 minutes,11 minutes,26 minutes,26,13,1 cup salted butter room temperature,¾ cup granulated sugar,¾ cup brown sugar,2 large eggs,2 teaspoons vanilla extract,2 ¼ cups all-purpose flour,⅔ cup unsweetened cocoa powder*,Tastes of Lizzy T,https://www.tastesoflizzyt.com/coffee-toffee-cookies/,2 tablespoons espresso powder,¾ teaspoon baking soda,¼ teaspoon salt,"8 Heath toffee bars chopped, 1.4 ounces each","1 dark chocolate bar chopped, 5.29 ounces▢For topping the cookies:","2 Heath toffee bars chopped, 1.4 ounces each",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birthday Cookies,Julie Clark,NA,NA,15 minutes,10 minutes,25 minutes,30,12,2 1/2 cups all-purpose flour 325 grams,2 teaspoons baking powder 10 grams,1 teaspoon salt 6 grams,1 tablespoon cornstarch 8 grams,"1 cup unsalted butter room temperature, 8 ounces",¾ cup granulated sugar 150 grams,½ cup brown sugar 105 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/birthday-cookies/,½ teaspoon vanilla extract 5 grams,1 large egg,1 large egg yolk,1 cup rainbow chips 170 grams,½ cup sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shortbread Cookie Recipe,Julie Clark,5, 1 ,15 minutes,20 minutes,5 minutes,32,5,"1 cup salted butter room temperature, 8 ounces",1/2 cup powdered sugar 65 grams,2 teaspoons vanilla or almond extract 10 grams,1 1/2 cups all-purpose flour 195 grams,1/2 cup cornstarch 65 grams,NA,NA,Tastes of Lizzy T,https://www.tastesoflizzyt.com/shortbread-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yellow Cake Mix Cookies,Julie Clark,5, 2 ,5 minutes,9 minutes,14 minutes,21,5,1 box yellow cake mix 15.25 oz box,2 large eggs room temperature,1/2 cup vegetable oil 4 ounces,3/4 cup chocolate chips,3/4 cup mini M&Ms,NA,NA,Tastes of Lizzy T,https://www.tastesoflizzyt.com/yellow-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caramel Cashew Cookies,Julie Clark,5, 5 ,20 minutes,20 minutes,40 minutes,40,13,For the Cookies:,1 cup powdered sugar,1 cup softened butter,2 teaspoons 2% milk,1 large egg yolk (use white for something else),2 cups all-purpose flour,1/4 cup cornstarch,Tastes of Lizzy T,https://www.tastesoflizzyt.com/cashew-thumbprint-cookies/,1 cup cashews (finely chopped)▢For the Caramel Filling:,3/4 cups brown sugar,2 tablespoons butter,3 tablespoons 2% milk,1/2 teaspoon vanilla extract,3/4 cup powdered sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Velvet Bisquick Cookies,Julie Clark,4.67, 3 ,20 minutes,8 minutes,28 minutes,18,8,1/2 cup unsalted butter at room temperature,1 cup light brown sugar,2 teaspoons vanilla extract,1 large egg,1 ¾ cup Bisquick mix,¼ cup unsweetened cocoa powder (not Dutch processed),Red or pink food coloring gels,Tastes of Lizzy T,https://www.tastesoflizzyt.com/red-velvet-cookies/,1 cup white chocolate chips (divided),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Sandwich Cookies,Julie Clark,4.52, 37 ,15 minutes,6 minutes,21 minutes,60,13,1 cup salted butter room temperature,1 cup creamy peanut butter,1 cup granulated sugar,1 cup packed brown sugar,1 teaspoon vanilla extract,3 large eggs,4 cups all-purpose flour lightly spooned and leveled,Tastes of Lizzy T,https://www.tastesoflizzyt.com/peanut-butter-sandwich-cookies/,2 teaspoons baking soda,1/4 teaspoon salt▢For the filling:,1/2 cup creamy peanut butter,3 cups powdered sugar,1 teaspoon vanilla extract,5-6 tablespoons 2% milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pillsbury Sugar Cookie Recipe,Julie Clark,4.63, 231 ,15 minutes,8 minutes,23 minutes,36,8,"1 cup salted butter room temperature, 8 ounces",1 1/2 cups granulated sugar 300 grams,1 large egg,1 teaspoon vanilla extract 4 grams,2 3/4 cups all-purpose flour 358 grams,1 teaspoon baking soda 6 grams,1/2 teaspoon baking powder 2 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/chewy-sugar-cookies/,3-4 tablespoons buttermilk divided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Blossoms,Julie Clark,4.73, 79 ,20 minutes,8 minutes,28 minutes,60,11,"1 cup salted butter room temperature, 8 ounces",1 cup creamy peanut butter 250 grams,1 cup granulated sugar 200 grams,1 cup light brown sugar 210 grams,1 teaspoon vanilla extract 5 grams,3 large eggs,4 cups all-purpose flour 520 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/peanut-butter-blossoms/,2 teaspoons baking soda 12 grams,1/4 teaspoon salt,1/2 cup granulated sugar for rolling,60 Hershey Kiss candies (unwrapped),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Sandwich Cookies,Julie Clark,5, 4 ,30 minutes,11 minutes,41 minutes,20,14,1 cup unsalted butter room temperature,1 cup brown sugar,1/2 cup plus 1 tablespoon white sugar,2 large eggs,1 teaspoon vanilla extract,2 1/4 cups all-purpose flour,3/4 cup cocoa powder,Tastes of Lizzy T,https://www.tastesoflizzyt.com/chocolate-sandwich-cookies-recipe/,3/4 teaspoon salt,2 teaspoons baking powder,2 cups chocolate chips▢For the Filling,6 tablespoons unsalted butter room temperature,3 cups powdered sugar,2 tablespoons milk,1/2 teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Cut Out Cookies,Julie Clark,4.65, 54 ,20 minutes,9 minutes,14 minutes,27,11,1/2 cup creamy peanut butter 125 grams,6 tablespoons salted butter room temperature,1/2 cup brown sugar 110 grams,1/3 cup light corn syrup 113 grams,1 large egg,"2 cups all-purpose flour divided, 260 grams",1 1/2 teaspoons baking powder 6 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/peanut-butter-cut-out-cookies-recipe/,1/8 teaspoon salt▢Optional Ganache:,1/2 cup heavy whipping cream 4 ounces,1 1/4 cups semi-sweet chocolate chips,sprinkles if desired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cream Cheese Sugar Cookies,Julie Clark,4.64, 531 ,25 minutes,8 minutes,33 minutes,24,13,Dough,"1 cup salted butter room temperature, 8 ounces",8 ounces full fat cream cheese room temperature,1 1/2 cup granulated sugar 300 grams,1 large egg,1 teaspoon vanilla extract 5 grams,1/2 teaspoon almond extract 2 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/cream-cheese-sugar-cookies/,3 1/2 cups all-purpose flour 455 grams,1 teaspoon baking powder 4 grams▢Frosting,2 cups powdered sugar 260 grams,2 tablespoons soft butter 28 grams,1/4 teaspoon almond extract,Milk to desired consistency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreo Chocolate Chip Cookies,Julie Clark,5, 6 ,15 minutes,11 minutes,56 minutes,32,11,"1 cup salted butter 8 ounces, room temperature",3/4 cup brown sugar 150 grams,3/4 cup granulated sugar 150 grams,2 large eggs,2 teaspoons vanilla extract 10 grams,2 1/2 cups all-purpose flour 325 grams,1 teaspoon baking soda 5 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/oreo-chocolate-chip-cookies/,1 teaspoon salt 6 grams,20 Oreo cookies divided,1 1/2 cups semi-sweet chocolate chips,Oreo quarters and semi-sweet chocolate chips for optional toppings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Double Chocolate M&M Cookies,Julie Clark,4.64, 65 ,10 minutes,10 minutes,20 minutes,26,10,1 cup salted butter (room temperature) 8 ounces,3/4 cup granulated sugar 150 grams,3/4 cup brown sugar 155 grams,2 large eggs,2 teaspoons vanilla extract 10 grams,2 cups all-purpose flour 260 grams,2/3 cup unsweetened cocoa powder 60 grams*,Tastes of Lizzy T,https://www.tastesoflizzyt.com/double-chocolate-mm-cookies/,3/4 teaspoon baking soda 3 grams,1/4 teaspoon salt,2 cups M&M chocolate candies mini m&ms or regular size candies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberry Cookies,Julie Clark,4.77, 38 ,20 minutes,11 minutes,31 minutes,24,10,For the cookies:,1 box Duncan Hines white cake mix 15.25 ounces,1 small box strawberry jello 3 ounces,1/4 cup salted butter softened,4 ounces cream cheese softened,1 large egg▢For the frosting:,1/4 cup salted butter softened,Tastes of Lizzy T,https://www.tastesoflizzyt.com/strawberries-and-cream-cookies/,1/2 cup dehydrated strawberry powder Less than 1 ounce dehydrated strawberries,1 cup powdered sugar,1/4 cup heavy cream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toffee Cookies with Chocolate Chips,Julie Clark,5, 22 ,15 minutes,10 minutes,55 minutes,36,11,"1 cup salted butter 8 ounces, room temperature",3/4 cup brown sugar 155 grams,3/4 cup granulated sugar 150 grams,2 large eggs,2 1/2 cups all-purpose flour 325 grams,1 teaspoon baking soda 5 grams,1 teaspoon salt 6 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/toffee-cookies/,1 teaspoon vanilla extract 5 grams,1 1/2 cups chocolate chips,8 ounces toffee bits divided,flaky sea salt for topping,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caramel Millionaire Bars,Julie Clark,4.77, 30 ,15 minutes,45 minutes,15 minutes,16,15,For the cookie layer:,2 ¼ cups unbleached all purpose flour,1 cup salted butter (room temperature),1 teaspoon pure vanilla extract,½ cup granulated sugar▢For the caramel layer:,14 ounces sweetened condensed milk,1/2 cup salted butter,Tastes of Lizzy T,https://www.tastesoflizzyt.com/caramel-millionaire-bars/,½ cup brown sugar,3 tablespoons light corn syrup,1 ½ teaspoons pure vanilla extract,½ teaspoon quality salt▢For the chocolate layer:,2 cups milk chocolate chips,½ cup heavy cream,½ to 1 teaspoon pure vanilla extract,quality finishing salt (to sprinkle on top),NA,NA,NA,NA,NA,NA,NA,NA,NA
Carrot Cookies Recipe,Julie Clark,4.41, 10 ,15 minutes,13 minutes,NA,24,15,For the cookies:,"2 1/4 cups all-purpose flour spooned and leveled, 293 grams",2 teaspoons cinnamon,1 1/2 teaspoons baking powder,1/2 teaspoon baking soda,1/4 teaspoon salt,"3/4 cup unsalted butter room temperature, 6 ounces",Tastes of Lizzy T,https://www.tastesoflizzyt.com/carrot-cookies-recipe/,"2/3 cup light brown sugar packed, 155 grams",1 large egg room temperature,2 teaspoons vanilla extract,3/4 cup finely grated carrots*▢For the cream cheese frosting:,4 ounces cream cheese room temperature,"1/4 cup unsalted butter room temperature, 2 ounces",1 cup powdered sugar 130 grams▢For the topping:,1/2 cup crushed walnuts or pecans,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Oatmeal Cookies,Julie Clark,4.86, 14 ,15 minutes,9 minutes,NA,24,15,"1/2 cup salted butter room temperature, 4 ounces",1 cup peanut butter 250 grams,1/2 cup granulated sugar 100 grams,1/4 cup brown sugar 60 grams,1 large egg,1 teaspoons vanilla extract 4 grams,3/4 cup all-purpose flour 98 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/peanut-butter-oatmeal-cookies/,1/2 cup quick cooking oats 53 grams,1/2 teaspoon baking soda 2 grams,1/2 teaspoon baking powder 2 grams,dash of salt▢Optional Ingredients:,½ cup chopped peanuts,1 teaspoon cinnamon,¼ teaspoon cloves,¼ teaspoon nutmeg,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Sugar Cookie Icing,Julie Clark,4.34, 9 ,5 minutes,NA,5 minutes,20,4,4 cups powdered sugar 520 grams,3 tablespoons corn syrup 60 grams,1 teaspoon LorAnn Princess cake & cookie emulsion (or vanilla extract) 5 grams,5-6 tablespoons 2% milk divided,NA,NA,NA,Tastes of Lizzy T,https://www.tastesoflizzyt.com/easy-sugar-cookie-icing/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cherry Wink Cookies,Julie Clark,4.72, 7 ,15 minutes,9 minutes,24 minutes,36,14,2 ¼ cups all-purpose flour 293 grams,1 teaspoon baking powder,½ teaspoon baking soda,½ teaspoon salt,"¾ cups salted butter room temperature, 6 ounces",1 cup granulated sugar 200 grams,2 large eggs,Tastes of Lizzy T,https://www.tastesoflizzyt.com/cherry-wink-cookies/,2 tablespoons 2% milk,1 teaspoon vanilla extract or almond extract,1 cup finely chopped pecans 111 grams,1 cup finely chopped dates 140 grams,⅓ cup finely chopped maraschino cherries▢For topping:,2 ⅔ cups corn flakes crushed,15 maraschino cherries cut in half,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Old Fashioned Peanut Butter Cookies,Julie Clark,4.75, 24 ,15 minutes,9 minutes,24 minutes,36,11,"1 cup unsalted butter room temperature, 8 ounces",2 cups creamy peanut butter 500 grams,1 cup granulated sugar 200 grams,1 cup packed brown sugar 220 grams,2 large eggs,2 teaspoons vanilla extract 9 grams,2 ½ cups all-purpose flour 325 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/old-fashioned-peanut-butter-cookies/,1 ½ teaspoons baking soda 9 grams,1 teaspoon baking powder 5 grams,½ teaspoon salt 4 grams▢Optional:,coarse sugar for topping,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Snickerdoodle Cookies,Julie Clark,4.68, 25 ,15 minutes,8 minutes,NA,30,10,For the cookies:,1 cup shortening 185 grams,1 ½ cups granulated sugar 300 grams,2 large eggs,2 ¾ cups all-purpose flour 358 grams,2 teaspoons cream of tartar 8 grams,1 teaspoon baking soda 7 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/easy-snickerdoodle-cookies/,½ teaspoon salt 1 gram▢For rolling:,¼ cup granulated sugar,2 tablespoons cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
