title,author,rating,ratingnum,preptime,cooktime,totaltime,servings,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24
Cranberry Shortbread Cookies,Julie Clark,4.70, 10 ,15 minutes,NA,NA,28,7,"1 cup salted butter (softened, but not melted)",½ cup powdered sugar,2 teaspoons vanilla extract,1 ½ cups all-purpose flour,½ cup corn starch,½ cup finely chopped dried cranberries,½ cup white chocolate chips,Tastes of Lizzy T,https://www.tastesoflizzyt.com/cranberry-shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patriotic Pinwheel Cookies,Julie Clark,4.72, 7 ,20 minutes,10 minutes,NA,24,9,1 1/2 cups all-purpose flour,1/4 teaspoon baking powder,1/4 teaspoon salt,1/2 cup butter room temperature (1 stick),2/3 cup sugar,1 large egg,1 teaspoon vanilla extract,Tastes of Lizzy T,https://www.tastesoflizzyt.com/patriotic-pinwheel-cookies/,Red food coloring,Blue food coloring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cool Whip Cookies,Julie Clark,4.63, 407 ,10 minutes,7 minutes,17 minutes,20,4,1 box lemon cake mix (15.25 ounces or a traditional 9×13 box cake mix),2 cups frozen whipped topping (thawed),1 large egg▢To roll the cookies:,1/2 cup powdered sugar,NA,NA,NA,Tastes of Lizzy T,https://www.tastesoflizzyt.com/lemon-cool-whip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Peanut Butter Cookies,Julie Clark,4.92, 12 ,10 minutes,8 minutes,18 minutes,24,4,1 cup creamy peanut butter,1 cup firmly packed brown sugar,1 large egg,1 teaspoon baking soda,NA,NA,NA,Tastes of Lizzy T,https://www.tastesoflizzyt.com/simple-peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starbucks Confetti Cookies,Julie Clark,4.38, 29 ,10 minutes,25 minutes,35 minutes,24,11,For the cookies:,2 3/4 cups all purpose flour 357 grams,1 teaspoon baking soda 6 grams,1/2 teaspoon baking powder 2 grams,1 cup salted butter (room temperature) 8 ounces,1 cup granulated sugar 200 grams,1 large egg,Tastes of Lizzy T,https://www.tastesoflizzyt.com/confetti-sugar-cookies/,3/4 teaspoon LorAnn Princess Cake & Cookie Bakery Emulsion 5 grams,1/2 cup coarse colored sugar crystals▢For topping:,8 ounces white chocolate bar or melting wafers (for dipping),3 tablespoons coarse colored sugar crystals (for sprinkling on top),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Key Lime Cookies,Julie Clark,4.56, 106 ,15 minutes,9 minutes,24 minutes,17,15,For the Cookies:,1 1/2 cup all purpose flour 195 grams,1/2 teaspoon baking soda 3 grams,1/2 teaspoon salt 4 grams,1/2 cup unsalted butter (room temperature) 4 ounces,1/4 cup granulated sugar 50 grams,1/4 cup light brown sugar 50 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/key-lime-sugar-cookies/,1 large egg,1/2 teaspoon vanilla extract,1 teaspoon key lime zest (or zest of 1 key lime),2 1/2 tablespoons key lime juice,1/2 cup white chocolate chips 90 grams▢For the Lime Glaze:,3/4 cup powdered sugar 86 grams,1 – 1 1/2 tablespoons key lime juice,Zest from a lime to sprinkle on top,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Meringue Cookies,Julie Clark,4.67, 3 ,10 minutes,NA,55 minutes,40,5,4 large egg whites (at room temperature),¼ teaspoon lemon juice,1 cup granulated sugar,Green gel food coloring,Golden sprinkles,NA,NA,Tastes of Lizzy T,https://www.tastesoflizzyt.com/st-patricks-day-meringue-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Madeleine Cookies,Julie Clark,4.84, 6 ,20 minutes,10 minutes,30 minutes,24,8,¾ cup all-purpose flour (plus extra for coating pan),1 teaspoon baking powder,pinch salt,2 large eggs,½ cup granulated sugar,Juice and zest of half a lemon,1/2 cup salted butter (melted) (plus extra for coating pan),Tastes of Lizzy T,https://www.tastesoflizzyt.com/lemon-madeleine-cookies/,Confectioners’ sugar for sprinkling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Crinkle Cookies,Julie Clark,5, 3 ,10 minutes,NA,NA,36,9,1/2 cup shortening,4 ounces unsweetened chocolate,2 cups sugar,2 teaspoons vanilla extract,4 large eggs,2 cups all-purpose flour,2 teaspoons baking powder,Tastes of Lizzy T,https://www.tastesoflizzyt.com/chocolate-crinkle-cookies/,1/8 teaspoon salt,1 cup mini chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reese’s Peanut Butter Cup Cookies,Julie Clark,4.67, 6 ,20 minutes,8 minutes,28 minutes,48,11,"1 cup salted butter room temperature, 8 ounces",1 cup creamy peanut butter 250 grams,1 cup granulated sugar 200 grams,1 cup packed brown sugar 210 grams,1 teaspoon vanilla extract 5 grams,3 large eggs,4 cups all-purpose flour 520 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/reeses-peanut-butter-cup-cookies/,2 teaspoons baking soda 12 grams,1/4 teaspoon salt,1/2 cup granulated sugar for rolling,48 miniature Reese's Peanut Butter Cups unwrapped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frosted Eggnog Cookies,Julie Clark,4.14, 36 ,30 minutes,10 minutes,40 minutes,48,19,Ingredients,1/4 cup buttermilk,1 teaspoon baking soda,1 cup salted butter (softened),1 1/4 cups granulated sugar,3 large eggs,1/2 teaspoon salt,Tastes of Lizzy T,https://www.tastesoflizzyt.com/frosted-eggnog-cookies/,1 teaspoon vanilla extract,¾ cup eggnog,6 cups all-purpose flour (divided) (lightly spooned and leveled),1 teaspoon cinnamon,½ teaspoon ground nutmeg,1 tablespoon baking powder▢Frosting and sprinkles optional,1 cup salted butter (softened),1 1/2 teaspoons vanilla,4 cups powdered sugar,½ teaspoon cinnamon,¼ teaspoon nutmeg,3-4 tablespoons eggnog*,NA,NA,NA,NA,NA
Fruit Cake Cookie Bars,Julie Clark,4.70, 13 ,15 minutes,55 minutes,10 minutes,20,14,For the cookie bars:,2 cups pecan halves,½ cup butter (softened),1 ½ cups packed brown sugar,2 large eggs,1 teaspoon vanilla,1 cup self-rising flour,Tastes of Lizzy T,https://www.tastesoflizzyt.com/fruit-cake-cookie-bars/,Dash of salt,½ pound candied pineapple (chopped),½ pound candied cherries (chopped)▢For the Glaze:,1 cup powdered sugar,1/2 teaspoon rum extract (or ½ teaspoon vanilla extract),3 tablespoons heavy cream,2 tablespoons chopped pecans (for topping),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raspberry Almond Thumbprint Cookies,Julie Clark,4.84, 6 ,10 minutes,10 minutes,20 minutes,18,7,1/3 cup brown sugar,½ cup salted butter,1 large egg,½ teaspoon almond extract (or vanilla extract),1 cup all-purpose flour,¾ cup ground almonds,1/3 cup raspberry jam (for filling),Tastes of Lizzy T,https://www.tastesoflizzyt.com/raspberry-almond-thumbprint-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Coconut Cookies,Julie Clark,4.86, 7 ,10 minutes,9 minutes,19 minutes,24,14,For the Cookies:,1 cup salted butter room temperature,1 cup granulated sugar,1 cup brown sugar packed,2 large eggs,2 teaspoons vanilla extract,1 teaspoon salt,Tastes of Lizzy T,https://www.tastesoflizzyt.com/iced-coconut-oatmeal-cookies/,1 teaspoon baking powder,1 teaspoon baking soda,2 1/2 cups all-purpose flour,2 cups old fashioned rolled oats,1 cup shredded coconut▢For the Icing:,1 cup powdered sugar,2-3 tablespoons 2% milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fruit Cake Cookies,Julie Clark,5, 1 ,10 minutes,25 minutes,35 minutes,24,10,1 ½ cups all-purpose flour,½ teaspoon cinnamon,¼ teaspoon baking soda,½ cup butter (room temperature),½ cup brown sugar,2 large eggs (room temperature),¼ cup milk,Tastes of Lizzy T,https://www.tastesoflizzyt.com/fruit-cake-cookies/,3 cups chopped mixed nuts,1 pound deluxe mixed candied fruit,½ pound candied pineapple (finely chopped),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ricotta Sugar Cookies,Julie Clark,4.67, 3 ,20 minutes,12 minutes,32 minutes,48,13,For the cookies:,"1 cup salted butter room temperature, 8 ounces",2 cups granulated sugar 400 grams,2 large eggs,15 ounces ricotta cheese,2 teaspoons vanilla extract 10 grams,4 cups all-purpose flour 520 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/ricotta-cookies/,1 teaspoon baking powder 5 grams,1 teaspoon baking soda 6 grams▢For the glaze:,1 1/2 cups powdered sugar 195 grams,4-5 tablespoons heavy cream 60 grams,1/2 teaspoon vanilla extract 3 grams,1/2 cup sprinkles of any color,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sugar Cookie Bars,Julie Clark,4.77, 13 ,20 minutes,17 minutes,37 minutes,24,14,For the Cookie Bars:,1 1/2 cups salted butter (softened) 12 ounces,2 cups granulated sugar 400 grams,4 large eggs (room temperature),1 teapsoon vanilla extract 5 grams,1 teaspoon almond extract 5 grams,5 cups all-purpose flour 650 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/sugar-cookie-bars/,1 1/2 teaspoons salt 9 grams,1/2 teaspoon baking powder 3 grams▢For the Frosting:,1 cup butter (softened) 8 ounces,4 cups powdered sugar 520 grams,1 1/2 teaspoons vanilla extract 8 grams,3-4 tablespoons heavy cream 45-60 grams,food coloring and sprinkles (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Almond Sugar Cookies,Julie Clark,4.61, 33 ,15 minutes,8 minutes,23 minutes,36,7,1 cup salted butter (room temperature),3/4 cup granulated sugar,1 teaspoon almond extract,2 cups all-purpose flour,1/2 teaspoon baking powder,1/4 teaspoon salt,Additional sugar for rolling the cookies if desired,Tastes of Lizzy T,https://www.tastesoflizzyt.com/almond-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Cut Out Sugar Cookies,Julie Clark,4.70, 210 ,25 minutes,12 minutes,37 minutes,36,6,4 cups all-purpose flour 520 grams,1/2 teaspoon salt 3 grams,1 1/2 cups salted butter (room temperature) 12 ounces,1 1/2 cups granulated sugar 300 grams,2 large eggs,2 teaspoons vanilla extract 10 grams,NA,Tastes of Lizzy T,https://www.tastesoflizzyt.com/cut-out-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Chocolate Chip Cookies,Julie Clark,4.84, 12 ,15 minutes,10 minutes,25 minutes,30,11,1 cup salted butter (softened) 8 ounces,1 cup creamy peanut butter 240 grams,1 cup granulated sugar 200 grams,1 cup packed brown sugar 215 grams,1 teaspoon vanilla extract,3 large eggs,4 cups all-purpose flour 520 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/peanut-butter-chocolate-chip-cookies/,2 teaspoons baking soda 10 grams,1/4 teaspoon salt,2 cups semi-sweet chocolate chips,1/4 cup granulated sugar for sprinkling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bourbon Balls,Julie Clark,5, 1 ,15 minutes,NA,15 minutes,36,7,2 cups crushed vanilla wafers,2 tablespoons cocoa powder,1 cup powdered sugar,1 cup finely chopped pecans,2 tablespoons white corn syrup,1/4 cup bourbon,1/2 cup powdered sugar (for rolling),Tastes of Lizzy T,https://www.tastesoflizzyt.com/bourbon-balls/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexican Wedding Cookies,Julie Clark,4.74, 71 ,10 minutes,9 minutes,19 minutes,36,7,"1 cup salted butter room temperature, 8 ounces",1/2 cup powdered sugar 65 grams,2 cups all-purpose flour 260 grams,2 teaspoons vanilla extract 10 grams,1/4 teaspoon salt 1 gram,3/4 cup finely chopped pecans 98 grams▢For rolling the cookies:,"1 cup powdered sugar for rolling, 130 grams",Tastes of Lizzy T,https://www.tastesoflizzyt.com/mexican-wedding-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Thumbprint Cookies with Nutella® Hazelnut Spread,Julie Clark,4.67, 3 ,20 minutes,7 minutes,27 minutes,72,11,1 cup butter softened,1 cup creamy peanut butter,1 cup granulated sugar,1 cup packed brown sugar,1 teaspoon vanilla extract,3 large eggs,4 cups all-purpose flour,Tastes of Lizzy T,https://www.tastesoflizzyt.com/peanut-butter-thumbprint-cookies/,2 teaspoons baking soda,1/4 teaspoon salt,1/4 cup granulated sugar for rolling,2 jars Nutella® hazelnut spread (26 ounces),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Turtle Cookies,Julie Clark,5, 1 ,15 minutes,8 minutes,23 minutes,36,11,1/4 cup brown sugar,1/4 cup granulated sugar,1/2 cup butter softened,1/2 cup pumpkin puree,1/4 teaspoon salt,1/2 teaspoon cinnamon,1/2 teaspoon pumpkin pie spice,Tastes of Lizzy T,https://www.tastesoflizzyt.com/pumpkin-turtle-cookies-recipe/,1/2 teaspoon baking soda,11/2 cups all-purpose flour,36 Rolo chocolate candies unwrapped,36 pecan halves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Butter Chocolate Chip Cookies Stuffed with Nutella,Julie Clark,5, 3 ,20 minutes,11 minutes,31 minutes,24,11,2 1/4 cups all-purpose flour,1 1/4 teaspoon baking soda,1/2 teaspoon sea salt,1 cup unsalted butter,1 1/4 cups packed brown sugar,1/4 cup granulated sugar,1 large egg,Tastes of Lizzy T,https://www.tastesoflizzyt.com/brown-butter-chocolate-chip-cookies-stuffed-with-nutella-recipe/,1 large egg yolk,2 tsp vanilla extract,12 ounces semisweet chocolate chips,13 ounces Nutella hazelnut spread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Refrigerated Sugar Cookies,Julie Clark,4.69, 16 ,5 minutes,12 minutes,17 minutes,26,7,3/4 cup salted butter softened,3/4 cup granulated white sugar,1 large egg,1 teaspoons vanilla,2 cups all purpose flour,Dash of nutmeg,Sprinkles,Tastes of Lizzy T,https://www.tastesoflizzyt.com/refrigerated-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frozen Yogurt Cookies,Julie Clark,5, 2 ,10 minutes,NA,10 minutes,12,3,2 cups lemon greek yogurt,1 cup plain greek yogurt,1 1/2 cups frozen strawberries diced,NA,NA,NA,NA,Tastes of Lizzy T,https://www.tastesoflizzyt.com/frozen-yogurt-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Pecan Angel Cookies,Julie Clark,5, 4 ,5 minutes,11 minutes,16 minutes,24,4,1 cup mini semi-sweet chocolate chips,1 cup chopped pecans,1 cup powdered sugar,1 large egg white,NA,NA,NA,Tastes of Lizzy T,https://www.tastesoflizzyt.com/chocolate-pecan-angel-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Almond Joy Chocolate Cookies,Julie Clark,5, 2 ,15 minutes,10 minutes,25 minutes,36,14,1 cup butter softened,3/4 cup white sugar,3/4 cup brown sugar,2 large eggs,2 teaspoons vanilla extract,2 cups all-purpose flour,2/3 cup cocoa powder,Tastes of Lizzy T,https://www.tastesoflizzyt.com/almond-joy-chocolate-cookies/,3/4 teaspoon baking soda,1/4 teaspoon salt,12 fun-size Mounds bars chopped,2/3 cup mini chocolate chips▢For the toppings:,10 ounces semi-sweet chocolate chips,1/2 cup shredded coconut,1/2 cup sliced almonds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patriotic Cake Mix Jello Cookies,Julie Clark,4.73, 18 ,15 minutes,13 minutes,28 minutes,24,7,1 box Pillsbury white cake mix (dry),1 small box blue raspberry jello (3 ounces),1/4 cup butter softened,4 ounces cream cheese softened,1 large egg,A few drops of blue food coloring (if desired),Vanilla Buttercream,Tastes of Lizzy T,https://www.tastesoflizzyt.com/patriotic-cake-mix-jello-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iced Chocolate Shortbread Cookies,Julie Clark,5, 1 ,20 minutes,15 minutes,35 minutes,20,7,3/4 cup salted butter softened,¾ cup powdered sugar,2 teaspoons vanilla extract,¼ cup dutch process unsweetened cocoa powder,2 tablespoons cornstarch,1 cup all-purpose flour,¾ cup dark chocolate chips for frosting,Tastes of Lizzy T,https://www.tastesoflizzyt.com/iced-chocolate-shortbread-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soft Buttermilk Sugar Cookies,Julie Clark,4.66, 35 ,20 minutes,10 minutes,30 minutes,60,10,1 cup buttermilk divided,1 teaspoon baking soda,1 cup salted butter softened,2 cups granulated sugar,3 large eggs,1/2 teaspoon salt,1 teaspoon vanilla extract,Tastes of Lizzy T,https://www.tastesoflizzyt.com/soft-buttermilk-sugar-cookies-recipe/,6 cups all-purpose flour,1 tablespoon baking powder,Frosting and sprinkles optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gender Reveal Cookies,Julie Clark,4.80, 5 ,NA,13 minutes,13 minutes,36,6,4 cups all purpose flour,1/2 teaspoon salt,1 1/2 cups salted butter softened,1 1/2 cups granulated white sugar,2 large eggs,2 teaspoons vanilla,NA,Tastes of Lizzy T,https://www.tastesoflizzyt.com/gender-reveal-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Sugar Cookies,Julie Clark,4.72, 7 ,15 minutes,8 minutes,23 minutes,24,11,"1 cup salted butter room temperature, 8 ounces",1 1/2 cups granulated sugar 300 grams,1 large egg,zest of 1 lemon,1 tablespoon fresh lemon juice 15 grams,2 3/4 cups all-purpose flour 325 grams,1 teaspoon baking soda 5 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/lemon-sugar-cookies-recipe/,1/2 teaspoon baking powder 2 grams▢For the glaze:,1 cup powdered sugar 130 grams,3 tablespoons lemon juice 30-45 grams,extra lemon zest for topping optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crispy M&M Cookie Cups,Julie Clark,5, 1 ,25 minutes,11 minutes,36 minutes,24,16,1/2 cup brown sugar,1/2 cup white sugar,3/4 cup butter softened,1 large egg,2 teaspoons vanilla,2 cups all-purpose flour,1/4 teaspoon salt,Tastes of Lizzy T,https://www.tastesoflizzyt.com/crispy-mm-cookie-cups-recipe/,1/2 teaspoon baking soda,1 cup crisped rice cereal,1/2 cup mini chocolate chips,1 cup M&M’s® Crispy▢Buttercream:,1/2 cup butter softened,3/4 teaspoon vanilla,2 cups powdered sugar,2 tablespoons milk,M Additional &M’s® Crispy for decorating,NA,NA,NA,NA,NA,NA,NA,NA
Candied Cherry Shortbread Cookies,Julie Clark,4.67, 3 ,15 minutes,12 minutes,27 minutes,28,8,1 cup butter softened,1 cup powdered sugar,1 large egg,1 teaspoon vanilla,2 1/2 cups all-purpose flour,6 ounces candied green cherries chopped,8 ounces green Wilton candy melts if desired,Tastes of Lizzy T,https://www.tastesoflizzyt.com/candied-cherry-shortbread-cookies-recipe/,1/2 cup green nonpareils if desired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nutella Brownie Cookies,Julie Clark,5, 1 ,20 minutes,12 minutes,32 minutes,24,10,Brownie Cookies:,19.5 oucnesa box fudge brownie mix (family size),1/4 cup butter melted,4 ounces cream cheese (softened),1 large egg▢Nutella Filling:,1 cup Nutella hazelnut spread,1 cup powdered sugar,Tastes of Lizzy T,https://www.tastesoflizzyt.com/nutella-brownie-cookies/,3-4 tablespoons heavy cream or whole milk▢Chocolate Topping:,4 ounces semi-sweet chocolate,1/2 cup dark chocolate chips optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Funfetti Cookie Sandwiches,Julie Clark,5, 2 ,20 minutes,10 minutes,30 minutes,22,12,For the cookies:,1 Pillsbury Funfetti cake mix,1 large egg,4 ounces cream cheese softened,1/4 cup unsalted butter melted,Pink food coloring,3/4 cup sprinkles▢For the frosting:,Tastes of Lizzy T,https://www.tastesoflizzyt.com/funfetti-cake-mix-sandwich-cookies/,1/2 cup salted butter room temperature,3/4 teaspoon vanilla extract,2 cups powdered sugar,1/2-2 tablespoons whole milk,Food coloring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Cut Out Cookies,Julie Clark,4.80, 5 ,20 minutes,8 minutes,28 minutes,60,11,2 cups brown sugar,3/4 cup shortening,2 large eggs,pinch of salt,1 teaspoon vanilla,1/4 cup chocolate chips,2 teaspoons baking soda,Tastes of Lizzy T,https://www.tastesoflizzyt.com/chocolate-chip-cut-out-cookies/,1 cup sour cream,4-5 cups all-purpose flour,1 cup mini chocolate chips,melted chocolate or frosting for decorations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honey Roasted Chocolate Oatmeal Cookies,Julie Clark,5, 2 ,20 minutes,9 minutes,29 minutes,48,14,1 cup shortening plus 2 Tablespoons butter,1 cup firmly packed brown sugar,1/2 cup sugar,2 large eggs,1 teaspoon vanilla,1 1/2 cups plus &frac13; cup flour,1 1/2 teaspoons baking soda,Tastes of Lizzy T,https://www.tastesoflizzyt.com/honey-roasted-oatmeal-cookies/,3/4 teaspoon salt,3 cups oatmeal,1 cup milk chocolate chips,1 cup white chocolate chips,1 cup plus 2 tablespoons honey roasted peanuts,1 1/2 teaspoons cinnamon,3 semi-sweet chocolate baking squares 3 ounces,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
